number of workers affected,type of workers,workers affected working sector,text,primary_country,date_posted,format,url,NER_extracted_geolocation
"        2,000,000          ",      N/A       ,   N/A       ,"Villages and infrastructure were washed away, more than 2 million people lost their homes, more than 1,700 people were killed and millions of animals drowned.",Pakistan,2023-03-31 00:46:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-water-conference-flooding-pakistan,
450 (approximate),Not specified,Not specified,"Six months ago, the raging floods swallowed her entire village, leaving her family and nearly 450 other families homeless, hungry and grappling to survive.",Pakistan,2023-03-22 06:43:35+00:00,News and Press Release,https://reliefweb.int/report/pakistan/water-essential-all-available-few,
 14% , N/A , N/A ,"At the same time, open defecation has increased by more than 14 per cent in the flood-affected regions.",Pakistan,2023-03-21 01:28:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/more-10-million-people-including-children-living-pakistans-flood-affected-areas-still-lack-access-safe-drinking-water,
" 12,867           ", N/A             , N/A    ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
 647              , Children        , N/A    ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
" 4,006            ", Children        , N/A    ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
" 1,739            ", N/A             , N/A    ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
       0.9 million      ,                 , Industry   ,"The agriculture sector was the most significantly impacted, with 43 per cent (1.9 million people) affected, followed by the services industry 36 per cent (1.5 million people), and industry 21 per cent (0.9 million people).",Pakistan,2023-03-10 04:57:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-15-9-march-2023,
" 4,300,000              ", Not specified  , Not specified ,"According to the International Labour Organization (ILO), Around 4.3 million workers in flood-affected districts have been affected by disruptions and job losses.",Pakistan,2023-03-10 04:57:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-15-9-march-2023,
       1.9 million      , Agriculture     ,   Agriculture  ,"The agriculture sector was the most significantly impacted, with 43 per cent (1.9 million people) affected, followed by the services industry 36 per cent (1.5 million people), and industry 21 per cent (0.9 million people).",Pakistan,2023-03-10 04:57:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-15-9-march-2023,
"         4,300,000         ",    All types    ,  All   ,"According to the International Labour Organization (ILO), The floods in Pakistan have had a devastating effect on the workforce, with 4.3 million workers in affected districts experiencing job losses and disruptions.",Pakistan,2023-03-10 04:57:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-15-9-march-2023,Pakistan
       1.5 million      ,                 , Services   ,"The agriculture sector was the most significantly impacted, with 43 per cent (1.9 million people) affected, followed by the services industry 36 per cent (1.5 million people), and industry 21 per cent (0.9 million people).",Pakistan,2023-03-10 04:57:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-15-9-march-2023,
 1 , Farmer , Agriculture ,"Before the floods, Waqas and his family were subsistence farmers, with a buffalo, two cows, three goats and up to 12 chickens at a time, who they would breed to sell eggs as well as the animals themselves.",Pakistan,2023-03-09 00:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/we-are-barely-surviving-more-six-months-after-deadly-pakistan-floods-families-are-brink,
 1 , Farmer , Agriculture ,"Before the floods, Waqas and his family were subsistence farmers, with a buffalo, two cows, three goats and up to 12 chickens at a time, who they would breed to sell eggs as well as the animals themselves.",Pakistan,2023-03-09 00:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/we-are-barely-surviving-more-six-months-after-deadly-pakistan-floods-families-are-brink,
 1 , Farmer , Agriculture ,"Before the floods, Waqas and his family were subsistence farmers, with a buffalo, two cows, three goats and up to 12 chickens at a time, who they would breed to sell eggs as well as the animals themselves.",Pakistan,2023-03-09 00:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/we-are-barely-surviving-more-six-months-after-deadly-pakistan-floods-families-are-brink,
 1 , Farmer , Agriculture ,"Before the floods, Waqas and his family were subsistence farmers, with a buffalo, two cows, three goats and up to 12 chickens at a time, who they would breed to sell eggs as well as the animals themselves.",Pakistan,2023-03-09 00:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/we-are-barely-surviving-more-six-months-after-deadly-pakistan-floods-families-are-brink,
 1 , Not specified , Not specified ,Curfews and other restrictions enforced to reduce the spread of COVID-19 affected his work meaning he could no longer provide for his family.,Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,
              3            ,     Family     ,  Not specified ,"“We were just trying to cope with the effects of COVID-19 then the floods destroyed everything I had.” Lal’s home was almost completely destroyed in the flooding, leaving him and his family without a place, and without work and money to rebuild.",Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,
             1             ,     Laborer     ,              ,Lal has since returned to his job as a laborer but makes less than $2 a day.,Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,
              1            ,   Individual   ,  Not specified ,"“We were just trying to cope with the effects of COVID-19 then the floods destroyed everything I had.” Lal’s home was almost completely destroyed in the flooding, leaving him and his family without a place, and without work and money to rebuild.",Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,
    0 (None)      ,       N/A       ,  N/A   ,The monsoon floods ravaged a staggering 2.2 million houses leaving hundreds of thousands of people homeless.,Pakistan,2023-02-28 14:15:08+00:00,News and Press Release,https://reliefweb.int/report/pakistan/six-months-pakistans-receding-floodwaters-reveal-need-prolonged-support,
" 125,000                   ", Agriculture workers , Agriculture       ,"Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-02-14 04:50:31+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-1-december-2022,Pakistan
" 75,000                    ", Construction workers, Construction      ,"Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-02-14 04:50:31+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-1-december-2022,Pakistan
" 32,000                    ", Factory workers     , Manufacturing     ,"Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-02-14 04:50:31+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-1-december-2022,Pakistan
" 48,500                    ", Service workers     , Services          ,"Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-02-14 04:50:31+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-1-december-2022,Pakistan
" 21,000                    ", Fishermen           , Fisheries         ,"Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-02-14 04:50:31+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-1-december-2022,Pakistan
" 33,000,000       ", NA             , NA     ,"Highlights The historic floods of 2022 affected 33 million people, 1,739 lives were lost and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-02-07 16:39:13+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-9-end-year-2022,
" 1,700            ", Children       , N/A    ,"The floods have taken the lives of more than 1,700 people, one-third of whom were children.1
In
addition, rain-induced floods accelerated glacial melt, and landslides devastated millions of homes and critical
infrastructure, submerged entire villages, and destroyed livelihoods.",Pakistan,2023-02-07 10:49:53+00:00,Assessment,https://reliefweb.int/report/pakistan/early-recovery-needs-identification-report-flood-affected-areas-pakistan-baluchistan-kpk-sindh-and-punjab-december-2022,
"     1,000,000         ",    Housing     ,  N/A   ,"The flood damage in Pakistan in 2022 covered three quarters of the country, leaving close to a million people without access to safe and adequate housing.",Pakistan,2023-01-11 00:34:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-pledges-flood-recovery-must-be-followed-through-meaningful-climate-action,Pakistan
" 1,730                     ", N/A            , N/A               ,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
" 33,000,000 ", N/A , N/A ,"In addition to causing more than 1,700 deaths and affecting around 33 million people, the floods have caused damages and losses to the national economy to the tune of over US$ 30 billion and would need a sum of US$ 16 billion to ensure resilient recovery.",Pakistan,2022-12-27 17:10:32+00:00,Appeal,https://reliefweb.int/report/pakistan/undp-pakistan-flood-recovery-programme-frp,
" 1,700 ", N/A , N/A ,"In addition to causing more than 1,700 deaths and affecting around 33 million people, the floods have caused damages and losses to the national economy to the tune of over US$ 30 billion and would need a sum of US$ 16 billion to ensure resilient recovery.",Pakistan,2022-12-27 17:10:32+00:00,Appeal,https://reliefweb.int/report/pakistan/undp-pakistan-flood-recovery-programme-frp,
" 1,700 ", Not Applicable , Not Applicable ,"As of 18 November 2022, the Pakistan National Disaster Management Authority (NDMA) reported over 1,700 people having lost their lives and at least 12,867 people injured.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
" 12,867 ", Not Applicable , Not Applicable ,"As of 18 November 2022, the Pakistan National Disaster Management Authority (NDMA) reported over 1,700 people having lost their lives and at least 12,867 people injured.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
 2.1 million , Not specified , Housing ,"People were left with nothing as 897,000 houses were destroyed and over a million homes were damaged, leaving 2.1 million people homeless.",Pakistan,2022-12-16 07:40:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/islamic-relief-uk-launches-house-rebuilding-campaign-pakistan-after-worst-floods-recent-memory,
 1 million , Not specified , Housing ,"People were left with nothing as 897,000 houses were destroyed and over a million homes were damaged, leaving 2.1 million people homeless.",Pakistan,2022-12-16 07:40:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/islamic-relief-uk-launches-house-rebuilding-campaign-pakistan-after-worst-floods-recent-memory,
 9.4 million acres          , Not applicable , Agriculture ,"The UN’s Food and Agriculture Organization estimates that as many as 9.4 million acres of crops in Pakistan– including staples such as cotton, sugarcane, vegetables, fodder for livestock, and orchards – were destroyed by floods in August.",Pakistan,2022-12-14 00:06:22+00:00,News and Press Release,https://reliefweb.int/report/pakistan/floods-pakistan-plunge-millions-poverty,Pakistan
" 33,000,000 ", Not specified , Not specified ,"The government said a total of more than 33 million people were affected and indicated there was at least $10 billion in damage, including more than 1 million animals killed and crops wiped out.",Pakistan,2022-12-06 19:30:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-more-1200-people-receive-aid-wake-devastating-flooding,
" At least 1,700              ", Not mentioned        , Not mentioned                  ,"(MissionNewswire) Salesian missionaries are still helping flood victims with shelter and other supplies in the wake of the devastating flooding that impacted Pakistan in late August, killing more than 1,700 and leaving one third of the country underwater with at least half a million people homeless.",Pakistan,2022-12-06 19:30:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-more-1200-people-receive-aid-wake-devastating-flooding,Pakistan
" At least 500,000            ", Not mentioned        , Not mentioned                  ,"(MissionNewswire) Salesian missionaries are still helping flood victims with shelter and other supplies in the wake of the devastating flooding that impacted Pakistan in late August, killing more than 1,700 and leaving one third of the country underwater with at least half a million people homeless.",Pakistan,2022-12-06 19:30:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-more-1200-people-receive-aid-wake-devastating-flooding,Pakistan
" 1,000,000 ", Animals , Agriculture ,"The government said a total of more than 33 million people were affected and indicated there was at least $10 billion in damage, including more than 1 million animals killed and crops wiped out.",Pakistan,2022-12-06 19:30:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-more-1200-people-receive-aid-wake-devastating-flooding,
" 1,700 ", - , - ,"Heavy rains and floods in Pakistan have affected more than one-third of the country and caused more than 1,700 deaths.",Pakistan,2022-12-06 17:30:37+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-situation-report-6-december-6-2022,Pakistan
 33 million                 , Not specified  , Not specified ,"When more than 33 million people in Pakistan lost their homes during recent flooding, families needed more than dry land and a roof over their heads.",Pakistan,2022-12-01 07:41:15+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-fund-commits-over-us219-million-emergency-funding-families-living-through-climate-crises-pakistan-and-somalia,Pakistan
" 2,000,000                 ", Construction    , Housing,"There has been widespread destruction of homes, with more than 2 million homes damaged or destroyed, and infrastructure, including roads, health clinics and schools.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
"          33,000,000       ", Not mentioned   , Not mentioned ,"It is estimated that over 33 million people, around 15% of the total population, have been affected by floods, causing human and livestock casualties.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
 1600 , N/A , N/A ,"Authorities report that more than 1,600 people have died and 12,865 have been injured since mid-June 2022, including 579 children killed and over 4,000 children injured.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
 4000 , Children , N/A ,"Authorities report that more than 1,600 people have died and 12,865 have been injured since mid-June 2022, including 579 children killed and over 4,000 children injured.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
 12865 (12058 adults and 807 children) , N/A , N/A ,"Authorities report that more than 1,600 people have died and 12,865 have been injured since mid-June 2022, including 579 children killed and over 4,000 children injured.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
 579 , Children , N/A ,"Authorities report that more than 1,600 people have died and 12,865 have been injured since mid-June 2022, including 579 children killed and over 4,000 children injured.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
"                            1,736                            ",       N/A       ,  N/A   ,"During the floods, 1,736 people lost their lives which included 739 males, 353 females, and 647 children.",Pakistan,2022-11-22 17:02:18+00:00,News and Press Release,https://reliefweb.int/report/pakistan/international-rescue-committee-flood-emergency-response-november-22-2022,
                             739                            ,    Male workers    ,  N/A   ,"During the floods, 1,736 people lost their lives which included 739 males, 353 females, and 647 children.",Pakistan,2022-11-22 17:02:18+00:00,News and Press Release,https://reliefweb.int/report/pakistan/international-rescue-committee-flood-emergency-response-november-22-2022,
                             353                            ,   Female workers   ,  N/A   ,"During the floods, 1,736 people lost their lives which included 739 males, 353 females, and 647 children.",Pakistan,2022-11-22 17:02:18+00:00,News and Press Release,https://reliefweb.int/report/pakistan/international-rescue-committee-flood-emergency-response-november-22-2022,
                             647                            ,      Children      ,  N/A   ,"During the floods, 1,736 people lost their lives which included 739 males, 353 females, and 647 children.",Pakistan,2022-11-22 17:02:18+00:00,News and Press Release,https://reliefweb.int/report/pakistan/international-rescue-committee-flood-emergency-response-november-22-2022,
          1.5 million        ,       N/A       ,  N/A   ,"Hundreds of bridges and kilometers of roads became unusable, while more than 1.5 million houses were destroyed by the impact of the rains.",Pakistan,2022-11-21 13:47:22+00:00,News and Press Release,https://reliefweb.int/report/pakistan/turkiye-support-pakistans-food-security,
"           1,000,000       ",  Farm Animals  ,Agriculture,"In the flood disaster in which more than 1 million farm animals were killed, the lands where important agricultural products of Pakistan such as cotton and rice had been cultivated were flooded; and crops perished.",Pakistan,2022-11-21 13:47:22+00:00,News and Press Release,https://reliefweb.int/report/pakistan/turkiye-support-pakistans-food-security,Pakistan
" 1,500 ", Not specified , Not specified ,"Catastrophic flooding in Pakistan that began in mid-2022 has killed over 1,500 people, displaced nearly 8 million,and left countless more in areas still submerged and lacking shelter, food, clean water and medicine.",Pakistan,2022-11-20 06:38:26+00:00,News and Press Release,https://reliefweb.int/report/pakistan/stepping-women-and-girls-during-flood-crisis-pakistan,Pakistan
" 8,000,000 ", Not specified , Not specified ,"Catastrophic flooding in Pakistan that began in mid-2022 has killed over 1,500 people, displaced nearly 8 million,and left countless more in areas still submerged and lacking shelter, food, clean water and medicine.",Pakistan,2022-11-20 06:38:26+00:00,News and Press Release,https://reliefweb.int/report/pakistan/stepping-women-and-girls-during-flood-crisis-pakistan,Pakistan
" 2,000,000 ", Not specified , Not specified ,"Around 33 million people have been affected.1 Over 1,600 people were killed and over 12,800 people were injured.2 About 7.9 million people have been internally displaced, and many are now living in relief camps and informal housing.3 Over 2 million houses have been damaged, as has a lot of public infrastructure.",Pakistan,2022-11-15 20:05:52+00:00,Analysis,https://reliefweb.int/report/pakistan/drowned-human-cost-deadly-floods-pakistan,
" 7,900,000 ", Not specified , Not specified ,"Around 33 million people have been affected.1 Over 1,600 people were killed and over 12,800 people were injured.2 About 7.9 million people have been internally displaced, and many are now living in relief camps and informal housing.3 Over 2 million houses have been damaged, as has a lot of public infrastructure.",Pakistan,2022-11-15 20:05:52+00:00,Analysis,https://reliefweb.int/report/pakistan/drowned-human-cost-deadly-floods-pakistan,
" 12,800 ", Not specified , Not specified ,"Around 33 million people have been affected.1 Over 1,600 people were killed and over 12,800 people were injured.2 About 7.9 million people have been internally displaced, and many are now living in relief camps and informal housing.3 Over 2 million houses have been damaged, as has a lot of public infrastructure.",Pakistan,2022-11-15 20:05:52+00:00,Analysis,https://reliefweb.int/report/pakistan/drowned-human-cost-deadly-floods-pakistan,
" 1,600 ", Not specified , Not specified ,"Around 33 million people have been affected.1 Over 1,600 people were killed and over 12,800 people were injured.2 About 7.9 million people have been internally displaced, and many are now living in relief camps and informal housing.3 Over 2 million houses have been damaged, as has a lot of public infrastructure.",Pakistan,2022-11-15 20:05:52+00:00,Analysis,https://reliefweb.int/report/pakistan/drowned-human-cost-deadly-floods-pakistan,
 4 million ," Daily wage workers, farmers, and skilled laborers "," Agriculture, textile, construction, and other informal sectors ","Drowned: The Human Cost of Deadly Floods in Pakistan Heavy rains and flooding between June and August 2022 have led to what the UN has termed an “unprecedented climate-induced disaster” in Pakistan, with deaths, injuries, large scale displacement, and a loss of livelihoods in the country.",Pakistan,2022-11-15 20:05:52+00:00,Analysis,https://reliefweb.int/report/pakistan/drowned-human-cost-deadly-floods-pakistan,Pakistan
" 33,000,000 ", Not specified , Not specified ,"Around 33 million people have been affected.1 Over 1,600 people were killed and over 12,800 people were injured.2 About 7.9 million people have been internally displaced, and many are now living in relief camps and informal housing.3 Over 2 million houses have been damaged, as has a lot of public infrastructure.",Pakistan,2022-11-15 20:05:52+00:00,Analysis,https://reliefweb.int/report/pakistan/drowned-human-cost-deadly-floods-pakistan,
 1 , Not specified , Not specified ,"Rabia, 40, said: ""When I left my home, I could not take any extra cloths or pads to use during my period.",Pakistan,2022-11-14 00:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/climate-emergency-women-and-girls-living-pakistan-flood-zone-suffering-urinary-tract-infections-and-reproductive-complications-part-due-lack-clean-water-sanitation-and-hygiene-wateraid,
 40 , Female workers , Not specified ,"Rabia, 40, said: ""When I left my home, I could not take any extra cloths or pads to use during my period.",Pakistan,2022-11-14 00:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/climate-emergency-women-and-girls-living-pakistan-flood-zone-suffering-urinary-tract-infections-and-reproductive-complications-part-due-lack-clean-water-sanitation-and-hygiene-wateraid,
        2.2 million         ,      -          , Housing,"In addition, more than 2.2 million houses have been damaged or destroyed, 13,115 kilometres of roads damaged, 439 bridges destroyed, and over 1.1 million livestock lost.",Pakistan,2022-11-13 18:27:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-11-11-november-2022,
