Number of Buildings Mentioned,What Happened,Type of Building,text,primary_country,date_posted,format,url,NER_extracted_geolocation
" 27,000 ", Damaged/Destroyed , Schools ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
" 2,000  ", Damaged/Destroyed , Health Facilities ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
" 2,000 ", Damaged/Destroyed , Health Facilities ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
" 27,000 ", Damaged/Destroyed , Schools ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged1,7 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
 15.0   , High-Speed Diesel     , Increased         ,"The retail prices of automotive fuels increased in January 2023 compared to the previous month i.e, Super Petrol (+16.0%) and High-Speed Diesel (+15.0%).",Pakistan,2023-03-20 05:38:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-market-monitor-report-february-2023,
 16.0   , Super Petrol          , Increased         ,"The retail prices of automotive fuels increased in January 2023 compared to the previous month i.e, Super Petrol (+16.0%) and High-Speed Diesel (+15.0%).",Pakistan,2023-03-20 05:38:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-market-monitor-report-february-2023,
 2      , Automotive fuel        , Increased         ,"The retail prices of automotive fuels increased in January 2023 compared to the previous month i.e, Super Petrol (+16.0%) and High-Speed Diesel (+15.0%).",Pakistan,2023-03-20 05:38:46+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-market-monitor-report-february-2023,
"      2,280,481      ","         Partially damaged, Fully damaged        ",     Household     ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
"     2,200,000       ",      Damaged/Destroyed     ,    Household/Residence ,"Situation in Numbers 33 million
People affected by heavy rains and floods 9.6 million
Children in need of humanitarian assistance 20.6 million
People in need of humanitarian assistance Highlights The floods of 2022 affected 33 million people with 1,739 lives lost, and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
             1           ,              Destroyed                  ,      Household   ,"“We suffered from COVID-19, then floods hit our area, and my house was swept away,” says Lal Bat Lal has lived in Pakistan for forty years with his wife and four children.",Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,Pakistan
               1              ,                  Destroyed              ,   Household      ,"“We were just trying to cope with the effects of COVID-19 then the floods destroyed everything I had.” Lal’s home was almost completely destroyed in the flooding, leaving him and his family without a place, and without work and money to rebuild.",Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,
"          2,200,000         ","                  Damaged, Destroyed       "," Household, Residence ",The monsoon floods ravaged a staggering 2.2 million houses leaving hundreds of thousands of people homeless.,Pakistan,2023-02-28 14:15:08+00:00,News and Press Release,https://reliefweb.int/report/pakistan/six-months-pakistans-receding-floodwaters-reveal-need-prolonged-support,
 3.2    , High-Speed Diesel     , decreased                            ,"• The retail prices of automotive fuels decreased in December 2022 compared to the previous month i.e, Super Petrol (-4.4%) and High-Speed Diesel (-3.2%).",Pakistan,2023-02-22 07:51:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-market-monitor-report-january-2023,
 4.4    , Super Petrol          , decreased                            ,"• The retail prices of automotive fuels decreased in December 2022 compared to the previous month i.e, Super Petrol (-4.4%) and High-Speed Diesel (-3.2%).",Pakistan,2023-02-22 07:51:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-market-monitor-report-january-2023,
"     17,205     ",  Flood-impacted , Primary School,"Her daughters used to study in the government-run primary school, which was among the 17,205 flood-impacted educational institutions across Pakistan.",Pakistan,2023-02-13 14:43:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-floods-need-tackling-development-different-perspective,Pakistan
"          2,200,000           ",                 Damaged or Destroyed                        ,               Household/Residence        ,"Highlights The historic floods of 2022 affected 33 million people, 1,739 lives were lost and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-02-07 16:39:13+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-9-end-year-2022,
"    14,000,000      ",    Damaged    ,    Household     ,"Over 14 million people have either lost their homes or had their houses damaged, forcing many to seek shelter on the roads and in makeshift camps.",Pakistan,2023-01-18 10:27:53+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-crisis-response-plan-2023-2025,
"    14,000,000      ",     Lost      ,    Household     ,"Over 14 million people have either lost their homes or had their houses damaged, forcing many to seek shelter on the roads and in makeshift camps.",Pakistan,2023-01-18 10:27:53+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-crisis-response-plan-2023-2025,
"            2,000             ",              Damaged/Destroyed           , Hospitals/Clinics/Health Centres ,"According to the National Disaster Management Authority (NDMA), 2,000 health facilities, representing 10% of all health facilities in the country, have been either damaged or destroyed.",Pakistan,2023-01-13 15:29:47+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistani-flood-survivors-welcome-funding-demand-immediate-disbursement,
         1           ,        ,   Household   ,"Shah, 51, said he heard from people about the assistance announced at the UN and hoped his house would be reconstructed.",Pakistan,2023-01-13 15:29:47+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistani-flood-survivors-welcome-funding-demand-immediate-disbursement,
" 2,200,000           ", Damaged , Household       ,"Regarding the damages and needs related to the floods, more than 2.2 million houses have been damaged or destroyed, 13,115 kilometers of road damaged, 439 bridges destroyed and over 1.1 million livestock lost.",Pakistan,2023-01-12 05:26:09+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-2-pakistan-floods-response-december-31-2022,
"            2,000,000         ",              Impacted                   , Residential       ,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
 2 million                    , Impacted                             , Housing Units    ,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
 2                            , Damaged                              , Schools          ,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
" 2,000,000 ", Damaged or Destroyed , Household or Residence ,"It swept over roads, ruined millions of acres of agricultural land and damaged or destroyed 2 million homes.",Pakistan,2023-01-09 17:10:11+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-community-must-be-honest-about-brutal-injustice-loss-felt-developing-countries-due-climate-change-secretary-general-tells-conference-pakistan,
 2 million , Homes , Damaged/Destroyed ,"It swept over roads, ruined millions of acres of agricultural land and damaged or destroyed 2 million homes.",Pakistan,2023-01-09 17:10:11+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-community-must-be-honest-about-brutal-injustice-loss-felt-developing-countries-due-climate-change-secretary-general-tells-conference-pakistan,
             880              ,                  Damaged                ,    Health Centers   ,"In Pakistan, floods caused by heavy rains after June killed many people and damaged properties, including more than 880 health centers.",Pakistan,2023-01-05 13:39:36+00:00,News and Press Release,https://reliefweb.int/report/pakistan/mobile-clinic-donated-flood-affected-pakistanis,Pakistan
" 2,000 ", Damaged or Destroyed , Health Facilities ,"When the floods hit earlier this year there was a lot of global attention, but now it seems that Pakistan has fallen off the news agenda and people have been forgotten.” Four months since the worst of the floods – which damaged or destroyed more than 2 million homes and more than 2,000 health facilities – thousands of families remain homeless or living in tents.",Pakistan,2023-01-03 11:14:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/freezing-temperatures-hit-homeless-pakistan-flood-survivors-forgotten-world,Pakistan
 2 million , Damaged or Destroyed , Homes ,"When the floods hit earlier this year there was a lot of global attention, but now it seems that Pakistan has fallen off the news agenda and people have been forgotten.” Four months since the worst of the floods – which damaged or destroyed more than 2 million homes and more than 2,000 health facilities – thousands of families remain homeless or living in tents.",Pakistan,2023-01-03 11:14:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/freezing-temperatures-hit-homeless-pakistan-flood-survivors-forgotten-world,Pakistan
"              2,000           ",                 Damaged                 , Health Facility  ,"When the floods hit earlier this year there was a lot of global attention, but now it seems that Pakistan has fallen off the news agenda and people have been forgotten.” Four months since the worst of the floods – which damaged or destroyed more than 2 million homes and more than 2,000 health facilities – thousands of families remain homeless or living in tents.",Pakistan,2023-01-03 11:14:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/freezing-temperatures-hit-homeless-pakistan-flood-survivors-forgotten-world,Pakistan
              2 million       ,   Damaged or Destroyed (not specified)   , Household/Residence,"When the floods hit earlier this year there was a lot of global attention, but now it seems that Pakistan has fallen off the news agenda and people have been forgotten.” Four months since the worst of the floods – which damaged or destroyed more than 2 million homes and more than 2,000 health facilities – thousands of families remain homeless or living in tents.",Pakistan,2023-01-03 11:14:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/freezing-temperatures-hit-homeless-pakistan-flood-survivors-forgotten-world,Pakistan
" 13,115 km ", Damaged , Roads ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
 439 , Damaged , Bridges ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
" 27,000 ", Damaged or destroyed , Schools ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
" 2,000 ", Damaged or destroyed , Health Facilities ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
" 13,115 ", Damaged , Roads ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
" 2,000 ", Damaged/Destoyed , Health Facilities ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
" 27,000 ", Damaged/Destoyed , Schools ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
 439 , Damaged , Bridges ,"More than 13,115 km of roads and 439 bridges have been reported damaged, along with 2,000 health facilities and 27,000 schools destroyed or damaged.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
 1.1 million , N/A , Livestock ,"Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
" 1,391,467 ", Partially Destroyed , Household/Residence ,"Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
" 900,000 ", Fully Destroyed , Household/Residence ,"Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
"     34,200     ",      Damaged/Destroyed      ,"All types of schools (Universities, Colleges, Secondary/High Schools, Elementary Schools, Pre-school facilities, Training Centres, Kindergarten, Military School, Prison School, Education facilities) ","There are 34,200 schools damaged or destroyed.",Pakistan,2022-12-21 04:38:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-floods-response-plan-interim-report-sep-nov-2022-issued-09-dec-2022,
 96             , Schools         , Non-Damaged       ,"While 96 non damaged schools are used to host displaced people, this has temporarily disrupted learning for 3.5 million children and adolescents.",Pakistan,2022-12-21 04:38:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-floods-response-plan-interim-report-sep-nov-2022-issued-09-dec-2022,
" 2,000,000+ ", Severely Damaged or Destroyed ," Household/Residence, Businesses, Community Infrastructure ","More than 2 million homes were severely damaged or destroyed, as were businesses and community infrastructure, while personal possessions, household items, livestock and other assets were washed away or destroyed.",Pakistan,2022-12-21 04:38:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-floods-response-plan-interim-report-sep-nov-2022-issued-09-dec-2022,
 100                , Fully damaged            , Health facilities,"Preliminary assessments confirm that more than 700 health facilities are partially damaged, and about 100 health facilities are fully damaged.",Pakistan,2022-12-20 00:26:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/factsheet-sindh-integrated-health-and-population-project,
 700                , Partially damaged        , Health facilities,"Preliminary assessments confirm that more than 700 health facilities are partially damaged, and about 100 health facilities are fully damaged.",Pakistan,2022-12-20 00:26:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/factsheet-sindh-integrated-health-and-population-project,
" 1,000,000      ", Damaged            , Household      ,"People were left with nothing as 897,000 houses were destroyed and over a million homes were damaged, leaving 2.1 million people homeless.",Pakistan,2022-12-16 07:40:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/islamic-relief-uk-launches-house-rebuilding-campaign-pakistan-after-worst-floods-recent-memory,
" 897,000        ", Destroyed          , Household      ,"People were left with nothing as 897,000 houses were destroyed and over a million homes were damaged, leaving 2.1 million people homeless.",Pakistan,2022-12-16 07:40:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/islamic-relief-uk-launches-house-rebuilding-campaign-pakistan-after-worst-floods-recent-memory,
" 2,000,000+ ", Damaged or destroyed , Household/Residence ,"There has been widespread destruction of homes, with more than 2 million homes damaged or destroyed, and infrastructure, including roads, health clinics and schools.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
"      2,000,000      ",           Damaged/Destroyed         ,     Homes         ,"There has been widespread destruction of homes, with more than 2 million homes damaged or destroyed, and infrastructure, including roads, health clinics and schools.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
" 2,000,000           ", Damaged/Destroyed , Not Mentioned ,"There has been widespread destruction of homes, with more than 2 million homes damaged or destroyed, and infrastructure, including roads, health clinics and schools.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
       1       ,          N/A             ,  Secondary/High Schools      ,The schools it rebuilt after the devastating floods of 2010 all successfully withstood the recent floods.,Pakistan,2022-11-26 05:40:58+00:00,News and Press Release,https://reliefweb.int/report/pakistan/floods-pakistan-access-education-and-water-restored-swat-valley-thanks-sdc,
       1       ,          N/A             ,  Colleges        ,The schools it rebuilt after the devastating floods of 2010 all successfully withstood the recent floods.,Pakistan,2022-11-26 05:40:58+00:00,News and Press Release,https://reliefweb.int/report/pakistan/floods-pakistan-access-education-and-water-restored-swat-valley-thanks-sdc,
 8 , Repaired , 8 Suspension Bridges ,"Eleven schools, eight suspension bridges and 16 water distribution systems In less than three months, the SHA teams repaired 11 schools and eight suspension bridges, restoring the valley's residents' access to local markets and enabling the children to return to school.",Pakistan,2022-11-26 05:40:58+00:00,News and Press Release,https://reliefweb.int/report/pakistan/floods-pakistan-access-education-and-water-restored-swat-valley-thanks-sdc,
 11 , Repaired , 8 Schools ,"Eleven schools, eight suspension bridges and 16 water distribution systems In less than three months, the SHA teams repaired 11 schools and eight suspension bridges, restoring the valley's residents' access to local markets and enabling the children to return to school.",Pakistan,2022-11-26 05:40:58+00:00,News and Press Release,https://reliefweb.int/report/pakistan/floods-pakistan-access-education-and-water-restored-swat-valley-thanks-sdc,
 16 , Not mentioned , Water Distribution Systems ,"Eleven schools, eight suspension bridges and 16 water distribution systems In less than three months, the SHA teams repaired 11 schools and eight suspension bridges, restoring the valley's residents' access to local markets and enabling the children to return to school.",Pakistan,2022-11-26 05:40:58+00:00,News and Press Release,https://reliefweb.int/report/pakistan/floods-pakistan-access-education-and-water-restored-swat-valley-thanks-sdc,
       1       ,        Successfully      ,"  Elementary School, Pre-school facilities, Training Centres  ",The schools it rebuilt after the devastating floods of 2010 all successfully withstood the recent floods.,Pakistan,2022-11-26 05:40:58+00:00,News and Press Release,https://reliefweb.int/report/pakistan/floods-pakistan-access-education-and-water-restored-swat-valley-thanks-sdc,
       1       ,          N/A             ,  Universities    ,The schools it rebuilt after the devastating floods of 2010 all successfully withstood the recent floods.,Pakistan,2022-11-26 05:40:58+00:00,News and Press Release,https://reliefweb.int/report/pakistan/floods-pakistan-access-education-and-water-restored-swat-valley-thanks-sdc,
       1       ,          N/A             ,  Education Facilities ,The schools it rebuilt after the devastating floods of 2010 all successfully withstood the recent floods.,Pakistan,2022-11-26 05:40:58+00:00,News and Press Release,https://reliefweb.int/report/pakistan/floods-pakistan-access-education-and-water-restored-swat-valley-thanks-sdc,
       1       ,          N/A             ,  Prison School    ,The schools it rebuilt after the devastating floods of 2010 all successfully withstood the recent floods.,Pakistan,2022-11-26 05:40:58+00:00,News and Press Release,https://reliefweb.int/report/pakistan/floods-pakistan-access-education-and-water-restored-swat-valley-thanks-sdc,
       1       ,          N/A             ,  Military School ,The schools it rebuilt after the devastating floods of 2010 all successfully withstood the recent floods.,Pakistan,2022-11-26 05:40:58+00:00,News and Press Release,https://reliefweb.int/report/pakistan/floods-pakistan-access-education-and-water-restored-swat-valley-thanks-sdc,
       1       ,          N/A             ,  Kindergarten       ,The schools it rebuilt after the devastating floods of 2010 all successfully withstood the recent floods.,Pakistan,2022-11-26 05:40:58+00:00,News and Press Release,https://reliefweb.int/report/pakistan/floods-pakistan-access-education-and-water-restored-swat-valley-thanks-sdc,
 31 , Not mentioned , Health centres ,Poor access to vaccination services and population displacement have contributed to measles outbreaks in 31 districts in the country since the floods started.,Pakistan,2022-11-24 00:19:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/measles-rubella-campaign-undertaken-prevent-disease-outbreaks-pakistan,
"        2,200,000          ",        Destroyed    ,     Household     ,"2.2 million houses were destroyed, that displaced people to nearby towns and cities where they found shelter in schools’ public buildings, and along the roadside and canal embankment.",Pakistan,2022-11-22 17:02:18+00:00,News and Press Release,https://reliefweb.int/report/pakistan/international-rescue-committee-flood-emergency-response-november-22-2022,
 1.5 million        , Destroyed ," Household, residence ","Hundreds of bridges and kilometers of roads became unusable, while more than 1.5 million houses were destroyed by the impact of the rains.",Pakistan,2022-11-21 13:47:22+00:00,News and Press Release,https://reliefweb.int/report/pakistan/turkiye-support-pakistans-food-security,
 2 million           , Damaged       , Household        ,"Around 33 million people have been affected.1 Over 1,600 people were killed and over 12,800 people were injured.2 About 7.9 million people have been internally displaced, and many are now living in relief camps and informal housing.3 Over 2 million houses have been damaged, as has a lot of public infrastructure.",Pakistan,2022-11-15 20:05:52+00:00,Analysis,https://reliefweb.int/report/pakistan/drowned-human-cost-deadly-floods-pakistan,
" 25,000                       ", Damaged or Destroyed                      , Schools          ,"We’re talking about millions of people left homeless, children dying of disease, more than 25,000 schools damaged or destroyed and food sources completely wiped out.",Pakistan,2022-11-14 01:03:59+00:00,News and Press Release,https://reliefweb.int/report/pakistan/save-children-calls-climate-justice-negotiations-cop27-pick-again,
 25000             , Damaged/Destroyed, Schools          ,"We’re talking about millions of people left homeless, children dying of disease, more than 25,000 schools damaged or destroyed and food sources completely wiped out.",Pakistan,2022-11-14 01:03:59+00:00,News and Press Release,https://reliefweb.int/report/pakistan/save-children-calls-climate-justice-negotiations-cop27-pick-again,
"13,115 kilometers ", damaged , roads ,"In addition, more than 2.2 million houses have been damaged or destroyed, 13,115 kilometres of roads damaged, 439 bridges destroyed, and over 1.1 million livestock lost.",Pakistan,2022-11-13 18:27:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-11-11-november-2022,
2.2 million , damaged or destroyed , houses ,"In addition, more than 2.2 million houses have been damaged or destroyed, 13,115 kilometres of roads damaged, 439 bridges destroyed, and over 1.1 million livestock lost.",Pakistan,2022-11-13 18:27:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-11-11-november-2022,
1.1 million , lost , livestock,"In addition, more than 2.2 million houses have been damaged or destroyed, 13,115 kilometres of roads damaged, 439 bridges destroyed, and over 1.1 million livestock lost.",Pakistan,2022-11-13 18:27:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-11-11-november-2022,
439 , destroyed , bridges ,"In addition, more than 2.2 million houses have been damaged or destroyed, 13,115 kilometres of roads damaged, 439 bridges destroyed, and over 1.1 million livestock lost.",Pakistan,2022-11-13 18:27:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-11-11-november-2022,
" 2,000,000 ", Dependent , Household ,"The floods in Pakistan have had a devastating impact: nearly 1,700 people have died, more than two million homes have been destroyed and, months after the floods, two million people are still dependent on humanitarian aid, according to the UN.",Pakistan,2022-11-10 01:11:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-ruins-due-climate-catastrophe,Pakistan
" 2,000,000 ", Destroyed , Household ,"The floods in Pakistan have had a devastating impact: nearly 1,700 people have died, more than two million homes have been destroyed and, months after the floods, two million people are still dependent on humanitarian aid, according to the UN.",Pakistan,2022-11-10 01:11:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-ruins-due-climate-catastrophe,Pakistan
"       1,543           ",       partially or fully destroyed   ,        clinics                ,"Now, after the devastating floods that swept the country over the last few months, 1,543 health clinics have been partially or fully destroyed resulting in millions of people without adequate access to healthcare.",Pakistan,2022-11-09 07:03:54+00:00,News and Press Release,https://reliefweb.int/report/pakistan/rebuilding-futures-pakistan-post-flood,
 1.8 million ha , - , - ,"Their homes have been destroyed as well as schools, hospitals, nearly 1.8 million ha of agricultural land, livestock assets, forests and critical agricultural infrastructure.",Pakistan,2022-11-04 18:12:24+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-belgiums-contribution-through-special-fund-emergency-and-rehabilitation-activities-sfera,
