Number of People Mentioned,What Happened,Age,Gender,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 579                       , Died (children)        , <18 , N/A    ,"Authorities report that more than 1,600 people have died and 12,865 have been injured since mid-June 2022, including 579 children killed and over 4,000 children injured.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
 4000                      , Injured (children)     , <18 , N/A    ,"Authorities report that more than 1,600 people have died and 12,865 have been injured since mid-June 2022, including 579 children killed and over 4,000 children injured.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
 12865                     , Injured                , N/A , N/A    ,"Authorities report that more than 1,600 people have died and 12,865 have been injured since mid-June 2022, including 579 children killed and over 4,000 children injured.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
 1600                      , Died                   , N/A , N/A    ,"Authorities report that more than 1,600 people have died and 12,865 have been injured since mid-June 2022, including 579 children killed and over 4,000 children injured.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
       1736       ,                Dead               ,  N/A ,  N/A   ,"During the floods, 1,736 people lost their lives which included 739 males, 353 females, and 647 children.",Pakistan,2022-11-22 17:02:18+00:00,News and Press Release,https://reliefweb.int/report/pakistan/international-rescue-committee-flood-emergency-response-november-22-2022,
        739       ,                Dead               ,  N/A ,  Male  ,"During the floods, 1,736 people lost their lives which included 739 males, 353 females, and 647 children.",Pakistan,2022-11-22 17:02:18+00:00,News and Press Release,https://reliefweb.int/report/pakistan/international-rescue-committee-flood-emergency-response-november-22-2022,
        353       ,                Dead               ,  N/A , Female ,"During the floods, 1,736 people lost their lives which included 739 males, 353 females, and 647 children.",Pakistan,2022-11-22 17:02:18+00:00,News and Press Release,https://reliefweb.int/report/pakistan/international-rescue-committee-flood-emergency-response-november-22-2022,
        647       ,                Dead               , Child ,  N/A   ,"During the floods, 1,736 people lost their lives which included 739 males, 353 females, and 647 children.",Pakistan,2022-11-22 17:02:18+00:00,News and Press Release,https://reliefweb.int/report/pakistan/international-rescue-committee-flood-emergency-response-november-22-2022,
"12,800 ", Injured , N/A , N/A,"Around 33 million people have been affected.1 Over 1,600 people were killed and over 12,800 people were injured.2 About 7.9 million people have been internally displaced, and many are now living in relief camps and informal housing.3 Over 2 million houses have been damaged, as has a lot of public infrastructure.",Pakistan,2022-11-15 20:05:52+00:00,Analysis,https://reliefweb.int/report/pakistan/drowned-human-cost-deadly-floods-pakistan,
2 million , Houses damaged , N/A , N/A,"Around 33 million people have been affected.1 Over 1,600 people were killed and over 12,800 people were injured.2 About 7.9 million people have been internally displaced, and many are now living in relief camps and informal housing.3 Over 2 million houses have been damaged, as has a lot of public infrastructure.",Pakistan,2022-11-15 20:05:52+00:00,Analysis,https://reliefweb.int/report/pakistan/drowned-human-cost-deadly-floods-pakistan,
7.9 million , Internally displaced , N/A , N/A,"Around 33 million people have been affected.1 Over 1,600 people were killed and over 12,800 people were injured.2 About 7.9 million people have been internally displaced, and many are now living in relief camps and informal housing.3 Over 2 million houses have been damaged, as has a lot of public infrastructure.",Pakistan,2022-11-15 20:05:52+00:00,Analysis,https://reliefweb.int/report/pakistan/drowned-human-cost-deadly-floods-pakistan,
"1,600 ", Killed , N/A , N/A,"Around 33 million people have been affected.1 Over 1,600 people were killed and over 12,800 people were injured.2 About 7.9 million people have been internally displaced, and many are now living in relief camps and informal housing.3 Over 2 million houses have been damaged, as has a lot of public infrastructure.",Pakistan,2022-11-15 20:05:52+00:00,Analysis,https://reliefweb.int/report/pakistan/drowned-human-cost-deadly-floods-pakistan,
33 million , Affected , N/A , N/A,"Around 33 million people have been affected.1 Over 1,600 people were killed and over 12,800 people were injured.2 About 7.9 million people have been internally displaced, and many are now living in relief camps and informal housing.3 Over 2 million houses have been damaged, as has a lot of public infrastructure.",Pakistan,2022-11-15 20:05:52+00:00,Analysis,https://reliefweb.int/report/pakistan/drowned-human-cost-deadly-floods-pakistan,
" 1,700 ", Dead , N/A , N/A ,"These disasters have caused more than 1,700 deaths and displaced more than 8 million people.",Pakistan,2022-11-11 16:53:07+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-country-climate-and-development-report-november-2022,
 8 million , Displaced , N/A , N/A ,"These disasters have caused more than 1,700 deaths and displaced more than 8 million people.",Pakistan,2022-11-11 16:53:07+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-country-climate-and-development-report-november-2022,
"    1,700      ",   Dead    , N/A ,  N/A   ,"There have been more than 1,700 deaths, and more than 6 million people remain in dire need of humanitarian assistance.",Pakistan,2022-11-08 16:54:05+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-situation-report-5-november-8-2022,
"    6,000,000  ", In dire need of humanitarian assistance , N/A , N/A ,"There have been more than 1,700 deaths, and more than 6 million people remain in dire need of humanitarian assistance.",Pakistan,2022-11-08 16:54:05+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-situation-report-5-november-8-2022,
 8 , Injured , Not mentioned , Not mentioned ,"As a result, (08) Soldiers were present in the post have been injured.",Pakistan,2022-11-07 00:51:02+00:00,Situation Report,https://reliefweb.int/report/pakistan/provincial-disaster-management-authority-pdma-khyber-pakhtunkhwa-daily-situation-report-5-november-2022-evening,
 1 , Died , Not mentioned , Female ,"• 1x Female died due to Gastro on 22nd Sep, 2022 in TMK.",Pakistan,2022-10-24 01:30:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/ndma-monsoon-2022-daily-situation-report-no-130-dated-21st-oct-2022,
 1 , Gastro , Not mentioned , Not mentioned ,"• 1x Female died due to Gastro on 22nd Sep, 2022 in TMK.",Pakistan,2022-10-24 01:30:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/ndma-monsoon-2022-daily-situation-report-no-130-dated-21st-oct-2022,
 1 , Not mentioned , Not mentioned , Not mentioned ,"• 1x Female died due to Gastro on 22nd Sep, 2022 in TMK.",Pakistan,2022-10-24 01:30:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/ndma-monsoon-2022-daily-situation-report-no-130-dated-21st-oct-2022,
 1100 , Died , Unknown , Unknown ,"Over 1,100 people have died, and hundreds were injured from the severe weather.",Pakistan,2022-10-20 17:01:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/millions-displaced-pakistan-after-2022-monsoon-season,
          1000             ,         Died           ,  -  ,   -    ,"Since mid-June, more than 1000 people have died due to the floods and almost 500,000 people are living in refugee camps.",Pakistan,2022-10-20 15:58:51+00:00,News and Press Release,https://reliefweb.int/report/pakistan/partnering-provide-food-and-medicine-those-impacted-pakistans-deadly-floods,
"          500,000          ",   Living in Refugee Camps ,  -  ,   -    ,"Since mid-June, more than 1000 people have died due to the floods and almost 500,000 people are living in refugee camps.",Pakistan,2022-10-20 15:58:51+00:00,News and Press Release,https://reliefweb.int/report/pakistan/partnering-provide-food-and-medicine-those-impacted-pakistans-deadly-floods,
 33 million                , affected      , -   , -      ,"More than 33 million people have been affected and more than 1,500 have been killed.",Pakistan,2022-10-18 17:15:34+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-aid-families-affected-flooding,
" 1,500                     ", killed        , -   , -      ,"More than 33 million people have been affected and more than 1,500 have been killed.",Pakistan,2022-10-18 17:15:34+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-aid-families-affected-flooding,
" 1,718 ", Dead , Not Specified , Not Specified ,"As of 14 October, the NDMA has recorded over 1,718 deaths and more than 12,800 injuries since mid-June.",Pakistan,2022-10-15 18:11:59+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-9-14-october-2022,
" 12,800 ", Injured , Not Specified , Not Specified ,"As of 14 October, the NDMA has recorded over 1,718 deaths and more than 12,800 injuries since mid-June.",Pakistan,2022-10-15 18:11:59+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-9-14-october-2022,
" 1,600 ", Dead , N/A , N/A ,"Some 7.9 million people are reportedly displaced, 12 900 people injured, and 1600 people have died.",Pakistan,2022-10-14 00:59:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/disease-outbreak-news-dengue-pakistan-13-october-2022,
" 12,900 ", Injured , N/A , N/A ,"Some 7.9 million people are reportedly displaced, 12 900 people injured, and 1600 people have died.",Pakistan,2022-10-14 00:59:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/disease-outbreak-news-dengue-pakistan-13-october-2022,
" 7,900,000 ", Displaced , N/A , N/A ,"Some 7.9 million people are reportedly displaced, 12 900 people injured, and 1600 people have died.",Pakistan,2022-10-14 00:59:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/disease-outbreak-news-dengue-pakistan-13-october-2022,
" 12,867 ", Injured , - , - ,"1,717 people have died including 639 children and 12,867 injuries in these floods.",Pakistan,2022-10-13 04:58:39+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-12-october-2022,
 639 , Dead (Children) , - , - ,"1,717 people have died including 639 children and 12,867 injuries in these floods.",Pakistan,2022-10-13 04:58:39+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-12-october-2022,
" 1,717 ", Dead , - , - ,"1,717 people have died including 639 children and 12,867 injuries in these floods.",Pakistan,2022-10-13 04:58:39+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-12-october-2022,
" 1,700                     ", Dead                                  , N/A , N/A    ,"According to the latest estimates, unprecedented rainfall and flooding in late August resulted in at least 1,700 deaths, with 12,800 injured, including at least 4,000 children.",Pakistan,2022-10-07 11:14:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/unhcr-urgently-seeks-us66-million-communities-devastated-pakistan-floods,
" 12,800                    ", Injured                               , N/A , N/A    ,"According to the latest estimates, unprecedented rainfall and flooding in late August resulted in at least 1,700 deaths, with 12,800 injured, including at least 4,000 children.",Pakistan,2022-10-07 11:14:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/unhcr-urgently-seeks-us66-million-communities-devastated-pakistan-floods,
" 4,000                      ", Injured                               , Children , N/A ,"According to the latest estimates, unprecedented rainfall and flooding in late August resulted in at least 1,700 deaths, with 12,800 injured, including at least 4,000 children.",Pakistan,2022-10-07 11:14:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/unhcr-urgently-seeks-us66-million-communities-devastated-pakistan-floods,
 1700            , Dead               , NA    , NA     ,"Nearly 1,700 people are reported to have died, and over 12,800 were injured, including at least 4,000 children.",Pakistan,2022-10-05 15:47:00+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-flood-response-unhcr-supplementary-appeal-september-2022-december-2023,
 12800           , Injured            , NA    , NA     ,"Nearly 1,700 people are reported to have died, and over 12,800 were injured, including at least 4,000 children.",Pakistan,2022-10-05 15:47:00+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-flood-response-unhcr-supplementary-appeal-september-2022-december-2023,
 4000            , Injured            , Child , NA     ,"Nearly 1,700 people are reported to have died, and over 12,800 were injured, including at least 4,000 children.",Pakistan,2022-10-05 15:47:00+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-flood-response-unhcr-supplementary-appeal-september-2022-december-2023,
" 12,867 ", Injured , Not mentioned , Not mentioned ,"According to National Disaster Management Authority (NDMA), as of 4 October, about 1,696 people have died, and around 12,867 individuals sustained injuries.",Pakistan,2022-10-05 11:35:08+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-monsoon-rains-update-dg-echo-ndma-pmd-echo-daily-flash-05-october-2022,
" 1,696 ", Dead , Not mentioned , Not mentioned ,"According to National Disaster Management Authority (NDMA), as of 4 October, about 1,696 people have died, and around 12,867 individuals sustained injuries.",Pakistan,2022-10-05 11:35:08+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-monsoon-rains-update-dg-echo-ndma-pmd-echo-daily-flash-05-october-2022,
 630 , Dead (children) , - , - ,"According to National Disaster Management Authority (NDMA), over 1,695 people including 630 children have lost their lives and at least 12,865 people are injured.",Pakistan,2022-10-05 02:10:21+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-2-mdrpk023,
" 1,695 ", Dead , - , - ,"According to National Disaster Management Authority (NDMA), over 1,695 people including 630 children have lost their lives and at least 12,865 people are injured.",Pakistan,2022-10-05 02:10:21+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-2-mdrpk023,
" 12,865 ", Injured , - , - ,"According to National Disaster Management Authority (NDMA), over 1,695 people including 630 children have lost their lives and at least 12,865 people are injured.",Pakistan,2022-10-05 02:10:21+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-2-mdrpk023,
            1500           ,      Dead     , N/A ,   N/A  ,"The loss of over 1,500 people is tragic – however it is also remarkable that many more did not perish.",Pakistan,2022-10-04 13:04:41+00:00,News and Press Release,https://reliefweb.int/report/pakistan/who-director-generals-remarks-ocha-briefing-emergency-flood-response-pakistan-4-october-2022,
 1600   , Dead     , N/A , N/A    ,"According to the National Disaster Management Authority (NDMA), between 14 June and 28 September more than 1,600 people were killed and over 12,800 people were injured as a result of the heavy rains and floods, including 333 women and 615 children killed and 3,452 women and 4,006 children injured.",Pakistan,2022-10-04 08:00:16+00:00,Appeal,https://reliefweb.int/report/pakistan/revised-pakistan-2022-floods-response-plan-01-sep-2022-31-may-2023-04-oct-2022,
 12800  , Injured  , N/A , N/A    ,"According to the National Disaster Management Authority (NDMA), between 14 June and 28 September more than 1,600 people were killed and over 12,800 people were injured as a result of the heavy rains and floods, including 333 women and 615 children killed and 3,452 women and 4,006 children injured.",Pakistan,2022-10-04 08:00:16+00:00,Appeal,https://reliefweb.int/report/pakistan/revised-pakistan-2022-floods-response-plan-01-sep-2022-31-may-2023-04-oct-2022,
 333    , Dead     , N/A , Women  ,"According to the National Disaster Management Authority (NDMA), between 14 June and 28 September more than 1,600 people were killed and over 12,800 people were injured as a result of the heavy rains and floods, including 333 women and 615 children killed and 3,452 women and 4,006 children injured.",Pakistan,2022-10-04 08:00:16+00:00,Appeal,https://reliefweb.int/report/pakistan/revised-pakistan-2022-floods-response-plan-01-sep-2022-31-may-2023-04-oct-2022,
 615    , Dead     , N/A , Children ,"According to the National Disaster Management Authority (NDMA), between 14 June and 28 September more than 1,600 people were killed and over 12,800 people were injured as a result of the heavy rains and floods, including 333 women and 615 children killed and 3,452 women and 4,006 children injured.",Pakistan,2022-10-04 08:00:16+00:00,Appeal,https://reliefweb.int/report/pakistan/revised-pakistan-2022-floods-response-plan-01-sep-2022-31-may-2023-04-oct-2022,
 3452   , Injured  , N/A , Women  ,"According to the National Disaster Management Authority (NDMA), between 14 June and 28 September more than 1,600 people were killed and over 12,800 people were injured as a result of the heavy rains and floods, including 333 women and 615 children killed and 3,452 women and 4,006 children injured.",Pakistan,2022-10-04 08:00:16+00:00,Appeal,https://reliefweb.int/report/pakistan/revised-pakistan-2022-floods-response-plan-01-sep-2022-31-may-2023-04-oct-2022,
 4006   , Injured  , N/A , Children ,"According to the National Disaster Management Authority (NDMA), between 14 June and 28 September more than 1,600 people were killed and over 12,800 people were injured as a result of the heavy rains and floods, including 333 women and 615 children killed and 3,452 women and 4,006 children injured.",Pakistan,2022-10-04 08:00:16+00:00,Appeal,https://reliefweb.int/report/pakistan/revised-pakistan-2022-floods-response-plan-01-sep-2022-31-may-2023-04-oct-2022,
         1144787            ,                       ,  NA ,   NA   ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
          1943978           ,       Total damage    ,  NA ,   NA   ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
           12860            ,        Injured        ,  NA ,   NA   ,"As per the NDMA data of 17th Sep 2022, the rains and floods catastrophes claimed 1545 deaths, 12860 human-injuries, 778560 fully damaged HHs (FDs) and 1144787 partially damaged HHs (PDs), thus total damaged HHs have been 1943978.",Pakistan,2022-10-04 05:57:35+00:00,Assessment,https://reliefweb.int/report/pakistan/detail-needs-assessment-flood-emergency-kp-25th-sep-2022,
