number of workers affected,type of workers,workers affected working sector,productive asset type,productive asset loss,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 0                         , N/A             , N/A     , Infant formula        , N/A                            ,"There was also a 3% increase in infants getting infant formula after the floods; 67% indicated it was because they felt they could not produce enough milk, 33% had unsuccessful breastfeeding experiences before, and 17% animal milk was readily available.",Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 67                        , Infants         , N/A     , Breast milk           , N/A                            ,"There was also a 3% increase in infants getting infant formula after the floods; 67% indicated it was because they felt they could not produce enough milk, 33% had unsuccessful breastfeeding experiences before, and 17% animal milk was readily available.",Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 33                        , Infants         , N/A     , Breast milk           , N/A                            ,"There was also a 3% increase in infants getting infant formula after the floods; 67% indicated it was because they felt they could not produce enough milk, 33% had unsuccessful breastfeeding experiences before, and 17% animal milk was readily available.",Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 17                        , Infants         , N/A     , Animal milk           , N/A                            ,"There was also a 3% increase in infants getting infant formula after the floods; 67% indicated it was because they felt they could not produce enough milk, 33% had unsuccessful breastfeeding experiences before, and 17% animal milk was readily available.",Pakistan,2023-05-04 10:23:26+00:00,Assessment,https://reliefweb.int/report/pakistan/rapid-care-feeding-assessment-flood-affected-areas-assessing-affected-children-needs-real-time-february-2023-monhsrc-unicef-ipsos,
 --- , --- , --- , --- , --- ,Six people were killed and 15 injured; houses collapsed.,Pakistan,2023-05-16 04:56:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-floods-situation-report-10-may-2023,
 0 , N/A , N/A , N/A , N/A ,Six people were killed and 15 injured; houses collapsed.,Pakistan,2023-05-16 04:56:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-floods-situation-report-10-may-2023,
 6 , N/A , N/A , N/A , N/A ,Six people were killed and 15 injured; houses collapsed.,Pakistan,2023-05-16 04:56:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-floods-situation-report-10-may-2023,
 15 , N/A , N/A , N/A , N/A ,Six people were killed and 15 injured; houses collapsed.,Pakistan,2023-05-16 04:56:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-floods-situation-report-10-may-2023,
 0 , N/A , N/A , Houses , collapsed ,Six people were killed and 15 injured; houses collapsed.,Pakistan,2023-05-16 04:56:04+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-floods-situation-report-10-may-2023,
 --- , --- , --- , --- , --- ,"• Since April 2023, heavy rainfall and flashfloods have tragically caused the death of 19 people, injured more than 10, and destroyed properties, bridges, highways, crops, and livestock.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 0 , N/A , N/A , Crops , N/A ,"• Since April 2023, heavy rainfall and flashfloods have tragically caused the death of 19 people, injured more than 10, and destroyed properties, bridges, highways, crops, and livestock.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 0 , N/A , N/A , Livestock , N/A ,"• Since April 2023, heavy rainfall and flashfloods have tragically caused the death of 19 people, injured more than 10, and destroyed properties, bridges, highways, crops, and livestock.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 N/A , N/A , Properties , N/A , N/A ,"• Since April 2023, heavy rainfall and flashfloods have tragically caused the death of 19 people, injured more than 10, and destroyed properties, bridges, highways, crops, and livestock.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 N/A , N/A , Bridges , N/A , N/A ,"• Since April 2023, heavy rainfall and flashfloods have tragically caused the death of 19 people, injured more than 10, and destroyed properties, bridges, highways, crops, and livestock.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 N/A , N/A , Highways , N/A , N/A ,"• Since April 2023, heavy rainfall and flashfloods have tragically caused the death of 19 people, injured more than 10, and destroyed properties, bridges, highways, crops, and livestock.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
------------------,----------------,--------,----------------------,--------------------------------,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
        0         ,        -       ,   -    ,       Cattle         ,           100                ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
        -         ,        -       ,   -    ,       Houses         ,            24                ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
        11        ,        -       ,   -    ,        -             ,             -                ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
        -         ,        -       ,   -    ,          -           ,             -                ,"The Provincial Disaster Management Authority (PDMA) reported 13 deaths, 11 injuries, 24 damaged or destroyed houses and over 100 cattle perished.",Pakistan,2023-05-12 06:00:11+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-16-8-may-2023,
 -------------------------- , ------------------- , --------- , ------------------------ , ---------------------------------- ,"Highlights Floods in 2022 affected 33 million people with 1,739 lives lost, and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-04-17 16:49:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-11-march-2023,
 33 million , Not specified , Not specified , Houses , 2.2 million damaged or destroyed ,"Highlights Floods in 2022 affected 33 million people with 1,739 lives lost, and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-04-17 16:49:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-11-march-2023,
" 1,739 ", Not specified , Not specified , Not specified , Not specified ,"Highlights Floods in 2022 affected 33 million people with 1,739 lives lost, and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-04-17 16:49:56+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-11-march-2023,
 --- , --- , --- , --- , --- ,Summary: what you absolutely need to know Many communities affected by the flooding in Pakistan in June-August 2022 are still dealing with severe impacts to their livelihoods and the loss of essential infrastructure.,Pakistan,2023-04-19 13:18:26+00:00,Analysis,https://reliefweb.int/report/pakistan/dangerous-information-gap-flood-affected-communities-sindh-and-south-punjab-lack-information-they-need-access-assistance-avoid-further-harm-and-prepare-future-floods-enur,Pakistan
 N/A , N/A , N/A , N/A , N/A ,Summary: what you absolutely need to know Many communities affected by the flooding in Pakistan in June-August 2022 are still dealing with severe impacts to their livelihoods and the loss of essential infrastructure.,Pakistan,2023-04-19 13:18:26+00:00,Analysis,https://reliefweb.int/report/pakistan/dangerous-information-gap-flood-affected-communities-sindh-and-south-punjab-lack-information-they-need-access-assistance-avoid-further-harm-and-prepare-future-floods-enur,Pakistan
---,---,---,---,---,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
 N/A , N/A , N/A , home , 1 million ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
 N/A , N/A , agriculture , crops , 2 million acres ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
 N/A , N/A , transportation , roads , 500 000 kilometers ,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
,,,,,"Within a few weeks, the estimated cost of damages exceeded US$ 15 billion, with over one million homes destroyed, 2 million acres of crops flooded, and 500 000 kilometres of roads damaged.",Pakistan,2023-04-18 16:35:37+00:00,News and Press Release,https://reliefweb.int/report/pakistan/it-was-just-perfect-storm-malaria-pakistan-responds-surge-cases-following-2022-floods,
--------,----------------,--------,-----------------------,--------------------------------,"As of 18 November 2022, the Pakistan National Disaster Management Authority (NDMA) reported over 1,700 people having lost their lives and at least 12,867 people injured.",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
" 1,700  ", N/A            , N/A     , N/A                   , N/A                            ,"As of 18 November 2022, the Pakistan National Disaster Management Authority (NDMA) reported over 1,700 people having lost their lives and at least 12,867 people injured.",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
" 12,867 ", N/A            , N/A     , N/A                   , N/A                            ,"As of 18 November 2022, the Pakistan National Disaster Management Authority (NDMA) reported over 1,700 people having lost their lives and at least 12,867 people injured.",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
----------------------------,----------------,----------------,-----------------------,--------------------------------,"According to the government’s preliminary estimates, the floods will increase the poverty rate by 3.7 to 4.0 per cent resulting in 8.4 to 9.1 million people being pushed into poverty3 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
"    8,400,000 - 9,100,000   ",   Not mentioned   ,   Not mentioned   ,       Not mentioned       ,     Not mentioned         ,"According to the government’s preliminary estimates, the floods will increase the poverty rate by 3.7 to 4.0 per cent resulting in 8.4 to 9.1 million people being pushed into poverty3 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
-----------------------,----------------,----------------,----------------------,--------------------------------,“We only had 25 minutes to leave the house.,Pakistan,2023-04-11 12:39:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/after-floods-how-polio-program-came-together-help-flood-affected-frontline-workers,
           0           ,       N/A      ,      N/A       ,         N/A          ,               N/A              ,“We only had 25 minutes to leave the house.,Pakistan,2023-04-11 12:39:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/after-floods-how-polio-program-came-together-help-flood-affected-frontline-workers,
,,,,,“We only had 25 minutes to leave the house.,Pakistan,2023-04-11 12:39:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/after-floods-how-polio-program-came-together-help-flood-affected-frontline-workers,
  --- , --- , --- , --- , --- ,"With slowing activity, the lower middle-income poverty rate is expected to increase to 37.2 percent in FY23.",Pakistan,2023-04-05 16:25:12+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-development-update-recent-economic-developments-outlook-and-risks-april-2023,
 N/A , N/A , N/A , N/A , N/A ,"With slowing activity, the lower middle-income poverty rate is expected to increase to 37.2 percent in FY23.",Pakistan,2023-04-05 16:25:12+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-development-update-recent-economic-developments-outlook-and-risks-april-2023,
 0 ,  ,  ,  ,  ,"With slowing activity, the lower middle-income poverty rate is expected to increase to 37.2 percent in FY23.",Pakistan,2023-04-05 16:25:12+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-development-update-recent-economic-developments-outlook-and-risks-april-2023,
  ,  ,  ,  ,  ,"With slowing activity, the lower middle-income poverty rate is expected to increase to 37.2 percent in FY23.",Pakistan,2023-04-05 16:25:12+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-development-update-recent-economic-developments-outlook-and-risks-april-2023,
  ,  ,  ,  ,,"With slowing activity, the lower middle-income poverty rate is expected to increase to 37.2 percent in FY23.",Pakistan,2023-04-05 16:25:12+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-development-update-recent-economic-developments-outlook-and-risks-april-2023,
----------------------------,----------------,-------------,----------------------,--------------------------------,"Villages and infrastructure were washed away, more than 2 million people lost their homes, more than 1,700 people were killed and millions of animals drowned.",Pakistan,2023-03-31 00:46:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-water-conference-flooding-pakistan,
"        2,000,000          ",      N/A       ,   N/A       ,         Homes        ,          Lost                  ,"Villages and infrastructure were washed away, more than 2 million people lost their homes, more than 1,700 people were killed and millions of animals drowned.",Pakistan,2023-03-31 00:46:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-water-conference-flooding-pakistan,
"          1,700           ",      N/A       ,   N/A       ,         N/A          ,          N/A                   ,"Villages and infrastructure were washed away, more than 2 million people lost their homes, more than 1,700 people were killed and millions of animals drowned.",Pakistan,2023-03-31 00:46:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-water-conference-flooding-pakistan,
         Millions          ,     Animals    ,   N/A       ,         N/A          ,          Drowned               ,"Villages and infrastructure were washed away, more than 2 million people lost their homes, more than 1,700 people were killed and millions of animals drowned.",Pakistan,2023-03-31 00:46:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-water-conference-flooding-pakistan,
 --- , --- , --- , --- , --- ,"At the same time, open defecation has increased by more than 14 per cent in the flood-affected regions.",Pakistan,2023-03-21 01:28:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/more-10-million-people-including-children-living-pakistans-flood-affected-areas-still-lack-access-safe-drinking-water,
 0 , N/A , N/A , N/A , N/A ,"At the same time, open defecation has increased by more than 14 per cent in the flood-affected regions.",Pakistan,2023-03-21 01:28:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/more-10-million-people-including-children-living-pakistans-flood-affected-areas-still-lack-access-safe-drinking-water,
 14% , N/A , N/A , N/A , N/A ,"At the same time, open defecation has increased by more than 14 per cent in the flood-affected regions.",Pakistan,2023-03-21 01:28:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/more-10-million-people-including-children-living-pakistans-flood-affected-areas-still-lack-access-safe-drinking-water,
---,---,---,---,---,"Six months ago, the raging floods swallowed her entire village, leaving her family and nearly 450 other families homeless, hungry and grappling to survive.",Pakistan,2023-03-22 06:43:35+00:00,News and Press Release,https://reliefweb.int/report/pakistan/water-essential-all-available-few,
450 (approximate),Not specified,Not specified,Houses,Entire village,"Six months ago, the raging floods swallowed her entire village, leaving her family and nearly 450 other families homeless, hungry and grappling to survive.",Pakistan,2023-03-22 06:43:35+00:00,News and Press Release,https://reliefweb.int/report/pakistan/water-essential-all-available-few,
------------------,----------------,-------------------,----------------------,--------------------------------,"Situation in Numbers 33 million
People affected by heavy rains and floods 9.6 million
Children in need of humanitarian assistance 20.6 million
People in need of humanitarian assistance Highlights The floods of 2022 affected 33 million people with 1,739 lives lost, and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
 0                , N/A            , N/A               , Houses               , 2.2 million                    ,"Situation in Numbers 33 million
People affected by heavy rains and floods 9.6 million
Children in need of humanitarian assistance 20.6 million
People in need of humanitarian assistance Highlights The floods of 2022 affected 33 million people with 1,739 lives lost, and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
 0                , N/A            , N/A               , Lives                ," 1,739                          ","Situation in Numbers 33 million
People affected by heavy rains and floods 9.6 million
Children in need of humanitarian assistance 20.6 million
People in need of humanitarian assistance Highlights The floods of 2022 affected 33 million people with 1,739 lives lost, and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
 ---------------- , --------------- , ------ , --------------------- , ------------------------------ ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
 0                , N/A             , N/A    , Houses                ," Partially Damaged: 1,391,467  ","As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
 0                , N/A             , N/A    , Houses                ," Fully Damaged: 897,014         ","As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
" 1,739            ", N/A             , N/A    , N/A                   , N/A                            ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
 647              , Children        , N/A    , N/A                   , N/A                            ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
" 12,867           ", N/A             , N/A    , N/A                   , N/A                            ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
" 4,006            ", Children        , N/A    , N/A                   , N/A                            ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
------------------------,----------------,--------,----------------------,--------------------------------,"According to the International Labour Organization (ILO), Around 4.3 million workers in flood-affected districts have been affected by disruptions and job losses.",Pakistan,2023-03-10 04:57:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-15-9-march-2023,
" 4,300,000              ", Not specified  , Not specified , Not specified , Not specified ,"According to the International Labour Organization (ILO), Around 4.3 million workers in flood-affected districts have been affected by disruptions and job losses.",Pakistan,2023-03-10 04:57:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-15-9-march-2023,
----------------------------,----------------,--------,-----------------------,--------------------------------,"According to the International Labour Organization (ILO), The floods in Pakistan have had a devastating effect on the workforce, with 4.3 million workers in affected districts experiencing job losses and disruptions.",Pakistan,2023-03-10 04:57:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-15-9-march-2023,Pakistan
"         4,300,000         ",    All types    ,  All   ,        Not given       ,             Not given           ,"According to the International Labour Organization (ILO), The floods in Pakistan have had a devastating effect on the workforce, with 4.3 million workers in affected districts experiencing job losses and disruptions.",Pakistan,2023-03-10 04:57:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-15-9-march-2023,Pakistan
-----------------------,-----------------,--------,-----------------------,------------------------,"The agriculture sector was the most significantly impacted, with 43 per cent (1.9 million people) affected, followed by the services industry 36 per cent (1.5 million people), and industry 21 per cent (0.9 million people).",Pakistan,2023-03-10 04:57:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-15-9-march-2023,
       1.9 million      , Agriculture     ,   Agriculture  ,                      ,                        ,"The agriculture sector was the most significantly impacted, with 43 per cent (1.9 million people) affected, followed by the services industry 36 per cent (1.5 million people), and industry 21 per cent (0.9 million people).",Pakistan,2023-03-10 04:57:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-15-9-march-2023,
       1.5 million      ,                 , Services   ,                      ,                        ,"The agriculture sector was the most significantly impacted, with 43 per cent (1.9 million people) affected, followed by the services industry 36 per cent (1.5 million people), and industry 21 per cent (0.9 million people).",Pakistan,2023-03-10 04:57:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-15-9-march-2023,
       0.9 million      ,                 , Industry   ,                      ,                        ,"The agriculture sector was the most significantly impacted, with 43 per cent (1.9 million people) affected, followed by the services industry 36 per cent (1.5 million people), and industry 21 per cent (0.9 million people).",Pakistan,2023-03-10 04:57:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-15-9-march-2023,
 ------------ , ------------ , ------------ , ------------ , ------------ ,"Before the floods, Waqas and his family were subsistence farmers, with a buffalo, two cows, three goats and up to 12 chickens at a time, who they would breed to sell eggs as well as the animals themselves.",Pakistan,2023-03-09 00:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/we-are-barely-surviving-more-six-months-after-deadly-pakistan-floods-families-are-brink,
