number of people displaced,specific_group,From,To,"specific group, From, To",Source (Extracted from text),text,document title,primary_country,date_posted,format,url
8000000,refugees,not specified,europe,refugees to europe, UNHCR - January 2023 ,"SITUATION AT A GLANCE 7,110 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – January 2023 8 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – January 2023 5.9 MILLION People Internally Displaced Across UkraineIOM – December 2022 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 13.9 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – January 2023 • GoRF aerial attacks continued to result in civilian deaths and injuries in late January, including a wave of missile and UAV attacks from January 25 to 26 that killed at least 11 civilians.","Ukraine - Complex Emergency Fact Sheet #8, Fiscal Year (FY) 2023",['Ukraine'],2023-02-03,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-8-fiscal-year-fy-2023
59000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM - December 2022 ,"SITUATION AT A GLANCE 7,110 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – January 2023 8 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – January 2023 5.9 MILLION People Internally Displaced Across UkraineIOM – December 2022 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 13.9 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – January 2023 • GoRF aerial attacks continued to result in civilian deaths and injuries in late January, including a wave of missile and UAV attacks from January 25 to 26 that killed at least 11 civilians.","Ukraine - Complex Emergency Fact Sheet #8, Fiscal Year (FY) 2023",['Ukraine'],2023-02-03,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-8-fiscal-year-fy-2023
176000000,people in need of humanitarian assistance,not specified,not specified,people in need of humanitarian assistance, UN - January 2023 ,"SITUATION AT A GLANCE 7,110 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – January 2023 8 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – January 2023 5.9 MILLION People Internally Displaced Across UkraineIOM – December 2022 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 13.9 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – January 2023 • GoRF aerial attacks continued to result in civilian deaths and injuries in late January, including a wave of missile and UAV attacks from January 25 to 26 that killed at least 11 civilians.","Ukraine - Complex Emergency Fact Sheet #8, Fiscal Year (FY) 2023",['Ukraine'],2023-02-03,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-8-fiscal-year-fy-2023
139000000,people reached with humanitarian assistance,not specified,not specified,people reached with humanitarian assistance, UN - January 2023 ,"SITUATION AT A GLANCE 7,110 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – January 2023 8 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – January 2023 5.9 MILLION People Internally Displaced Across UkraineIOM – December 2022 17.6 MILLION People in Need of Humanitarian Assistance in UkraineUN – January 2023 13.9 MILLION People Reached With Humanitarian Assistance in Ukraine Since March 2022UN – January 2023 • GoRF aerial attacks continued to result in civilian deaths and injuries in late January, including a wave of missile and UAV attacks from January 25 to 26 that killed at least 11 civilians.","Ukraine - Complex Emergency Fact Sheet #8, Fiscal Year (FY) 2023",['Ukraine'],2023-02-03,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-8-fiscal-year-fy-2023
59000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), UN ,"Highlights • Since the war’s escalation on 24 February 2022, 1,148 children have been killed or injured and an estimated 5.9 million people have been internally displaced.",UNICEF Ukraine Humanitarian Situation Report No. 24: 24 February – 31 December 2022,['Ukraine'],2023-01-07,['Situation Report'],https://reliefweb.int/report/ukraine/unicef-ukraine-humanitarian-situation-report-no-24-24-february-31-december-2022
19000000,total population,not specified,not specified,total population, IOM Ukraine            ,"As of January 2023, over 19 million remained affected by various forms of displacement, including 5.4 million internally displaced persons (IDPs) – 58 per cent of whom displaced for six months or more – and 5.5 million returnees – one fifth of whom returning from abroad (IOM Ukraine, General Population Survey Round 12, 23 January 2023).",Ukraine Crisis 2022-2023: 1 Year of Response,['Ukraine'],2023-02-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-crisis-2022-2023-1-year-response
54000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM Ukraine            ,"As of January 2023, over 19 million remained affected by various forms of displacement, including 5.4 million internally displaced persons (IDPs) – 58 per cent of whom displaced for six months or more – and 5.5 million returnees – one fifth of whom returning from abroad (IOM Ukraine, General Population Survey Round 12, 23 January 2023).",Ukraine Crisis 2022-2023: 1 Year of Response,['Ukraine'],2023-02-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-crisis-2022-2023-1-year-response
8000000,refugees,not specified,other countries,refugees to other countries," UNHCR, 2023 ","Over eight million Ukrainians have sought refuge across borders while 602,337 crossings of thirdcountry nationals (TCNs) were recorded from the Ukrainian border into neighbouring countries (UNHCR, 2023; IOM, 2023).",Ukraine Crisis 2022-2023: 1 Year of Response,['Ukraine'],2023-02-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-crisis-2022-2023-1-year-response
7891977,refugees,not specified,europe,refugees to europe, Unknown ,"KEY FIGURES (as of 29 November) 7,891,977
refugees from Ukraine recorded across Europe 4,776,606
refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 6,540,000
estimated number of IDPs in Ukraine (as of 27 October)Source: Internal Displacement Report More details: Operational Data Portal, Ukraine Refugee Situation BACKGROUND Since the beginning of hostilities, nearly one-third of Ukrainians have been forced from their homes, in what has become one of the largest human displacement crises in the world today.",Ukraine Situation Flash Update #36 (2 December 2022),['Ukraine'],2022-12-02,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-36-2-december-2022
4776606,refugees,not specified,europe,refugees to europe, Unknown ,"KEY FIGURES (as of 29 November) 7,891,977
refugees from Ukraine recorded across Europe 4,776,606
refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 6,540,000
estimated number of IDPs in Ukraine (as of 27 October)Source: Internal Displacement Report More details: Operational Data Portal, Ukraine Refugee Situation BACKGROUND Since the beginning of hostilities, nearly one-third of Ukrainians have been forced from their homes, in what has become one of the largest human displacement crises in the world today.",Ukraine Situation Flash Update #36 (2 December 2022),['Ukraine'],2022-12-02,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-36-2-december-2022
6540000,refugees,not specified,europe,refugees to europe, Unknown ,"KEY FIGURES (as of 29 November) 7,891,977
refugees from Ukraine recorded across Europe 4,776,606
refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 6,540,000
estimated number of IDPs in Ukraine (as of 27 October)Source: Internal Displacement Report More details: Operational Data Portal, Ukraine Refugee Situation BACKGROUND Since the beginning of hostilities, nearly one-third of Ukrainians have been forced from their homes, in what has become one of the largest human displacement crises in the world today.",Ukraine Situation Flash Update #36 (2 December 2022),['Ukraine'],2022-12-02,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-36-2-december-2022
79000000,refugees,not specified,europe,refugees to europe, Text                  ,"As of today, close to 7.9 million refugees from Ukraine are present across Europe, of which some 4.7 million have registered for temporary protection or similar national protection schemes.",Ukraine Situation Flash Update #36 (2 December 2022),['Ukraine'],2022-12-02,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-36-2-december-2022
65000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM Ukraine Internal Displacement Report ,"According to the most recent Ukraine Internal Displacement Report by IOM, over 6.5 million people were internally displaced by the war within Ukraine as of 27 October.",Ukraine Situation Flash Update #36 (2 December 2022),['Ukraine'],2022-12-02,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-36-2-december-2022
7832493,refugees,not specified,europe,refugees to europe, Internal Displacement Report ,"KEY FIGURES (as of 06 December) 7,832,493
refugees from Ukraine
recorded across
Europe 4,805,531
refugees from
Ukraine registered for
Temporary Protection
or similar national
protection schemes in
Europe 5,914,000 estimated number of IDPs in Ukraine (as of 5 December) Source: Internal Displacement Report BACKGROUND While close to 7.9 million refugees from Ukraine were recorded across Europe, 4.7 million refugees from Ukraine have registered for temporary protection or similar national protection schemes.",Ukraine Situation Flash Update #37 (16 December 2022),['Ukraine'],2022-12-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-37-16-december-2022
4805531,refugees,not specified,europe,refugees to europe, Internal Displacement Report ,"KEY FIGURES (as of 06 December) 7,832,493
refugees from Ukraine
recorded across
Europe 4,805,531
refugees from
Ukraine registered for
Temporary Protection
or similar national
protection schemes in
Europe 5,914,000 estimated number of IDPs in Ukraine (as of 5 December) Source: Internal Displacement Report BACKGROUND While close to 7.9 million refugees from Ukraine were recorded across Europe, 4.7 million refugees from Ukraine have registered for temporary protection or similar national protection schemes.",Ukraine Situation Flash Update #37 (16 December 2022),['Ukraine'],2022-12-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-37-16-december-2022
5914000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Internal Displacement Report ,"KEY FIGURES (as of 06 December) 7,832,493
refugees from Ukraine
recorded across
Europe 4,805,531
refugees from
Ukraine registered for
Temporary Protection
or similar national
protection schemes in
Europe 5,914,000 estimated number of IDPs in Ukraine (as of 5 December) Source: Internal Displacement Report BACKGROUND While close to 7.9 million refugees from Ukraine were recorded across Europe, 4.7 million refugees from Ukraine have registered for temporary protection or similar national protection schemes.",Ukraine Situation Flash Update #37 (16 December 2022),['Ukraine'],2022-12-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-37-16-december-2022
59000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps)," IOM Ukraine Internal Displacement Report 11th Rapid Assessment, as of December 5 ","According to the IOM Ukraine Internal Displacement Report 11th rapid assessment, as of 5 December, there were over 5.9 million people displaced by the war within Ukraine.",Ukraine Situation Flash Update #37 (16 December 2022),['Ukraine'],2022-12-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-37-16-december-2022
680000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Report ,"According to the report, some 680,000 people have been newly displaced within the last month.",Ukraine Situation Flash Update #37 (16 December 2022),['Ukraine'],2022-12-16,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-37-16-december-2022
78000000,refugees,not specified,europe,refugees to europe, Text ,"As of today, over 7.8 million refugees from Ukraine are present across Europe, of which 4.7 million have registered for temporary protection or similar national protection schemes.",Ukraine Situation Flash Update #35 (18 November 2022),['Ukraine'],2022-11-18,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-35-18-november-2022
65000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Ukraine Internal Displacement Report by IOM ,"According to the Ukraine Internal Displacement Report by IOM, over 6.5 million people were internally displaced by the war within Ukraine as of 27 October.",Ukraine Situation Flash Update #35 (18 November 2022),['Ukraine'],2022-11-18,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-35-18-november-2022
69000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Internal Displacement Report by International Organization for Migration ,The Internal Displacement Report released by the International Organization for Migration reports that between the 23 August and 2 October the total number of internally displaced people (IDPs) in Ukraine has decreased from 6.9 million to 6.2 million.,WHO Ukraine Crisis Response (October 2022 Bulletin),['Ukraine'],2022-12-02,['Situation Report'],https://reliefweb.int/report/ukraine/who-ukraine-crisis-response-october-2022-bulletin
62000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Internal Displacement Report by International Organization for Migration ,The Internal Displacement Report released by the International Organization for Migration reports that between the 23 August and 2 October the total number of internally displaced people (IDPs) in Ukraine has decreased from 6.9 million to 6.2 million.,WHO Ukraine Crisis Response (October 2022 Bulletin),['Ukraine'],2022-12-02,['Situation Report'],https://reliefweb.int/report/ukraine/who-ukraine-crisis-response-october-2022-bulletin
79000000,refugees,not specified,europe,refugees to europe, UNHCR – December 2022 ,"SITUATION AT A GLANCE 6,826 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – December 2022 7.9 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – December 2022 5.9 MILLION People Internally Displaced Across UkraineIOM – December 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – November 2022 13.6 MILLION People Reached With Humanitarian Assistance in UkraineUN – December 2022 • On December 21, the USG announced $374 million in additional humanitarian assistance—including food, health, protection, shelter, and WASH support—for the people of Ukraine.","Ukraine - Complex Emergency Fact Sheet #5, Fiscal Year (FY) 2023",['Ukraine'],2022-12-23,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-5-fiscal-year-fy-2023
59000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – December 2022 ,"SITUATION AT A GLANCE 6,826 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – December 2022 7.9 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – December 2022 5.9 MILLION People Internally Displaced Across UkraineIOM – December 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – November 2022 13.6 MILLION People Reached With Humanitarian Assistance in UkraineUN – December 2022 • On December 21, the USG announced $374 million in additional humanitarian assistance—including food, health, protection, shelter, and WASH support—for the people of Ukraine.","Ukraine - Complex Emergency Fact Sheet #5, Fiscal Year (FY) 2023",['Ukraine'],2022-12-23,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-5-fiscal-year-fy-2023
177000000,people in need of humanitarian assistance,not specified,not specified,people in need of humanitarian assistance, UN – November 2022 ,"SITUATION AT A GLANCE 6,826 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – December 2022 7.9 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – December 2022 5.9 MILLION People Internally Displaced Across UkraineIOM – December 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – November 2022 13.6 MILLION People Reached With Humanitarian Assistance in UkraineUN – December 2022 • On December 21, the USG announced $374 million in additional humanitarian assistance—including food, health, protection, shelter, and WASH support—for the people of Ukraine.","Ukraine - Complex Emergency Fact Sheet #5, Fiscal Year (FY) 2023",['Ukraine'],2022-12-23,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-5-fiscal-year-fy-2023
136000000,people reached with humanitarian assistance,not specified,not specified,people reached with humanitarian assistance, UN – December 2022 ,"SITUATION AT A GLANCE 6,826 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – December 2022 7.9 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – December 2022 5.9 MILLION People Internally Displaced Across UkraineIOM – December 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – November 2022 13.6 MILLION People Reached With Humanitarian Assistance in UkraineUN – December 2022 • On December 21, the USG announced $374 million in additional humanitarian assistance—including food, health, protection, shelter, and WASH support—for the people of Ukraine.","Ukraine - Complex Emergency Fact Sheet #5, Fiscal Year (FY) 2023",['Ukraine'],2022-12-23,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-5-fiscal-year-fy-2023
374000000,total population,not specified,not specified,total population, USG humanitarian assistance announcement ,"SITUATION AT A GLANCE 6,826 UN-Confirmed Civilian Deaths Resulting From the ConflictOHCHR – December 2022 7.9 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – December 2022 5.9 MILLION People Internally Displaced Across UkraineIOM – December 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – November 2022 13.6 MILLION People Reached With Humanitarian Assistance in UkraineUN – December 2022 • On December 21, the USG announced $374 million in additional humanitarian assistance—including food, health, protection, shelter, and WASH support—for the people of Ukraine.","Ukraine - Complex Emergency Fact Sheet #5, Fiscal Year (FY) 2023",['Ukraine'],2022-12-23,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-5-fiscal-year-fy-2023
591000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM ,"As of 5 December, IOM estimates 5.91 million people are internally displaced across Ukraine.","Ukraine Emergency: UNHCR Operational Response, Delivery Updates (21 December 2022)[EN/UK]",['Ukraine'],2022-12-22,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-emergency-unhcr-operational-response-delivery-updates-21-december-2022enuk
65000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), News article/Report ,"• As of 27 October 2022, the estimated number of internally displaced people within Ukraine is 6.5 million.","Ukraine: FAO Humanitarian response update, 2 December 2022",['Ukraine'],2022-12-05,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-fao-humanitarian-response-update-2-december-2022
79000000,refugees,not specified,europe,refugees to europe, UNHCR – November 2022 ,"SITUATION AT A GLANCE 6,655 Civilian Deaths Resulting From the ConflictOHCHR – November 2022 7.9 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – November 2022 6.5 MILLION People Internally Displaced Across UkraineIOM – October 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – November 2022 13.5 MILLION People Reached With Humanitarian Assistance in UkraineOCHA – October 2022 GoRF forces continue to target critical infrastructure and civilian population centers across Ukraine with waves of aerial attacks, generating civilian casualties and causing widespread electrical, water, and heating shortages.","Ukraine - Complex Emergency Fact Sheet #3, Fiscal Year (FY) 2023",['Ukraine'],2022-12-03,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-3-fiscal-year-fy-2023
7710924,refugees,not specified,europe,refugees to europe, Internal Displacement Report ,"KEY FIGURES 7,710,924 refugees from Ukraine recorded across Europe 4,386,102 refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 6,243,000 estimated number of IDPs in Ukraine Source: Internal Displacement Report BACKGROUND Since the beginning of hostilities, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #33 (21 October 2022),['Ukraine'],2022-10-21,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-33-21-october-2022
4386102,refugees,not specified,europe,refugees to europe, Internal Displacement Report ,"KEY FIGURES 7,710,924 refugees from Ukraine recorded across Europe 4,386,102 refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 6,243,000 estimated number of IDPs in Ukraine Source: Internal Displacement Report BACKGROUND Since the beginning of hostilities, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #33 (21 October 2022),['Ukraine'],2022-10-21,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-33-21-october-2022
6243000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Internal Displacement Report ,"KEY FIGURES 7,710,924 refugees from Ukraine recorded across Europe 4,386,102 refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe 6,243,000 estimated number of IDPs in Ukraine Source: Internal Displacement Report BACKGROUND Since the beginning of hostilities, nearly one-third of Ukrainians have been forced from their homes.",Ukraine Situation Flash Update #33 (21 October 2022),['Ukraine'],2022-10-21,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-33-21-october-2022
78000000,refugees,not specified,neighbouring countries,refugees to neighbouring countries, Statement in text ,"More than 7.8 million people have fled the escalating violence in Ukraine to find safety and refuge in neighbouring countries, while over 6.5 million have been displaced from their homes within Ukraine.","UACT: Scouts in humanitarian response for Ukraine, Six month Situation Report April - August 2022",['Ukraine'],2022-11-10,['Situation Report'],https://reliefweb.int/report/ukraine/uact-scouts-humanitarian-response-ukraine-six-month-situation-report-april-august-2022
65000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Statement in text ,"More than 7.8 million people have fled the escalating violence in Ukraine to find safety and refuge in neighbouring countries, while over 6.5 million have been displaced from their homes within Ukraine.","UACT: Scouts in humanitarian response for Ukraine, Six month Situation Report April - August 2022",['Ukraine'],2022-11-10,['Situation Report'],https://reliefweb.int/report/ukraine/uact-scouts-humanitarian-response-ukraine-six-month-situation-report-april-august-2022
6243000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), The International Organization for Migration (IOM),"The International
Organization for Migration (IOM) reported in its General Population Survey Round 9 that, while the total number of internally displaced Ukrainians decreased by more than 732,000 between August and September to 6,243,000 million, more than
740,000 people countrywide also said they are considering moving before the start of the heating season and winter.","Ukraine: Situation Report, 12 Oct 2022 [EN/UK]",['Ukraine'],2022-10-17,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-report-12-oct-2022-enuk
6240000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM Report             ,"According to the new Ukraine IDP Report by IOM, 6.24 million people remain internally displaced in the country.","Ukraine Emergency: UNHCR Operational Response, Delivery Updates (5 October 2022) [EN/UK]",['Ukraine'],2022-10-06,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-emergency-unhcr-operational-response-delivery-updates-5-october-2022-enuk
75000000,refugees,not specified,europe,refugees to europe, UNHCR – September 2022 ,"SITUATION AT A GLANCE 5,996 Civilian Deaths Resulting From the ConflictOHCHR – September 2022 7.5 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – September 2022 6.2 MILLION People Internally Displaced Across UkraineIOM – September 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – August 2022 13.3 MILLION People Reached With Humanitarian Assistance in UkraineUN – September 2022 GoRF attacks in eastern and southern Ukraine result in mass power outages, including for more than 700,000 people across Donetsk, Kharkiv, and Luhansk oblasts.","Ukraine - Complex Emergency Fact Sheet #29, Fiscal Year (FY) 2022",['Ukraine'],2022-10-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-29-fiscal-year-fy-2022
62000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – September 2022 ,"SITUATION AT A GLANCE 5,996 Civilian Deaths Resulting From the ConflictOHCHR – September 2022 7.5 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – September 2022 6.2 MILLION People Internally Displaced Across UkraineIOM – September 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – August 2022 13.3 MILLION People Reached With Humanitarian Assistance in UkraineUN – September 2022 GoRF attacks in eastern and southern Ukraine result in mass power outages, including for more than 700,000 people across Donetsk, Kharkiv, and Luhansk oblasts.","Ukraine - Complex Emergency Fact Sheet #29, Fiscal Year (FY) 2022",['Ukraine'],2022-10-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-29-fiscal-year-fy-2022
177000000,people in need of humanitarian assistance,not specified,not specified,people in need of humanitarian assistance, UN – August 2022 ,"SITUATION AT A GLANCE 5,996 Civilian Deaths Resulting From the ConflictOHCHR – September 2022 7.5 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – September 2022 6.2 MILLION People Internally Displaced Across UkraineIOM – September 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – August 2022 13.3 MILLION People Reached With Humanitarian Assistance in UkraineUN – September 2022 GoRF attacks in eastern and southern Ukraine result in mass power outages, including for more than 700,000 people across Donetsk, Kharkiv, and Luhansk oblasts.","Ukraine - Complex Emergency Fact Sheet #29, Fiscal Year (FY) 2022",['Ukraine'],2022-10-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-29-fiscal-year-fy-2022
133000000,people reached with humanitarian assistance,not specified,not specified,people reached with humanitarian assistance, UN – September 2022 ,"SITUATION AT A GLANCE 5,996 Civilian Deaths Resulting From the ConflictOHCHR – September 2022 7.5 MILLION Refugees From Ukraine Recorded Across EuropeUNHCR – September 2022 6.2 MILLION People Internally Displaced Across UkraineIOM – September 2022 17.7 MILLION People in Need of Humanitarian Assistance in UkraineUN – August 2022 13.3 MILLION People Reached With Humanitarian Assistance in UkraineUN – September 2022 GoRF attacks in eastern and southern Ukraine result in mass power outages, including for more than 700,000 people across Donetsk, Kharkiv, and Luhansk oblasts.","Ukraine - Complex Emergency Fact Sheet #29, Fiscal Year (FY) 2022",['Ukraine'],2022-10-19,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-29-fiscal-year-fy-2022
62000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), NA ,"As of 26 September 2022, the estimated number of internally displaced people (IDPs) in Ukraine has decreased from 6.9 million to 6.2 million as many have returned to their homes in the newly accessible areas.","Ukraine: FAO Humanitarian response update, 18 October 2022",['Ukraine'],2022-10-18,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-fao-humanitarian-response-update-18-october-2022
62000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Text provided ,"Within Ukraine, over 6.2 million people remain displaced by the war.",Ukraine Situation Flash Update #34 (4 November 2022),['Ukraine'],2022-11-04,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-34-4-november-2022
78000000,refugees,not specified,europe,refugees to europe,     given in text     ,"As of today, close to 7.8 million refugees from Ukraine are present across Europe.",Ukraine Situation Flash Update #34 (4 November 2022),['Ukraine'],2022-11-04,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-34-4-november-2022
624000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Key Figures Report ,"KEY FIGURES 6.24
million
Internally displaced persons in Ukraine* 17.7
million
People in urgent need of humanitarian assistance and protection** 11.5
million
People targeted for humanitarian assistance in the Ukraine Flash Appeal.","Ukraine Emergency: UNHCR Operational Response, Delivery Updates (19 October 2022) [EN/UK]",['Ukraine'],2022-10-20,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-emergency-unhcr-operational-response-delivery-updates-19-october-2022-enuk
7000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps)," OCHA, Ukraine Situation Report, 21 September 2022 ","Situation in Numbers 3.3 million Children in need inside Ukraine (Ukraine Flash Appeal 2022, August revision) 17.7 million People in need inside Ukraine (Ukraine Flash Appeal 2022, August revision) 7 million Internally displaced people (OCHA, Ukraine Situation Report, 21 September 2022.)",UNICEF Ukraine Humanitarian Situation Report No. 21: 30 September 2022,['Ukraine'],2022-10-19,['Situation Report'],https://reliefweb.int/report/ukraine/unicef-ukraine-humanitarian-situation-report-no-21-30-september-2022
7000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Estimation             ,"Overall, within Ukraine, nearly 7 million are estimated to be internally displaced, with the majority displaced from Donetska, Kharkivska and Luhanska oblasts in eastern Ukraine.",UNICEF Ukraine Humanitarian Situation Report No. 21: 30 September 2022,['Ukraine'],2022-10-19,['Situation Report'],https://reliefweb.int/report/ukraine/unicef-ukraine-humanitarian-situation-report-no-21-30-september-2022
77000000,refugees,not specified,europe,refugees to europe, UNHCR - October 2022   ,"SITUATION AT A GLANCE 6,374
Civilian Deaths Resulting From the ConflictOHCHR – October 2022 7.7 MILLION
Refugees From Ukraine Recorded Across EuropeUNHCR – October 2022 6.2 MILLION
People Internally Displaced Across UkraineIOM – September 2022 17.7 MILLION
People in Need of Humanitarian Assistance in UkraineUN – August 2022 13.5 MILLION
People Reached With Humanitarian Assistance in UkraineOCHA – October 2022 GoRF attacks on critical civilian infrastructure since October 10 have resulted in widespread utility outages across Ukraine, potentially exacerbating humanitarian needs ahead of the winter season.","Ukraine - Complex Emergency Fact Sheet #1, Fiscal Year (FY) 2023",['Ukraine'],2022-10-29,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-1-fiscal-year-fy-2023
