number of workers affected,type of workers,workers affected working sector,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 1 , N/A , N/A ,"The ability to meet basic needs has slightly improved compared to the previous year, probably due to the end of COVID-19 restrictions and to wage increases.",Türkiye,2023-04-28 09:30:06+00:00,Assessment,https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye,
 1 , N/A , N/A ,"The ability to meet basic needs has slightly improved compared to the previous year, probably due to the end of COVID-19 restrictions and to wage increases.",Türkiye,2023-04-28 09:30:06+00:00,Assessment,https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye,
 1 , Formal Workers , Multiple ,"The ability to meet basic needs has slightly improved compared to the previous year, probably due to the end of COVID-19 restrictions and to wage increases.",Türkiye,2023-04-28 09:30:06+00:00,Assessment,https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye,
 1 , Informal Workers , Multiple ,"The ability to meet basic needs has slightly improved compared to the previous year, probably due to the end of COVID-19 restrictions and to wage increases.",Türkiye,2023-04-28 09:30:06+00:00,Assessment,https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye,
 1 , Wage Workers , Multiple ,"The ability to meet basic needs has slightly improved compared to the previous year, probably due to the end of COVID-19 restrictions and to wage increases.",Türkiye,2023-04-28 09:30:06+00:00,Assessment,https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye,
 2 , Months' Salary Owed , Household Debt ,"Household debt levels have remained similar to 2021, with an average of two months’ salary owed.",Türkiye,2023-04-28 09:30:06+00:00,Assessment,https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye,
 8.8 million , Not specified , Not specified ,An estimated 8.8 million people in Syria were affected by the earthquakes.,Syria,2023-04-27 12:33:27+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-unhcr-operational-update-january-march-2023,Syria
 2 , Anchor and Director , Media ,"Turkish authorities detained the anchor and director for nearly 48 hours, before the complaint was rejected and they were released.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
 4                          , Children       , Border ,"Since April 2021, monitors recorded at least four separate incidents in which Turkish border forces shot Syrian children who were not attempting to cross.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
 2                , Not specified  , Not specified ,"“The day before [this incident], we received 12 people who were beaten even more than this group, the difference is that there was media attention because of the two fatalities [in the March 11 incident].” Reporters Without Borders reported that on or around March 15, a Turkish political analyst lodged a complaint against a Syrian TV channel anchor and his director, both based in Turkey, after the anchor discussed the March 11 incident and the larger issue of Turkish border guard violence against Syrian refugees at the border with the analyst on air.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,Türkiye
            8            ,     Syrians    ,   N/A  ,"On March 11, 2023, Turkish border guards viciously beat and tortured a group of eight Syrians who were attempting to cross irregularly into Turkey.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,Türkiye
 12               , Not specified  , Not specified ,"“The day before [this incident], we received 12 people who were beaten even more than this group, the difference is that there was media attention because of the two fatalities [in the March 11 incident].” Reporters Without Borders reported that on or around March 15, a Turkish political analyst lodged a complaint against a Syrian TV channel anchor and his director, both based in Turkey, after the anchor discussed the March 11 incident and the larger issue of Turkish border guard violence against Syrian refugees at the border with the analyst on air.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,Türkiye
 6                          , Soldiers       , Military       ,"On March 19, Turkish media reported that a court placed three Turkish soldiers in pretrial detention, and conditionally released three others pending completion of a criminal investigation by the Reyhanli Chief Public Prosecutor's Office.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
 2                         , Unspecified       , Unspecified ,They didn’t ask us any questions; they just beat us.” One man said that his 17-year-old son told him that border guards used pliers to torture him.,Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
 20                         , Not mentioned   , Not mentioned   ,"They put us on the ground, stomped on both my hands … they even stomped on my genitals with their boots … and [they] poured 20 liters of diesel oil from the steel can [on me].",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
 1                          , Not mentioned   , Not mentioned   ,"They put us on the ground, stomped on both my hands … they even stomped on my genitals with their boots … and [they] poured 20 liters of diesel oil from the steel can [on me].",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
          150          ,   Unknown       ,Unknown ,"I only went so I can work and to be able to pay for bread.” He said that border guards captured them after they had walked about 150 meters past the border wall, which they had climbed over by using a ladder they brought along with them, and transported them in a vehicle to a nearby empty field.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
          2            ,   Unknown       ,Unknown ,"I only went so I can work and to be able to pay for bread.” He said that border guards captured them after they had walked about 150 meters past the border wall, which they had climbed over by using a ladder they brought along with them, and transported them in a vehicle to a nearby empty field.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
             1000          , Not Mentioned  , Not Mentioned ,"Cash Transfers Through its Emergency Relief Fund and in partnership with organizations like Give Directly, Building Markets is providing cash relief to more than 1000 people whose livelihoods have been disrupted or destabilized by the earthquake.",Türkiye,2023-04-27 01:51:19+00:00,News and Press Release,https://reliefweb.int/report/turkiye/our-impact-building-markets-emergency-response-turkiye,
" 100,000+                   ", Not Mentioned  , Not Mentioned  ,"More than 50,000 people were killed and more than 100,000 were injured – many of whom lost limbs and sustained other life-changing injuries –- during the powerful earthquakes that struck Türkiye in February 2023.",Türkiye,2023-04-27 00:57:07+00:00,Analysis,https://reliefweb.int/report/turkiye/we-all-need-dignity-exclusion-persons-disabilities-turkiyes-earthquake-response-entr,Türkiye
" 50,000+                    ", Not Mentioned  , Not Mentioned  ,"More than 50,000 people were killed and more than 100,000 were injured – many of whom lost limbs and sustained other life-changing injuries –- during the powerful earthquakes that struck Türkiye in February 2023.",Türkiye,2023-04-27 00:57:07+00:00,Analysis,https://reliefweb.int/report/turkiye/we-all-need-dignity-exclusion-persons-disabilities-turkiyes-earthquake-response-entr,Türkiye
 1 (Nurcan) , Woman with a Physical Disability , Not specified ,"My relatives have to help me to move from my wheelchair to the commode (toilet chair) and then they have to empty and clean the commode every time I use it… We all need a bit of privacy and dignity, but it is very difficult in these circumstances.” Nurcan, a 32-year-old woman with a physical disability who relies on family to carry her to facilities in the camp, said: “I can’t use the toilet.",Türkiye,2023-04-27 00:57:07+00:00,Analysis,https://reliefweb.int/report/turkiye/we-all-need-dignity-exclusion-persons-disabilities-turkiyes-earthquake-response-entr,
 1                          , Services staff , Not Applicable ,"Leman Yildirim, Services and Liaison Coordinator at CARE Türkiye, was due to get married on 12 February, six days after the earthquake.",Türkiye,2023-04-24 06:23:06+00:00,News and Press Release,https://reliefweb.int/report/turkiye/care-turkiyes-leman-selflessly-overcoming-personal-adversity-assist-her-community,
 47%                        , Syrian refugees , Not applicable ,"The earthquakes also struck areas that were already hosting approximately 1.8 million Syrian refugees, which represents 47 per cent of all Syrian refugees in Türkiye as of January 2023.",Türkiye,2023-04-22 16:21:53+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquakes-operation-update-2-emergency-appeal-no-mdrtr004-21042023,Türkiye
 1.8 million                , Syrian refugees , Not applicable ,"The earthquakes also struck areas that were already hosting approximately 1.8 million Syrian refugees, which represents 47 per cent of all Syrian refugees in Türkiye as of January 2023.",Türkiye,2023-04-22 16:21:53+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquakes-operation-update-2-emergency-appeal-no-mdrtr004-21042023,Türkiye
 1 , Child , N/A ,Unconfirmed reports suggest that one child died and 44 people were injured during the storms with approximately three hundred families affected.,Türkiye,2023-04-21 17:56:04+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-15-20-april-2023-entr,
 44 , N/A , N/A ,Unconfirmed reports suggest that one child died and 44 people were injured during the storms with approximately three hundred families affected.,Türkiye,2023-04-21 17:56:04+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-15-20-april-2023-entr,
 300 , N/A , N/A ,Unconfirmed reports suggest that one child died and 44 people were injured during the storms with approximately three hundred families affected.,Türkiye,2023-04-21 17:56:04+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-15-20-april-2023-entr,
" 7,500                      ", IDPs           , n/a     ,"At least 42 IDP sites in Syria are affected, with floods destroying or damaging more than 1,600 tents sheltering some 7,500 internally displaced people (IDPs).",Syria,2023-04-20 16:55:44+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-mena-syria-earthquakes-operation-update-1-no-mdrsy009,Syria
" 50,000                    ", N/A             , N/A               ,"Two months since the devastating earthquake struck Türkiye, the full scale of the disaster is difficult to grasp – more than 50,000 lives lost, more than 200,000 buildings destroyed and millions of people displaced.",Türkiye,2023-04-20 01:35:10+00:00,News and Press Release,https://reliefweb.int/report/turkiye/connecting-communities-navigating-information-gaps-and-community-trust-post-earthquake-turkiye,Türkiye
"       2,600,000       ",  Not specified ,Various ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 are living in container cities.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
"         79,000        ",  Not specified ,Various ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 are living in container cities.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
" 656,553 ", Tent installers , Construction ,"According to the data of the Ministry of Interior regarding the studies carried out in the earthquake zone and the operations throughout the country, a total of 656 thousand 553 tents were set up in 8 provinces and 345 tent cities affected by the earthquake.",Türkiye,2023-04-14 12:36:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-13th-2023-situation-report-21-entr,
" 100,000 ", Not mentioned , Construction ,"President Recep Tayyip Erdoğan, last stated that 100,000 residences and village houses had been constructed so far after the earthquake.",Türkiye,2023-04-14 12:36:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-13th-2023-situation-report-21-entr,
"           144,847         ",      N/A        , Dormitories ,"According to the statement of the Deputy Director General of Credit and Dormitories (KYK), 144,847 disaster-affected people live in dormitories.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
"       21,341       ",    Students    , General ,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
"      102,916       ",    Students    , General ,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
