Number of Buildings Mentioned,What Happened,Type of Building,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 0              , N/A           , N/A              ,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
------------------------------,--------------------------------------,------------------,"The TERRA reported extensive damage to WASH facilities and 20,430 educational institutions, which will require an estimated US$11 billion17 for repair and rehabilitation alone.",Türkiye,2023-04-11 23:20:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-7-earthquake-3-april-2023,
"            20,430            ",             Damaged                   , Education Facilities ,"The TERRA reported extensive damage to WASH facilities and 20,430 educational institutions, which will require an estimated US$11 billion17 for repair and rehabilitation alone.",Türkiye,2023-04-11 23:20:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-7-earthquake-3-april-2023,
 --- , --- , --- ,"With at least 10,600 buildings and 452 schools destroyed by the earthquakes at varying degrees, rubble removal projects have begun in earnest to help rebuild homes and infrastructure destroyed or damaged by the earthquake.",Syria,2023-04-07 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-16-earthquake-nw-syria-7-april-2023,
" 10,600 ", Destroyed , Not Mentioned ,"With at least 10,600 buildings and 452 schools destroyed by the earthquakes at varying degrees, rubble removal projects have begun in earnest to help rebuild homes and infrastructure destroyed or damaged by the earthquake.",Syria,2023-04-07 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-16-earthquake-nw-syria-7-april-2023,
 452 , Destroyed ," Schools (Universities, Colleges, Secondary/High Schools, Elementary Schools, Pre-school facilities, Training Centres, Kindergarten, Military School, Prison School, Education Facilities) ","With at least 10,600 buildings and 452 schools destroyed by the earthquakes at varying degrees, rubble removal projects have begun in earnest to help rebuild homes and infrastructure destroyed or damaged by the earthquake.",Syria,2023-04-07 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-16-earthquake-nw-syria-7-april-2023,
 ------------------- , ------------- , ---------------- ,"In addition to refugee homes that were damaged, 11 UNRWA installations were also damaged by the earthquake including health centres and schools.",Syria,2023-04-07 09:15:52+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-23-06-april-2023,
         11          ,     Damaged   ,     Health Centre ,"In addition to refugee homes that were damaged, 11 UNRWA installations were also damaged by the earthquake including health centres and schools.",Syria,2023-04-07 09:15:52+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-23-06-april-2023,
         11          ,     Damaged   ,        School     ,"In addition to refugee homes that were damaged, 11 UNRWA installations were also damaged by the earthquake including health centres and schools.",Syria,2023-04-07 09:15:52+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-23-06-april-2023,
---,---,---,"Although the 2022-2023 academic year will end on 16 June, summer programs will be organized to compensate for the loss of learning due to school closures.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,
 0 , NA , NA ,"Although the 2022-2023 academic year will end on 16 June, summer programs will be organized to compensate for the loss of learning due to school closures.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,
 --- , --- , --- ,"The President announced that 45,000 new teachers will be appointed across Turkey, prioritizing appointments in earthquake-affected provinces.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,Türkiye
 0 , N/A , N/A ,"The President announced that 45,000 new teachers will be appointed across Turkey, prioritizing appointments in earthquake-affected provinces.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,Türkiye
" 45,000 ", N/A , Education Facilities ,"The President announced that 45,000 new teachers will be appointed across Turkey, prioritizing appointments in earthquake-affected provinces.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,Türkiye
 0 , N/A , Universities ,"The President announced that 45,000 new teachers will be appointed across Turkey, prioritizing appointments in earthquake-affected provinces.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,Türkiye
 0 , N/A , Colleges ,"The President announced that 45,000 new teachers will be appointed across Turkey, prioritizing appointments in earthquake-affected provinces.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,Türkiye
 0 , N/A , Secondary/High Schools ,"The President announced that 45,000 new teachers will be appointed across Turkey, prioritizing appointments in earthquake-affected provinces.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,Türkiye
 0 , N/A , Elementary Schools ,"The President announced that 45,000 new teachers will be appointed across Turkey, prioritizing appointments in earthquake-affected provinces.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,Türkiye
 0 , N/A , Pre-school Facilities ,"The President announced that 45,000 new teachers will be appointed across Turkey, prioritizing appointments in earthquake-affected provinces.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,Türkiye
 0 , N/A , Training Centres ,"The President announced that 45,000 new teachers will be appointed across Turkey, prioritizing appointments in earthquake-affected provinces.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,Türkiye
 0 , N/A , Kindergarten ,"The President announced that 45,000 new teachers will be appointed across Turkey, prioritizing appointments in earthquake-affected provinces.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,Türkiye
 0 , N/A , Military School ,"The President announced that 45,000 new teachers will be appointed across Turkey, prioritizing appointments in earthquake-affected provinces.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,Türkiye
 0 , N/A , Prison School ,"The President announced that 45,000 new teachers will be appointed across Turkey, prioritizing appointments in earthquake-affected provinces.",Türkiye,2023-04-07 09:30:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-06042023,Türkiye
 :------------------: , :-----------: , :--------------------------: ,"Nearly 1.5 million children have resumed their education in earthquake-affected areas, with another 250,000 children continuing their education after relocating elsewhere in the country.",Türkiye,2023-04-06 13:24:30+00:00,News and Press Release,https://reliefweb.int/report/turkiye/two-months-turkiye-earthquakes-enormous-challenges-remain-25-million-children-need-humanitarian-support,
         0            ,      N/A      ,          Not Mentioned        ,"Nearly 1.5 million children have resumed their education in earthquake-affected areas, with another 250,000 children continuing their education after relocating elsewhere in the country.",Türkiye,2023-04-06 13:24:30+00:00,News and Press Release,https://reliefweb.int/report/turkiye/two-months-turkiye-earthquakes-enormous-challenges-remain-25-million-children-need-humanitarian-support,
         0            ,      N/A      ,          Total Affected       ,"Nearly 1.5 million children have resumed their education in earthquake-affected areas, with another 250,000 children continuing their education after relocating elsewhere in the country.",Türkiye,2023-04-06 13:24:30+00:00,News and Press Release,https://reliefweb.int/report/turkiye/two-months-turkiye-earthquakes-enormous-challenges-remain-25-million-children-need-humanitarian-support,
         N/A          , Not Mentioned ,          Universities         ,"Nearly 1.5 million children have resumed their education in earthquake-affected areas, with another 250,000 children continuing their education after relocating elsewhere in the country.",Türkiye,2023-04-06 13:24:30+00:00,News and Press Release,https://reliefweb.int/report/turkiye/two-months-turkiye-earthquakes-enormous-challenges-remain-25-million-children-need-humanitarian-support,
         N/A          , Not Mentioned ,            Colleges            ,"Nearly 1.5 million children have resumed their education in earthquake-affected areas, with another 250,000 children continuing their education after relocating elsewhere in the country.",Türkiye,2023-04-06 13:24:30+00:00,News and Press Release,https://reliefweb.int/report/turkiye/two-months-turkiye-earthquakes-enormous-challenges-remain-25-million-children-need-humanitarian-support,
         N/A          , Not Mentioned ,    Secondary/High Schools     ,"Nearly 1.5 million children have resumed their education in earthquake-affected areas, with another 250,000 children continuing their education after relocating elsewhere in the country.",Türkiye,2023-04-06 13:24:30+00:00,News and Press Release,https://reliefweb.int/report/turkiye/two-months-turkiye-earthquakes-enormous-challenges-remain-25-million-children-need-humanitarian-support,
         N/A          , Not Mentioned ,       Elementary Schools      ,"Nearly 1.5 million children have resumed their education in earthquake-affected areas, with another 250,000 children continuing their education after relocating elsewhere in the country.",Türkiye,2023-04-06 13:24:30+00:00,News and Press Release,https://reliefweb.int/report/turkiye/two-months-turkiye-earthquakes-enormous-challenges-remain-25-million-children-need-humanitarian-support,
         N/A          , Not Mentioned ,      Pre-school facilities    ,"Nearly 1.5 million children have resumed their education in earthquake-affected areas, with another 250,000 children continuing their education after relocating elsewhere in the country.",Türkiye,2023-04-06 13:24:30+00:00,News and Press Release,https://reliefweb.int/report/turkiye/two-months-turkiye-earthquakes-enormous-challenges-remain-25-million-children-need-humanitarian-support,
         N/A          , Not Mentioned ,        Training Centres       ,"Nearly 1.5 million children have resumed their education in earthquake-affected areas, with another 250,000 children continuing their education after relocating elsewhere in the country.",Türkiye,2023-04-06 13:24:30+00:00,News and Press Release,https://reliefweb.int/report/turkiye/two-months-turkiye-earthquakes-enormous-challenges-remain-25-million-children-need-humanitarian-support,
