Number of Buildings Mentioned,What Happened,Type of Building,text,primary_country,date_posted,format,url,NER_extracted_geolocation
         0          ,     None      ,      None        ,"Of the 80,000 doctors who lived in Syria before the war began, just 20,000 remain, with some areas of the country, including earthquake affected areas, having just one doctor per 10,000 people [8] Tareq*, 28, a doctor at a Save the Children supported mobile health clinic in Syria, said the earthquakes have worsened the hunger crisis.",Syria,2023-05-17 13:21:28+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/child-stunting-syria-could-reach-levels-never-seen-earthquakes-threaten-push-665000-people-hunger,Syria
,,,"Of the 80,000 doctors who lived in Syria before the war began, just 20,000 remain, with some areas of the country, including earthquake affected areas, having just one doctor per 10,000 people [8] Tareq*, 28, a doctor at a Save the Children supported mobile health clinic in Syria, said the earthquakes have worsened the hunger crisis.",Syria,2023-05-17 13:21:28+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/child-stunting-syria-could-reach-levels-never-seen-earthquakes-threaten-push-665000-people-hunger,Syria
---------------------,--------------------------------,------------------,"“While the news cycle and the emergency response teams have long moved on, Project HOPE remains committed to a long-term presence in the region and will continue to work alongside our local partners to support the community with health support, mental health services, and basic needs around shelter and sanitation.” There have been reports that estimate that more than 500,000 houses were either severely damaged or collapsed after the earthquakes.",Türkiye,2023-05-17 14:45:20+00:00,News and Press Release,https://reliefweb.int/report/turkiye/project-hope-remains-committed-long-term-earthquake-response-turkiye-and-syria,
" 500,000             ", severely damaged or collapsed  , not mentioned     ,"“While the news cycle and the emergency response teams have long moved on, Project HOPE remains committed to a long-term presence in the region and will continue to work alongside our local partners to support the community with health support, mental health services, and basic needs around shelter and sanitation.” There have been reports that estimate that more than 500,000 houses were either severely damaged or collapsed after the earthquakes.",Türkiye,2023-05-17 14:45:20+00:00,News and Press Release,https://reliefweb.int/report/turkiye/project-hope-remains-committed-long-term-earthquake-response-turkiye-and-syria,
---------,----------,---------,"When the quakes hit there were an estimated 140,000 pregnant women in Syria, around 15,000 of whom were due to give birth in the next month: In the ruins of the region’s worst natural disaster in recent history, they had to rely on a health system bludgeoned by over a decade of bombardments, economic chaos and near total lack of supplies or staff.",Türkiye,2023-05-09 14:44:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/3-months-earthquakes-5-reasons-women-and-girls-syria-and-turkiye-still-need-your-support,Syria
 No Mention , No Mention , Health centers ,"When the quakes hit there were an estimated 140,000 pregnant women in Syria, around 15,000 of whom were due to give birth in the next month: In the ruins of the region’s worst natural disaster in recent history, they had to rely on a health system bludgeoned by over a decade of bombardments, economic chaos and near total lack of supplies or staff.",Türkiye,2023-05-09 14:44:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/3-months-earthquakes-5-reasons-women-and-girls-syria-and-turkiye-still-need-your-support,Syria
 No Mention , No Mention , Clinics ,"When the quakes hit there were an estimated 140,000 pregnant women in Syria, around 15,000 of whom were due to give birth in the next month: In the ruins of the region’s worst natural disaster in recent history, they had to rely on a health system bludgeoned by over a decade of bombardments, economic chaos and near total lack of supplies or staff.",Türkiye,2023-05-09 14:44:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/3-months-earthquakes-5-reasons-women-and-girls-syria-and-turkiye-still-need-your-support,Syria
 No Mention , No Mention , Hospitals ,"When the quakes hit there were an estimated 140,000 pregnant women in Syria, around 15,000 of whom were due to give birth in the next month: In the ruins of the region’s worst natural disaster in recent history, they had to rely on a health system bludgeoned by over a decade of bombardments, economic chaos and near total lack of supplies or staff.",Türkiye,2023-05-09 14:44:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/3-months-earthquakes-5-reasons-women-and-girls-syria-and-turkiye-still-need-your-support,Syria
 :---: , :---: , :---: ,"Nearly the entire health infrastructure in the four most affected provinces was damaged or destroyed – 70 per cent of family health centres were damaged and 60 per cent of maternal health and obstetric services not operating, endangering tens of thousands of lives.",Türkiye,2023-05-09 14:44:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/3-months-earthquakes-5-reasons-women-and-girls-syria-and-turkiye-still-need-your-support,
 70 , Damaged , Family Health Centers ,"Nearly the entire health infrastructure in the four most affected provinces was damaged or destroyed – 70 per cent of family health centres were damaged and 60 per cent of maternal health and obstetric services not operating, endangering tens of thousands of lives.",Türkiye,2023-05-09 14:44:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/3-months-earthquakes-5-reasons-women-and-girls-syria-and-turkiye-still-need-your-support,
 60 , Not Operating , Maternal Health and Obstetric Services ,"Nearly the entire health infrastructure in the four most affected provinces was damaged or destroyed – 70 per cent of family health centres were damaged and 60 per cent of maternal health and obstetric services not operating, endangering tens of thousands of lives.",Türkiye,2023-05-09 14:44:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/3-months-earthquakes-5-reasons-women-and-girls-syria-and-turkiye-still-need-your-support,
 --- , --- , --- ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
 11 , Damaged , Health Centre ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
 11 , Damaged , School ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
---,---,---,"The Hatay legal clinic, which had been destroyed during the earthquake, has taken up counselling services online on 17 April.",Türkiye,2023-05-01 09:54:21+00:00,Situation Report,https://reliefweb.int/report/turkiye/unhcr-turkiye-earthquake-emergency-response-28-april-2023,
1,Destroyed,Legal Clinic,"The Hatay legal clinic, which had been destroyed during the earthquake, has taken up counselling services online on 17 April.",Türkiye,2023-05-01 09:54:21+00:00,Situation Report,https://reliefweb.int/report/turkiye/unhcr-turkiye-earthquake-emergency-response-28-april-2023,
 ------------------ , ---------------- , ------------- ,"Over 3,000 health workers were involved, many of whom were affected by the earthquakes themselves.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 0                  , N/A              , Not Mentioned ,"Over 3,000 health workers were involved, many of whom were affected by the earthquakes themselves.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
                  ,                  ,               ,"Over 3,000 health workers were involved, many of whom were affected by the earthquakes themselves.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
------------------------------,-----------------------------------------,------------------,"The hospital, which was inaugurated in December 2022, became a major medical hub in the aftermath of the February’s earthquakes, remaining fully operational and treating 6 000 outpatients per day without interruption.",Türkiye,2023-04-24 12:14:38+00:00,News and Press Release,https://reliefweb.int/report/turkiye/ceb-approves-eu-250-million-loan-republic-turkiye-and-establishes-disaster-prevention-and-recovery-fund,
 1                            , Not Damaged or Destroyed                 , Hospital         ,"The hospital, which was inaugurated in December 2022, became a major medical hub in the aftermath of the February’s earthquakes, remaining fully operational and treating 6 000 outpatients per day without interruption.",Türkiye,2023-04-24 12:14:38+00:00,News and Press Release,https://reliefweb.int/report/turkiye/ceb-approves-eu-250-million-loan-republic-turkiye-and-establishes-disaster-prevention-and-recovery-fund,
,,,"The hospital, which was inaugurated in December 2022, became a major medical hub in the aftermath of the February’s earthquakes, remaining fully operational and treating 6 000 outpatients per day without interruption.",Türkiye,2023-04-24 12:14:38+00:00,News and Press Release,https://reliefweb.int/report/turkiye/ceb-approves-eu-250-million-loan-republic-turkiye-and-establishes-disaster-prevention-and-recovery-fund,
 --- , --- , --- ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
 11 , Damaged , Health centres ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
 11 , Damaged , Schools ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
 Not mentioned , Not specified , Refugee homes ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
 :---: , :---: , :---:,"“Health needs continue to be pressing amidst the ongoing cholera outbreak, which is extremely concerning given that nearly 70 facilities were damaged or destroyed by the earthquakes, as of 22 March.",Türkiye,2023-04-06 23:43:00+00:00,News and Press Release,https://reliefweb.int/report/turkiye/world-health-day-care-underlines-increasing-healthcare-needs-people-earthquake-affected-areas-turkiye-and-northwest-syria,
 70 , Damaged/Destroyed , Hospitals/Clinics/Health Centers ,"“Health needs continue to be pressing amidst the ongoing cholera outbreak, which is extremely concerning given that nearly 70 facilities were damaged or destroyed by the earthquakes, as of 22 March.",Türkiye,2023-04-06 23:43:00+00:00,News and Press Release,https://reliefweb.int/report/turkiye/world-health-day-care-underlines-increasing-healthcare-needs-people-earthquake-affected-areas-turkiye-and-northwest-syria,
 ------------------ , ------------- , ---------------- ,"In addition to refugee homes that were damaged, 11 UNRWA installations were also damaged by the earthquake including health centres and schools.",Syria,2023-04-07 09:15:52+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-23-06-april-2023,
 11                 , Damaged       , Health Centres   ,"In addition to refugee homes that were damaged, 11 UNRWA installations were also damaged by the earthquake including health centres and schools.",Syria,2023-04-07 09:15:52+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-23-06-april-2023,
 11                 , Damaged       , Schools          ,"In addition to refugee homes that were damaged, 11 UNRWA installations were also damaged by the earthquake including health centres and schools.",Syria,2023-04-07 09:15:52+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-23-06-april-2023,
------------------------------,------------------,-----------------,Raising immunization levels among children is a priority in an area where the earthquakes partially or totally destroyed 67 health facilities following 12 years of conflict that severely weakened the health system.,Syria,2023-04-07 09:48:08+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/800000-children-be-vaccinated-against-measles-and-polio-across-earthquake-stricken-northwest-syria-enar,
             67               ,    Destroyed/    ,     Health      ,Raising immunization levels among children is a priority in an area where the earthquakes partially or totally destroyed 67 health facilities following 12 years of conflict that severely weakened the health system.,Syria,2023-04-07 09:48:08+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/800000-children-be-vaccinated-against-measles-and-polio-across-earthquake-stricken-northwest-syria-enar,
                              ,  Partially-      ,    Facilities   ,Raising immunization levels among children is a priority in an area where the earthquakes partially or totally destroyed 67 health facilities following 12 years of conflict that severely weakened the health system.,Syria,2023-04-07 09:48:08+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/800000-children-be-vaccinated-against-measles-and-polio-across-earthquake-stricken-northwest-syria-enar,
                              ,Destroyed         ,                 ,Raising immunization levels among children is a priority in an area where the earthquakes partially or totally destroyed 67 health facilities following 12 years of conflict that severely weakened the health system.,Syria,2023-04-07 09:48:08+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/800000-children-be-vaccinated-against-measles-and-polio-across-earthquake-stricken-northwest-syria-enar,
---------------------,------------------,-----------------,"“With health facilities and workers greatly affected by the earthquakes, as well as more than 100,000 people injured, the international community must prioritize support for Türkiye’s health care system as the country perseveres on the long road to recovery,” said Martin Legasse, the International Organization for Migration’s (IOM) Senior Emergency Coordinator in Türkiye.",Türkiye,2023-04-06 20:11:15+00:00,News and Press Release,https://reliefweb.int/report/turkiye/health-needs-turkiye-remain-high-two-months-after-earthquakes,Türkiye
 0                   , N/A              , Not mentioned   ,"“With health facilities and workers greatly affected by the earthquakes, as well as more than 100,000 people injured, the international community must prioritize support for Türkiye’s health care system as the country perseveres on the long road to recovery,” said Martin Legasse, the International Organization for Migration’s (IOM) Senior Emergency Coordinator in Türkiye.",Türkiye,2023-04-06 20:11:15+00:00,News and Press Release,https://reliefweb.int/report/turkiye/health-needs-turkiye-remain-high-two-months-after-earthquakes,Türkiye
" 100,000             ", Injured          , N/A             ,"“With health facilities and workers greatly affected by the earthquakes, as well as more than 100,000 people injured, the international community must prioritize support for Türkiye’s health care system as the country perseveres on the long road to recovery,” said Martin Legasse, the International Organization for Migration’s (IOM) Senior Emergency Coordinator in Türkiye.",Türkiye,2023-04-06 20:11:15+00:00,News and Press Release,https://reliefweb.int/report/turkiye/health-needs-turkiye-remain-high-two-months-after-earthquakes,Türkiye
 --- , --- , --- ,An estimated 500 health care workers were among those who tragically lost their lives during the earthquakes; hundreds have been injured and thousands left without a place to call home.,Türkiye,2023-04-06 20:11:15+00:00,News and Press Release,https://reliefweb.int/report/turkiye/health-needs-turkiye-remain-high-two-months-after-earthquakes,
 0 , N/A , Not Mentioned ,An estimated 500 health care workers were among those who tragically lost their lives during the earthquakes; hundreds have been injured and thousands left without a place to call home.,Türkiye,2023-04-06 20:11:15+00:00,News and Press Release,https://reliefweb.int/report/turkiye/health-needs-turkiye-remain-high-two-months-after-earthquakes,
 500 , Lost Lives , Hospitals/Clinics/Health Centers ,An estimated 500 health care workers were among those who tragically lost their lives during the earthquakes; hundreds have been injured and thousands left without a place to call home.,Türkiye,2023-04-06 20:11:15+00:00,News and Press Release,https://reliefweb.int/report/turkiye/health-needs-turkiye-remain-high-two-months-after-earthquakes,
 >500 , Injured , Not Mentioned ,An estimated 500 health care workers were among those who tragically lost their lives during the earthquakes; hundreds have been injured and thousands left without a place to call home.,Türkiye,2023-04-06 20:11:15+00:00,News and Press Release,https://reliefweb.int/report/turkiye/health-needs-turkiye-remain-high-two-months-after-earthquakes,
 >1000 , Destroyed , Not Mentioned ,An estimated 500 health care workers were among those who tragically lost their lives during the earthquakes; hundreds have been injured and thousands left without a place to call home.,Türkiye,2023-04-06 20:11:15+00:00,News and Press Release,https://reliefweb.int/report/turkiye/health-needs-turkiye-remain-high-two-months-after-earthquakes,
 >1000 , Damaged , Not Mentioned ,An estimated 500 health care workers were among those who tragically lost their lives during the earthquakes; hundreds have been injured and thousands left without a place to call home.,Türkiye,2023-04-06 20:11:15+00:00,News and Press Release,https://reliefweb.int/report/turkiye/health-needs-turkiye-remain-high-two-months-after-earthquakes,
 >1000 , Homeless , Not Mentioned ,An estimated 500 health care workers were among those who tragically lost their lives during the earthquakes; hundreds have been injured and thousands left without a place to call home.,Türkiye,2023-04-06 20:11:15+00:00,News and Press Release,https://reliefweb.int/report/turkiye/health-needs-turkiye-remain-high-two-months-after-earthquakes,
:------------------:,:-------------:,:----------------:,"With 28 health facilities heavily damaged by the earthquakes, 82 partially damaged, and hospitals still dealing with such large numbers of casualties, their support has proven invaluable.",Türkiye,2023-04-03 17:48:03+00:00,News and Press Release,https://reliefweb.int/report/turkiye/what-it-feels-be-deployed-earthquake-disaster-zone-interview-united-nations-health-coordinator-gaziantep,
         28         ,    Heavily    ,     Hospital     ,"With 28 health facilities heavily damaged by the earthquakes, 82 partially damaged, and hospitals still dealing with such large numbers of casualties, their support has proven invaluable.",Türkiye,2023-04-03 17:48:03+00:00,News and Press Release,https://reliefweb.int/report/turkiye/what-it-feels-be-deployed-earthquake-disaster-zone-interview-united-nations-health-coordinator-gaziantep,
         82         ,   Partially   ,     Hospital     ,"With 28 health facilities heavily damaged by the earthquakes, 82 partially damaged, and hospitals still dealing with such large numbers of casualties, their support has proven invaluable.",Türkiye,2023-04-03 17:48:03+00:00,News and Press Release,https://reliefweb.int/report/turkiye/what-it-feels-be-deployed-earthquake-disaster-zone-interview-united-nations-health-coordinator-gaziantep,
--------------------,---------------,-----------------,"Desde su apertura el 13 de febrero y hasta el 17 de marzo, el hospital de campaña de la Cooperación Española suplió la necesidad de asistencia hospitalaria de la población, que vio su acceso a la sanidad anulado por la destrucción casi total de infraestructuras sanitarias a nivel local.",Türkiye,2023-03-23 11:52:34+00:00,News and Press Release,https://reliefweb.int/report/turkiye/el-equipo-medico-de-emergencia-el-start-regresa-espana-desde-turquia-tras-finalizar-su-mision-humanitaria,
 1                  , Suplió la necesidad de asistencia hospitalaria de la población , Hospital de campaña de la Cooperación Española ,"Desde su apertura el 13 de febrero y hasta el 17 de marzo, el hospital de campaña de la Cooperación Española suplió la necesidad de asistencia hospitalaria de la población, que vio su acceso a la sanidad anulado por la destrucción casi total de infraestructuras sanitarias a nivel local.",Türkiye,2023-03-23 11:52:34+00:00,News and Press Release,https://reliefweb.int/report/turkiye/el-equipo-medico-de-emergencia-el-start-regresa-espana-desde-turquia-tras-finalizar-su-mision-humanitaria,
 Not mentioned      , Destrucción casi total de infraestructuras sanitarias , No especificado   ,"Desde su apertura el 13 de febrero y hasta el 17 de marzo, el hospital de campaña de la Cooperación Española suplió la necesidad de asistencia hospitalaria de la población, que vio su acceso a la sanidad anulado por la destrucción casi total de infraestructuras sanitarias a nivel local.",Türkiye,2023-03-23 11:52:34+00:00,News and Press Release,https://reliefweb.int/report/turkiye/el-equipo-medico-de-emergencia-el-start-regresa-espana-desde-turquia-tras-finalizar-su-mision-humanitaria,
 :---: , :---: , :---: ,"EL HOSPITAL START El START viajó al terreno, en esta ocasión, con el hospital de campaña que, abierto las 24 horas, tiene capacidad quirúrgica y de hospitalización de hasta 24 personas; puede atender a una media de 200 personas al día y realizar hasta siete cirugías mayores o bien 15 menores por día.",Türkiye,2023-03-23 11:52:34+00:00,News and Press Release,https://reliefweb.int/report/turkiye/el-equipo-medico-de-emergencia-el-start-regresa-espana-desde-turquia-tras-finalizar-su-mision-humanitaria,
 1 , Not mentioned (assumed to be in good condition) , Hospital (camp) ,"EL HOSPITAL START El START viajó al terreno, en esta ocasión, con el hospital de campaña que, abierto las 24 horas, tiene capacidad quirúrgica y de hospitalización de hasta 24 personas; puede atender a una media de 200 personas al día y realizar hasta siete cirugías mayores o bien 15 menores por día.",Türkiye,2023-03-23 11:52:34+00:00,News and Press Release,https://reliefweb.int/report/turkiye/el-equipo-medico-de-emergencia-el-start-regresa-espana-desde-turquia-tras-finalizar-su-mision-humanitaria,
 :---------------: , :---------------------------: , :--------------: ,A total of 35 hospitals and 105 clinics have been damaged or have completely collapsed.,Türkiye,2023-03-24 13:52:29+00:00,News and Press Release,https://reliefweb.int/report/turkiye/ifrc-turkiye-february-2023-earthquake-highlights-volume-1-24-march-2023,
        140        ,              Yes              ,     Hospitals     ,A total of 35 hospitals and 105 clinics have been damaged or have completely collapsed.,Türkiye,2023-03-24 13:52:29+00:00,News and Press Release,https://reliefweb.int/report/turkiye/ifrc-turkiye-february-2023-earthquake-highlights-volume-1-24-march-2023,
        140        ,              No               ,     Hospitals     ,A total of 35 hospitals and 105 clinics have been damaged or have completely collapsed.,Türkiye,2023-03-24 13:52:29+00:00,News and Press Release,https://reliefweb.int/report/turkiye/ifrc-turkiye-february-2023-earthquake-highlights-volume-1-24-march-2023,
        210        ,              Yes              ,      Clinics      ,A total of 35 hospitals and 105 clinics have been damaged or have completely collapsed.,Türkiye,2023-03-24 13:52:29+00:00,News and Press Release,https://reliefweb.int/report/turkiye/ifrc-turkiye-february-2023-earthquake-highlights-volume-1-24-march-2023,
        210        ,              No               ,      Clinics      ,A total of 35 hospitals and 105 clinics have been damaged or have completely collapsed.,Türkiye,2023-03-24 13:52:29+00:00,News and Press Release,https://reliefweb.int/report/turkiye/ifrc-turkiye-february-2023-earthquake-highlights-volume-1-24-march-2023,
---,---,---,"According to the 16 March situation report, the healthcare system is at risk of collapse in some areas.",Syria,2023-03-23 19:51:10+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-briefing-and-consultations-political-and-humanitarian-developments,
 0 , N/A , N/A ,"According to the 16 March situation report, the healthcare system is at risk of collapse in some areas.",Syria,2023-03-23 19:51:10+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/syria-briefing-and-consultations-political-and-humanitarian-developments,
-------------------,---------------,------------------,"Rasha Muhrez, Save the Children Syria Response Director said: *“The situation in Syria was already incredibly dire even before the earthquakes struck, with children lacking sufficient water, food, healthcare, education services and increasingly, hope, after more than 12 years of war.",Türkiye,2023-03-20 20:37:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/long-road-ahead-childrens-recovery-international-community-pledges-eu7-billion-earthquake-funding-turkiye-and-syria,Syria
 0                 , N/A           , N/A              ,"Rasha Muhrez, Save the Children Syria Response Director said: *“The situation in Syria was already incredibly dire even before the earthquakes struck, with children lacking sufficient water, food, healthcare, education services and increasingly, hope, after more than 12 years of war.",Türkiye,2023-03-20 20:37:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/long-road-ahead-childrens-recovery-international-community-pledges-eu7-billion-earthquake-funding-turkiye-and-syria,Syria
