productive asset type,productive asset loss,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 Buffalo , 1 ,"Before the floods, Waqas and his family were subsistence farmers, with a buffalo, two cows, three goats and up to 12 chickens at a time, who they would breed to sell eggs as well as the animals themselves.",Pakistan,2023-03-09 00:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/we-are-barely-surviving-more-six-months-after-deadly-pakistan-floods-families-are-brink,
 Goat , 3 ,"Before the floods, Waqas and his family were subsistence farmers, with a buffalo, two cows, three goats and up to 12 chickens at a time, who they would breed to sell eggs as well as the animals themselves.",Pakistan,2023-03-09 00:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/we-are-barely-surviving-more-six-months-after-deadly-pakistan-floods-families-are-brink,
 Cow , 2 ,"Before the floods, Waqas and his family were subsistence farmers, with a buffalo, two cows, three goats and up to 12 chickens at a time, who they would breed to sell eggs as well as the animals themselves.",Pakistan,2023-03-09 00:01:00+00:00,News and Press Release,https://reliefweb.int/report/pakistan/we-are-barely-surviving-more-six-months-after-deadly-pakistan-floods-families-are-brink,
                      ,            less than $2/day     ,Lal has since returned to his job as a laborer but makes less than $2 a day.,Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,
 livestock , 800 000 heads ,"The disaster wiped out 1.7 million hectares of agricultural land and 800 000 heads of livestock, pushing millions of rural households into poverty and food insecurity.",Pakistan,2023-03-02 13:22:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-response-update-february-2023,
 Livestock ," 800,000 heads ","The total damages and losses in the agriculture sector amounted to approximately USD 12.9 billion, including damages to 1.7 million hectares of agricultural land and loss of 800 000 heads of livestock.",Pakistan,2023-03-02 13:22:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-response-update-february-2023,
 agricultural land , 1.7 million hectares ,"The disaster wiped out 1.7 million hectares of agricultural land and 800 000 heads of livestock, pushing millions of rural households into poverty and food insecurity.",Pakistan,2023-03-02 13:22:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-response-update-february-2023,
 Agricultural land , 1.7 million hectares ,"The total damages and losses in the agriculture sector amounted to approximately USD 12.9 billion, including damages to 1.7 million hectares of agricultural land and loss of 800 000 heads of livestock.",Pakistan,2023-03-02 13:22:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-floods-response-update-february-2023,
         House        ,"          2,200,000            ",The monsoon floods ravaged a staggering 2.2 million houses leaving hundreds of thousands of people homeless.,Pakistan,2023-02-28 14:15:08+00:00,News and Press Release,https://reliefweb.int/report/pakistan/six-months-pakistans-receding-floodwaters-reveal-need-prolonged-support,
 Machinery             ," 5,000 machinery                   ","Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-02-14 04:50:31+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-1-december-2022,Pakistan
 Vehicles              ," 3,500 vehicles                    ","Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-02-14 04:50:31+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-1-december-2022,Pakistan
 Fishing boats         ," 1,200 fishing boats               ","Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-02-14 04:50:31+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-1-december-2022,Pakistan
 Livestock             ," 20,000 livestock                 ","Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-02-14 04:50:31+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-1-december-2022,Pakistan
 Buildings             ," 1,500 buildings                  ","Overview of 2022 Monsoon Floods Heavy rains and a combination of riverine, urban, and flash flooding have led to an unprecedented climate-induced disaster in Pakistan since June 2022, causing widespread fatalities, killing livestock, and damaging and destroying public and private infrastructure across the country.",Pakistan,2023-02-14 04:50:31+00:00,Assessment,https://reliefweb.int/report/pakistan/community-voices-bulletin-monsoon-floods-pakistan-edition-1-december-2022,Pakistan
 Houses              , Over 14 million                ,"Over 14 million people have either lost their homes or had their houses damaged, forcing many to seek shelter on the roads and in makeshift camps.",Pakistan,2023-01-18 10:27:53+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-crisis-response-plan-2023-2025,
 N/A , Massive destruction and loss of crops during 2022 flooding ,"Economic conditions, in general, remain challenging in Pakistan and have been further impacted by the COVID-19 pandemic and disasters, including massive destruction and loss of crops during the 2022 flooding, one of the main sources of economic activity in the country.",Pakistan,2023-01-18 10:27:53+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-crisis-response-plan-2023-2025,Pakistan
 Livestock             ," 800,000 animals       ","An estimated 4.4 million acres of farmland - enough to cultivate crops for 14.6 million people – were damaged, and more than 800 000 animals lost in the most recent floods.",Pakistan,2023-01-10 02:24:35+00:00,News and Press Release,https://reliefweb.int/report/pakistan/faos-support-pakistan-immediate-response-resilience-building,
 Farmland              , 4.4 million acres     ,"An estimated 4.4 million acres of farmland - enough to cultivate crops for 14.6 million people – were damaged, and more than 800 000 animals lost in the most recent floods.",Pakistan,2023-01-10 02:24:35+00:00,News and Press Release,https://reliefweb.int/report/pakistan/faos-support-pakistan-immediate-response-resilience-building,
 N/A                  ," 2,000,000                     ","Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
 Homes , 2 million ,"It swept over roads, ruined millions of acres of agricultural land and damaged or destroyed 2 million homes.",Pakistan,2023-01-09 17:10:11+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-community-must-be-honest-about-brutal-injustice-loss-felt-developing-countries-due-climate-change-secretary-general-tells-conference-pakistan,
 Homes , 2 million damaged or destroyed ,"When the floods hit earlier this year there was a lot of global attention, but now it seems that Pakistan has fallen off the news agenda and people have been forgotten.” Four months since the worst of the floods – which damaged or destroyed more than 2 million homes and more than 2,000 health facilities – thousands of families remain homeless or living in tents.",Pakistan,2023-01-03 11:14:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/freezing-temperatures-hit-homeless-pakistan-flood-survivors-forgotten-world,Pakistan
 Health facilities ," Over 2,000 damaged or destroyed ","When the floods hit earlier this year there was a lot of global attention, but now it seems that Pakistan has fallen off the news agenda and people have been forgotten.” Four months since the worst of the floods – which damaged or destroyed more than 2 million homes and more than 2,000 health facilities – thousands of families remain homeless or living in tents.",Pakistan,2023-01-03 11:14:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/freezing-temperatures-hit-homeless-pakistan-flood-survivors-forgotten-world,Pakistan
 N/A ," $30,000,000,000 ","In addition to causing more than 1,700 deaths and affecting around 33 million people, the floods have caused damages and losses to the national economy to the tune of over US$ 30 billion and would need a sum of US$ 16 billion to ensure resilient recovery.",Pakistan,2022-12-27 17:10:32+00:00,Appeal,https://reliefweb.int/report/pakistan/undp-pakistan-flood-recovery-programme-frp,
 N/A ," $16,000,000,000 ","In addition to causing more than 1,700 deaths and affecting around 33 million people, the floods have caused damages and losses to the national economy to the tune of over US$ 30 billion and would need a sum of US$ 16 billion to ensure resilient recovery.",Pakistan,2022-12-27 17:10:32+00:00,Appeal,https://reliefweb.int/report/pakistan/undp-pakistan-flood-recovery-programme-frp,
Livestock,"1,100,000","Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
House,"900,000","Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
House,"1,391,467","Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
 homes , >2 million severely damaged/destroyed ,"More than 2 million homes were severely damaged or destroyed, as were businesses and community infrastructure, while personal possessions, household items, livestock and other assets were washed away or destroyed.",Pakistan,2022-12-21 04:38:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-floods-response-plan-interim-report-sep-nov-2022-issued-09-dec-2022,
 Open defecation practices , 15-20 % increase            ,"Lack of clean water soap supply in villages and schools, further compromise hygiene practices, where open defecation practices have increased between 15-20 per cent.",Pakistan,2022-12-21 04:38:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-floods-response-plan-interim-report-sep-nov-2022-issued-09-dec-2022,
 Flood Protection Structures , 90 structures                 ,"Approximately 90 flood protection structures have been washed away, leaving agricultural land and millions of households unprotected for upcoming rainy seasons.",Pakistan,2022-12-20 00:31:02+00:00,News and Press Release,https://reliefweb.int/report/pakistan/factsheet-sindh-water-and-agriculture-transformation-project,
 Cows and poultry ," 249,000 ","About 249,000 livestock —including cows and poultry—were lost, representing a value of US$ 117.3 million.",Pakistan,2022-12-20 00:22:35+00:00,News and Press Release,https://reliefweb.int/report/pakistan/factsheet-sindh-flood-emergency-rehabilitation-project,
 Cows and poultry , US$ 117.3 million ,"About 249,000 livestock —including cows and poultry—were lost, representing a value of US$ 117.3 million.",Pakistan,2022-12-20 00:22:35+00:00,News and Press Release,https://reliefweb.int/report/pakistan/factsheet-sindh-flood-emergency-rehabilitation-project,
 Livestock             , USD 13 million                 ,"As per estimates, floods killed 42,273 livestock, including sheep, goats, camels, cows, buffaloes, and donkeys, causing a direct loss of around USD 13 million to livestock in the province.",Pakistan,2022-12-20 00:12:30+00:00,Assessment,https://reliefweb.int/report/pakistan/2022-pakistan-floods-assessment-crop-losses-sindh-province-using-satellite-data,
 Animals               ," 42,273 (livestock)              ","As per estimates, floods killed 42,273 livestock, including sheep, goats, camels, cows, buffaloes, and donkeys, causing a direct loss of around USD 13 million to livestock in the province.",Pakistan,2022-12-20 00:12:30+00:00,Assessment,https://reliefweb.int/report/pakistan/2022-pakistan-floods-assessment-crop-losses-sindh-province-using-satellite-data,
 Houses ," 897,000 destroyed ","People were left with nothing as 897,000 houses were destroyed and over a million homes were damaged, leaving 2.1 million people homeless.",Pakistan,2022-12-16 07:40:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/islamic-relief-uk-launches-house-rebuilding-campaign-pakistan-after-worst-floods-recent-memory,
 Not specified ," $10,000,000,000 ","The government said a total of more than 33 million people were affected and indicated there was at least $10 billion in damage, including more than 1 million animals killed and crops wiped out.",Pakistan,2022-12-06 19:30:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-more-1200-people-receive-aid-wake-devastating-flooding,
 Livestock             , 1.1 million                     ,"Over 1.1 million livestock were killed in the deluge, and more than 13,000 km of roads and 436 bridges have been damaged.",Pakistan,2022-11-23 16:35:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/human-appeal-commence-rebuild-following-pakistan-floods,
 N/A                   , 436                             ,"Over 1.1 million livestock were killed in the deluge, and more than 13,000 km of roads and 436 bridges have been damaged.",Pakistan,2022-11-23 16:35:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/human-appeal-commence-rebuild-following-pakistan-floods,
 N/A                   ," 13,000 km                       ","Over 1.1 million livestock were killed in the deluge, and more than 13,000 km of roads and 436 bridges have been damaged.",Pakistan,2022-11-23 16:35:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/human-appeal-commence-rebuild-following-pakistan-floods,
" Crops, livestock, businesses, and homes ", $1.5 billion ,"Drowned: The Human Cost of Deadly Floods in Pakistan Heavy rains and flooding between June and August 2022 have led to what the UN has termed an “unprecedented climate-induced disaster” in Pakistan, with deaths, injuries, large scale displacement, and a loss of livelihoods in the country.",Pakistan,2022-11-15 20:05:52+00:00,Analysis,https://reliefweb.int/report/pakistan/drowned-human-cost-deadly-floods-pakistan,Pakistan
          Crops       ,"        PKR 100,000-150,000     ","According to information from the field, farmers reported debt of around PKR 100,000-150,000 on average due to damages to their crops.",Pakistan,2022-11-13 18:27:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-11-11-november-2022,
      -               ,"   13,115 kilometres            ","In addition, more than 2.2 million houses have been damaged or destroyed, 13,115 kilometres of roads damaged, 439 bridges destroyed, and over 1.1 million livestock lost.",Pakistan,2022-11-13 18:27:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-11-11-november-2022,
      -               ,   439                           ,"In addition, more than 2.2 million houses have been damaged or destroyed, 13,115 kilometres of roads damaged, 439 bridges destroyed, and over 1.1 million livestock lost.",Pakistan,2022-11-13 18:27:00+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-11-11-november-2022,
 Crops , $30 billion ,"The damage to infrastructure, assets, crops, and livestock has also been massive, with more than $30 billion in damages and economic losses.",Pakistan,2022-11-11 16:53:07+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-country-climate-and-development-report-november-2022,
 Homes                ," 2,000,000                       ","The floods in Pakistan have had a devastating impact: nearly 1,700 people have died, more than two million homes have been destroyed and, months after the floods, two million people are still dependent on humanitarian aid, according to the UN.",Pakistan,2022-11-10 01:11:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-ruins-due-climate-catastrophe,Pakistan
 Orchard farmland , 30% ,"The findings of the RNA revealed that: o 30 percent of orchard farmland was destroyed; o 31 percent of livestock owners lost at least one animal; o 22 percent of people have been displaced due to the floods; o 72 percent of the affected households have inadequate resources to buy food;  o on average, households were left with only around 10 days of food stock; and o affected households were adopting negative coping strategies and nearly 40 percent had reduced their food intake.",Pakistan,2022-11-07 10:36:19+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-country-brief-september-2022,
 NA ," 1,600 lives ","As of 28 September 2022, hundreds of thousands of homes, roads, bridges, schools, and hospitals have been damaged or destroyed, 4.4 million acres of crops have been ruined, and over 1,600 lives have been lost.",Pakistan,2022-11-05 02:03:17+00:00,Analysis,https://reliefweb.int/report/pakistan/land-aching-extreme-climate-change-induced-flooding-pakistan,
 Crops , 4.4 million acres ,"As of 28 September 2022, hundreds of thousands of homes, roads, bridges, schools, and hospitals have been damaged or destroyed, 4.4 million acres of crops have been ruined, and over 1,600 lives have been lost.",Pakistan,2022-11-05 02:03:17+00:00,Analysis,https://reliefweb.int/report/pakistan/land-aching-extreme-climate-change-induced-flooding-pakistan,
 Agricultural land , 1.8 million ha ,"Their homes have been destroyed as well as schools, hospitals, nearly 1.8 million ha of agricultural land, livestock assets, forests and critical agricultural infrastructure.",Pakistan,2022-11-04 18:12:24+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-belgiums-contribution-through-special-fund-emergency-and-rehabilitation-activities-sfera,
 Schools , 250 ,"With at least 250 schools destroyed and millions of people forced to flee their homes, flooding has taken a serious toll on children's learning.",Pakistan,2022-11-03 14:07:13+00:00,News and Press Release,https://reliefweb.int/report/pakistan/extreme-floods-throw-lives-19-million-children-course-past-three-months-save-children,
 N/A , USD 40 billion ,"Beyond the tragic loss of human life, there has been mass displacement of people and economic damages are estimated to be beyond USD 40 billion.",Pakistan,2022-11-01 13:04:45+00:00,News and Press Release,https://reliefweb.int/report/pakistan/iaeafao-emergency-support-help-flood-hit-pakistan-soil-fertility-and-animal-diseases,
 Pension            ,             97.7%               ,"Outside the public sector workforce, only 2.3 percent of older people in Pakistan receive a pension, so if they are not able to work, they are entirely dependent on aid or their families to survive.",Pakistan,2022-10-24 07:01:34+00:00,Assessment,https://reliefweb.int/report/pakistan/pakistan-floods-rapid-needs-assessment-older-people,Pakistan
 Buildings            , 2.2 million                    ,"While around 2.2 million buildings were damaged, the flooding posed a grave threat to cattle as well.",Pakistan,2022-10-21 02:59:28+00:00,News and Press Release,https://reliefweb.int/report/pakistan/amda-emergency-relief-2-floods-pakistan-19-october-2022,
 Livestock              ," 800,000                        ","In addition, 2 million homes and 80,000 hectares of farmland were destroyed, with 800,000 livestock killed.",Pakistan,2022-10-18 17:15:34+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-aid-families-affected-flooding,
 Homes                 ," 2,000,000                      ","In addition, 2 million homes and 80,000 hectares of farmland were destroyed, with 800,000 livestock killed.",Pakistan,2022-10-18 17:15:34+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-aid-families-affected-flooding,
 Farmland              ," 80,000                         ","In addition, 2 million homes and 80,000 hectares of farmland were destroyed, with 800,000 livestock killed.",Pakistan,2022-10-18 17:15:34+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-aid-families-affected-flooding,
 Orchards , 30% ,Floods damaged an additional 70 per cent of crops/vegetable areas and around 30 per cent of orchard areas in affected districts.,Pakistan,2022-10-15 18:11:59+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-9-14-october-2022,
 Crops/Vegetables , 70% ,Floods damaged an additional 70 per cent of crops/vegetable areas and around 30 per cent of orchard areas in affected districts.,Pakistan,2022-10-15 18:11:59+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-9-14-october-2022,
      Wheat/Rice/Pulses/Sugar/Cooking oil             , €15                             ,"Whereas six months ago a family of six could buy the equivalent of €20 worth of wheat, rice, pulses, sugar and cooking oil for a month, today the same package costs €35.",Pakistan,2022-10-14 01:14:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/hunger-disease-and-homelessness-loom-large-pakistan,
          Homes        ,"        1,900,000               ",Water and mud has damaged or destroyed 1.9 million homes.,Pakistan,2022-10-14 01:14:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/hunger-disease-and-homelessness-loom-large-pakistan,
             Wheat/Rice/Pulses/Sugar/Cooking oil            , €15                             ,"Whereas six months ago a family of six could buy the equivalent of €20 worth of wheat, rice, pulses, sugar and cooking oil for a month, today the same package costs €35.",Pakistan,2022-10-14 01:14:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/hunger-disease-and-homelessness-loom-large-pakistan,
" Houses, Health facilities "," 2,000,000 (houses), 1,460 (health facilities) ",More than 2 million houses have been destroyed and an estimated 1460 health facilities have also reportedly been damaged.,Pakistan,2022-10-14 00:59:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/disease-outbreak-news-dengue-pakistan-13-october-2022,
 Livestock animals     , 1.1 million                     ,Over 1.1 million livestock animals have perished in the floods leaving people with nothing except hope to restart their lives.,Pakistan,2022-10-13 04:58:39+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-2022-islamic-relief-pakistan-12-october-2022,
         N/A           ,      $32 billion             ,"The toll has been tremendous:  more than 1,700 people lost their lives and 13,000 were injured; the floods caused damage of $32 billion, 10 per cent of the country’s gross national product.",Pakistan,2022-10-08 01:19:04+00:00,News and Press Release,https://reliefweb.int/report/pakistan/voicing-full-solidarity-people-government-pakistan-general-assembly-adopts-resolution-urging-scaled-assistance-help-country-rebuild-massive-floods,
      N/A           ,       $32 billion          ,"The toll has been tremendous:  more than 1,700 people lost their lives and 13,000 were injured; the floods caused damage of $32 billion, 10 per cent of the country’s gross national product.",Pakistan,2022-10-08 01:19:04+00:00,News and Press Release,https://reliefweb.int/report/pakistan/voicing-full-solidarity-people-government-pakistan-general-assembly-adopts-resolution-urging-scaled-assistance-help-country-rebuild-massive-floods,
 Homes , 2 million+ ,More than 2 million homes were damaged or destroyed.,Pakistan,2022-10-07 17:25:06+00:00,News and Press Release,https://reliefweb.int/report/pakistan/climate-carnage-pakistan-beyond-imagination-secretary-general-tells-general-assembly-urging-massive-support-flood-victims,
 Livestock             ," 1,162,000                        ","3.5 million acres of cropland were destroyed and over 1,162,000 livestock perished, wiping out livelihoods and jeopardizing the country’s food security.",Pakistan,2022-10-05 15:47:00+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-flood-response-unhcr-supplementary-appeal-september-2022-december-2023,
 Cropland              , 3.5 million acres              ,"3.5 million acres of cropland were destroyed and over 1,162,000 livestock perished, wiping out livelihoods and jeopardizing the country’s food security.",Pakistan,2022-10-05 15:47:00+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-flood-response-unhcr-supplementary-appeal-september-2022-december-2023,
          Houses      ,"           1,277,000           ","As of 30 September 2022, 767,488 houses had been destroyed and over 1,277,000 damaged.",Pakistan,2022-10-05 15:47:00+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-flood-response-unhcr-supplementary-appeal-september-2022-december-2023,
          Houses      ,"            767,488            ","As of 30 September 2022, 767,488 houses had been destroyed and over 1,277,000 damaged.",Pakistan,2022-10-05 15:47:00+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-flood-response-unhcr-supplementary-appeal-september-2022-december-2023,
 Houses ," 2,000,000","Widespread damage has been reported to over 2 million houses, more than 1.1 million livestock has been lost and more than 13,000 km of roads and 440 bridges have been affected.",Pakistan,2022-10-05 11:35:08+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-monsoon-rains-update-dg-echo-ndma-pmd-echo-daily-flash-05-october-2022,
 Livestock ," 1,100,000 ","Widespread damage has been reported to over 2 million houses, more than 1.1 million livestock has been lost and more than 13,000 km of roads and 440 bridges have been affected.",Pakistan,2022-10-05 11:35:08+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-monsoon-rains-update-dg-echo-ndma-pmd-echo-daily-flash-05-october-2022,
