Number of Buildings Mentioned,What Happened,Type of Building,housing sector losses reported,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 Not reported       , Not reported , Residence , Not reported          ,"Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed1 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
 Not reported       , Not reported , Not reported , 1.1 million livestock killed ,"Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed1 .",Pakistan,2023-04-10 12:42:43+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-4-mdrpk023,
-------------------------------,-----------------------------------------,------------------,--------------------------------,"Villages and infrastructure were washed away, more than 2 million people lost their homes, more than 1,700 people were killed and millions of animals drowned.",Pakistan,2023-03-31 00:46:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-water-conference-flooding-pakistan,
               0               ,               Not applicable             ,  Not applicable  ,            2 million           ,"Villages and infrastructure were washed away, more than 2 million people lost their homes, more than 1,700 people were killed and millions of animals drowned.",Pakistan,2023-03-31 00:46:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-water-conference-flooding-pakistan,
"             1,700             ",               Destroyed                  ,  Not applicable  ,             Not applicable            ,"Villages and infrastructure were washed away, more than 2 million people lost their homes, more than 1,700 people were killed and millions of animals drowned.",Pakistan,2023-03-31 00:46:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-water-conference-flooding-pakistan,
               0               ,               Not applicable             , Residence/Household ,         2 million            ,"Villages and infrastructure were washed away, more than 2 million people lost their homes, more than 1,700 people were killed and millions of animals drowned.",Pakistan,2023-03-31 00:46:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-water-conference-flooding-pakistan,
               0               ,               Not applicable             ,  Not applicable  ,            Not applicable            ,"Villages and infrastructure were washed away, more than 2 million people lost their homes, more than 1,700 people were killed and millions of animals drowned.",Pakistan,2023-03-31 00:46:19+00:00,News and Press Release,https://reliefweb.int/report/pakistan/un-water-conference-flooding-pakistan,
---------------------,-------------------------------------,------------------,--------------------------------,"Six months ago, the raging floods swallowed her entire village, leaving her family and nearly 450 other families homeless, hungry and grappling to survive.",Pakistan,2023-03-22 06:43:35+00:00,News and Press Release,https://reliefweb.int/report/pakistan/water-essential-all-available-few,
        1            ,          Destroyed                  ,     Household    ,               450              ,"Six months ago, the raging floods swallowed her entire village, leaving her family and nearly 450 other families homeless, hungry and grappling to survive.",Pakistan,2023-03-22 06:43:35+00:00,News and Press Release,https://reliefweb.int/report/pakistan/water-essential-all-available-few,
-----------------------,--------------------,-----------------------,-----------------------------,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
"   2,280,481           ", Partially Damaged ,    Household       ,  N/A                                    ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
"   897,014            ", Fully Damaged          ,   Household       ,  N/A                                    ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
   N/A                      , N/A                     ,   Residence            ,  N/A                                       ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
   N/A                      , N/A                     ,   N/A                        ,  230000.00                       ,"As per the last NDMA situation report, 1,739 people lost their lives (of which 647 were children), 12,867 were injured (including 4,006 children) and more than 2.28 million houses were damaged (partially damaged: 1,391,467 and fully damaged: 897,014).",Pakistan,2023-03-13 15:15:42+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-10-floods-28-february-2023,
----------------------,-----------------------,-------------------,--------------------------------------,"“We suffered from COVID-19, then floods hit our area, and my house was swept away,” says Lal Bat Lal has lived in Pakistan for forty years with his wife and four children.",Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,Pakistan
          1                 ,          Destroyed        ,        Household      ,                  Not reported                  ,"“We suffered from COVID-19, then floods hit our area, and my house was swept away,” says Lal Bat Lal has lived in Pakistan for forty years with his wife and four children.",Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,Pakistan
---------------------,---------------------,----------------,------------------------------,"“We were just trying to cope with the effects of COVID-19 then the floods destroyed everything I had.” Lal’s home was almost completely destroyed in the flooding, leaving him and his family without a place, and without work and money to rebuild.",Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,
 1                            , Damaged                 , Household      , Not specified                       ,"“We were just trying to cope with the effects of COVID-19 then the floods destroyed everything I had.” Lal’s home was almost completely destroyed in the flooding, leaving him and his family without a place, and without work and money to rebuild.",Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,
                                                                       ,                               , Residential     , Not specified                       ,"“We were just trying to cope with the effects of COVID-19 then the floods destroyed everything I had.” Lal’s home was almost completely destroyed in the flooding, leaving him and his family without a place, and without work and money to rebuild.",Pakistan,2023-03-02 22:22:49+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-floods-six-months,
:------------------:,:---------------------:,:----------------:,:------------------------------:,The monsoon floods ravaged a staggering 2.2 million houses leaving hundreds of thousands of people homeless.,Pakistan,2023-02-28 14:15:08+00:00,News and Press Release,https://reliefweb.int/report/pakistan/six-months-pakistans-receding-floodwaters-reveal-need-prolonged-support,
"       2,200,000     ",       Ravaged         ,     Household    ,          Unknown/Not Reported        ,The monsoon floods ravaged a staggering 2.2 million houses leaving hundreds of thousands of people homeless.,Pakistan,2023-02-28 14:15:08+00:00,News and Press Release,https://reliefweb.int/report/pakistan/six-months-pakistans-receding-floodwaters-reveal-need-prolonged-support,
       Unknown      ,       Destroyed       ,    Residence     ,          Unknown/Not Reported        ,The monsoon floods ravaged a staggering 2.2 million houses leaving hundreds of thousands of people homeless.,Pakistan,2023-02-28 14:15:08+00:00,News and Press Release,https://reliefweb.int/report/pakistan/six-months-pakistans-receding-floodwaters-reveal-need-prolonged-support,
------------------------------,------------------,---------------,---------------------------------,"Highlights The historic floods of 2022 affected 33 million people, 1,739 lives were lost and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-02-07 16:39:13+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-9-end-year-2022,
         2.2 million          ,    Damaged/Destroyed     ,    Household/Residence    ,                 N/A          ,"Highlights The historic floods of 2022 affected 33 million people, 1,739 lives were lost and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-02-07 16:39:13+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-9-end-year-2022,
,,,,"Highlights The historic floods of 2022 affected 33 million people, 1,739 lives were lost and more than 2.2 million houses damaged or destroyed.",Pakistan,2023-02-07 16:39:13+00:00,Situation Report,https://reliefweb.int/report/pakistan/unicef-pakistan-humanitarian-situation-report-no-9-end-year-2022,
---------------------,------------------,---------------,-----------------------,"Shah, 51, said he heard from people about the assistance announced at the UN and hoped his house would be reconstructed.",Pakistan,2023-01-13 15:29:47+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistani-flood-survivors-welcome-funding-demand-immediate-disbursement,
         1           ,     Damaged      ,    Household ,         Unknown       ,"Shah, 51, said he heard from people about the assistance announced at the UN and hoped his house would be reconstructed.",Pakistan,2023-01-13 15:29:47+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistani-flood-survivors-welcome-funding-demand-immediate-disbursement,
---------------------,-----------,-----------------,-----------------------,"Over 14 million people have either lost their homes or had their houses damaged, forcing many to seek shelter on the roads and in makeshift camps.",Pakistan,2023-01-18 10:27:53+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-crisis-response-plan-2023-2025,
 14 million          , Damaged/Destroyed , Household/Residence , N/A ,"Over 14 million people have either lost their homes or had their houses damaged, forcing many to seek shelter on the roads and in makeshift camps.",Pakistan,2023-01-18 10:27:53+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-crisis-response-plan-2023-2025,
 --- , --- , --- , --- ,"Regarding the damages and needs related to the floods, more than 2.2 million houses have been damaged or destroyed, 13,115 kilometers of road damaged, 439 bridges destroyed and over 1.1 million livestock lost.",Pakistan,2023-01-12 05:26:09+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-2-pakistan-floods-response-december-31-2022,
" 2,200,000 ", Damaged/Destroyed , Household , - ,"Regarding the damages and needs related to the floods, more than 2.2 million houses have been damaged or destroyed, 13,115 kilometers of road damaged, 439 bridges destroyed and over 1.1 million livestock lost.",Pakistan,2023-01-12 05:26:09+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-2-pakistan-floods-response-december-31-2022,
 439 , Destroyed , Residence , - ,"Regarding the damages and needs related to the floods, more than 2.2 million houses have been damaged or destroyed, 13,115 kilometers of road damaged, 439 bridges destroyed and over 1.1 million livestock lost.",Pakistan,2023-01-12 05:26:09+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-2-pakistan-floods-response-december-31-2022,
" 13,115 ", Damaged , - , - ,"Regarding the damages and needs related to the floods, more than 2.2 million houses have been damaged or destroyed, 13,115 kilometers of road damaged, 439 bridges destroyed and over 1.1 million livestock lost.",Pakistan,2023-01-12 05:26:09+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-2-pakistan-floods-response-december-31-2022,
" 1,100,000 ", Lost , Livestock Housing , - ,"Regarding the damages and needs related to the floods, more than 2.2 million houses have been damaged or destroyed, 13,115 kilometers of road damaged, 439 bridges destroyed and over 1.1 million livestock lost.",Pakistan,2023-01-12 05:26:09+00:00,Situation Report,https://reliefweb.int/report/pakistan/iom-pakistan-situation-report-no-2-pakistan-floods-response-december-31-2022,
------------------------------,---------------,-----------------,--------------------------------,"The flood damage in Pakistan in 2022 covered three quarters of the country, leaving close to a million people without access to safe and adequate housing.",Pakistan,2023-01-11 00:34:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-pledges-flood-recovery-must-be-followed-through-meaningful-climate-action,Pakistan
            0.75 million      ,     Damage    ,   Household     ,        1 million people         ,"The flood damage in Pakistan in 2022 covered three quarters of the country, leaving close to a million people without access to safe and adequate housing.",Pakistan,2023-01-11 00:34:17+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-pledges-flood-recovery-must-be-followed-through-meaningful-climate-action,Pakistan
---------------------,-----------------------,-----------------------,-------------------------------------,"It swept over roads, ruined millions of acres of agricultural land and damaged or destroyed 2 million homes.",Pakistan,2023-01-09 17:10:11+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-community-must-be-honest-about-brutal-injustice-loss-felt-developing-countries-due-climate-change-secretary-general-tells-conference-pakistan,
 2 million , Damaged or Destroyed , Household/Residence , Not Reported ,"It swept over roads, ruined millions of acres of agricultural land and damaged or destroyed 2 million homes.",Pakistan,2023-01-09 17:10:11+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-community-must-be-honest-about-brutal-injustice-loss-felt-developing-countries-due-climate-change-secretary-general-tells-conference-pakistan,
 --- , --- , --- , --- ,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
 2 million , impacted , Household , N/A ,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
 several thousands , damaged/destroyed , Residence , N/A ,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
 several thousands , damaged/destroyed , School , N/A ,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
 several thousands , damaged/destroyed , Hospital , N/A ,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
 N/A , N/A , N/A , Not specified ,"Floods have affected 33 million people, with more than 1,730 lives lost as well as 2 million housing units impacted, and several thousands of schools and hospitals damaged or destroyed.",Pakistan,2023-01-09 19:23:55+00:00,News and Press Release,https://reliefweb.int/report/pakistan/note-correspondents-co-chairs-summary-international-conference-climate-resilient-pakistan,
---------------------,--------------------------------,------------------,--------------------------------,"When the floods hit earlier this year there was a lot of global attention, but now it seems that Pakistan has fallen off the news agenda and people have been forgotten.” Four months since the worst of the floods – which damaged or destroyed more than 2 million homes and more than 2,000 health facilities – thousands of families remain homeless or living in tents.",Pakistan,2023-01-03 11:14:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/freezing-temperatures-hit-homeless-pakistan-flood-survivors-forgotten-world,Pakistan
 2 million           , Damaged or destroyed           , Household        , N/A                            ,"When the floods hit earlier this year there was a lot of global attention, but now it seems that Pakistan has fallen off the news agenda and people have been forgotten.” Four months since the worst of the floods – which damaged or destroyed more than 2 million homes and more than 2,000 health facilities – thousands of families remain homeless or living in tents.",Pakistan,2023-01-03 11:14:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/freezing-temperatures-hit-homeless-pakistan-flood-survivors-forgotten-world,Pakistan
" 2,000               ", Damaged or destroyed           , Health facility  , N/A                            ,"When the floods hit earlier this year there was a lot of global attention, but now it seems that Pakistan has fallen off the news agenda and people have been forgotten.” Four months since the worst of the floods – which damaged or destroyed more than 2 million homes and more than 2,000 health facilities – thousands of families remain homeless or living in tents.",Pakistan,2023-01-03 11:14:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/freezing-temperatures-hit-homeless-pakistan-flood-survivors-forgotten-world,Pakistan
--------------------------,--------,-------------------,-----------------------------------,"More than 2 million homes were severely damaged or destroyed, as were businesses and community infrastructure, while personal possessions, household items, livestock and other assets were washed away or destroyed.",Pakistan,2022-12-21 04:38:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-floods-response-plan-interim-report-sep-nov-2022-issued-09-dec-2022,
         2 million         , Damaged/Destroyed , Household/Residence ,        Not specified           ,"More than 2 million homes were severely damaged or destroyed, as were businesses and community infrastructure, while personal possessions, household items, livestock and other assets were washed away or destroyed.",Pakistan,2022-12-21 04:38:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-floods-response-plan-interim-report-sep-nov-2022-issued-09-dec-2022,
          Not reported        , Damaged/Destroyed , Businesses & Community Infrastructure , Not specified ,"More than 2 million homes were severely damaged or destroyed, as were businesses and community infrastructure, while personal possessions, household items, livestock and other assets were washed away or destroyed.",Pakistan,2022-12-21 04:38:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-floods-response-plan-interim-report-sep-nov-2022-issued-09-dec-2022,
          Not reported        , Washed away/Destroyed ," Personal Possessions, Household Items, Livestock and other assets ", Not specified ,"More than 2 million homes were severely damaged or destroyed, as were businesses and community infrastructure, while personal possessions, household items, livestock and other assets were washed away or destroyed.",Pakistan,2022-12-21 04:38:18+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-floods-response-plan-interim-report-sep-nov-2022-issued-09-dec-2022,
---------------------,----------------------,-----------------,--------------------------------,"Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
"       900,000       ",       Fully          ,    Household    ,          Not Reported          ,"Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
"       1,391,467     ",      Partially        ,    Household    ,          Not Reported          ,"Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
       Not Mentioned ,     Destroyed         ,    Residence    ,          Not Reported          ,"Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
       Not Mentioned ,         -            ,  Not Mentioned  ,          1.1 Million           ,"Nearly 900,000 houses have been fully destroyed, 1,391,467 partially destroyed and more than 1.1 million livestock killed.",Pakistan,2022-12-22 00:52:29+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-monsoon-floods-operation-update-3-mdrpk023,
:--------------:,:--------------:,:-------------:,:---------------------:,"People were left with nothing as 897,000 houses were destroyed and over a million homes were damaged, leaving 2.1 million people homeless.",Pakistan,2022-12-16 07:40:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/islamic-relief-uk-launches-house-rebuilding-campaign-pakistan-after-worst-floods-recent-memory,
"     1,000,000   ",     Damaged    ,    Household  ,                        ,"People were left with nothing as 897,000 houses were destroyed and over a million homes were damaged, leaving 2.1 million people homeless.",Pakistan,2022-12-16 07:40:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/islamic-relief-uk-launches-house-rebuilding-campaign-pakistan-after-worst-floods-recent-memory,
"      897,000    ",    Destroyed   ,    Household  ,                        ,"People were left with nothing as 897,000 houses were destroyed and over a million homes were damaged, leaving 2.1 million people homeless.",Pakistan,2022-12-16 07:40:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/islamic-relief-uk-launches-house-rebuilding-campaign-pakistan-after-worst-floods-recent-memory,
                 ,                ,   Residence   ,     2.1 million        ,"People were left with nothing as 897,000 houses were destroyed and over a million homes were damaged, leaving 2.1 million people homeless.",Pakistan,2022-12-16 07:40:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/islamic-relief-uk-launches-house-rebuilding-campaign-pakistan-after-worst-floods-recent-memory,
---------------------,------------------------------,---------------,--------------------------------,"(MissionNewswire) Salesian missionaries are still helping flood victims with shelter and other supplies in the wake of the devastating flooding that impacted Pakistan in late August, killing more than 1,700 and leaving one third of the country underwater with at least half a million people homeless.",Pakistan,2022-12-06 19:30:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-more-1200-people-receive-aid-wake-devastating-flooding,Pakistan
          0          ,            N/A               ,      N/A      ,"             500,000            ","(MissionNewswire) Salesian missionaries are still helping flood victims with shelter and other supplies in the wake of the devastating flooding that impacted Pakistan in late August, killing more than 1,700 and leaving one third of the country underwater with at least half a million people homeless.",Pakistan,2022-12-06 19:30:29+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-more-1200-people-receive-aid-wake-devastating-flooding,Pakistan
 ------------------ , ------- , ---------------- , ------------------------------,"When more than 33 million people in Pakistan lost their homes during recent flooding, families needed more than dry land and a roof over their heads.",Pakistan,2022-12-01 07:41:15+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-fund-commits-over-us219-million-emergency-funding-families-living-through-climate-crises-pakistan-and-somalia,Pakistan
 1                  , Damaged , Household        , N/A                            ,"When more than 33 million people in Pakistan lost their homes during recent flooding, families needed more than dry land and a roof over their heads.",Pakistan,2022-12-01 07:41:15+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-fund-commits-over-us219-million-emergency-funding-families-living-through-climate-crises-pakistan-and-somalia,Pakistan
 N/A                , N/A     , Residence        , N/A                            ,"When more than 33 million people in Pakistan lost their homes during recent flooding, families needed more than dry land and a roof over their heads.",Pakistan,2022-12-01 07:41:15+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-fund-commits-over-us219-million-emergency-funding-families-living-through-climate-crises-pakistan-and-somalia,Pakistan
" 33,000,000         ", Lost    , N/A              , N/A                            ,"When more than 33 million people in Pakistan lost their homes during recent flooding, families needed more than dry land and a roof over their heads.",Pakistan,2022-12-01 07:41:15+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-fund-commits-over-us219-million-emergency-funding-families-living-through-climate-crises-pakistan-and-somalia,Pakistan
,,,,"When more than 33 million people in Pakistan lost their homes during recent flooding, families needed more than dry land and a roof over their heads.",Pakistan,2022-12-01 07:41:15+00:00,News and Press Release,https://reliefweb.int/report/pakistan/global-fund-commits-over-us219-million-emergency-funding-families-living-through-climate-crises-pakistan-and-somalia,Pakistan
----------------------,--------------------------,-----------------------,---------------------------------,"There has been widespread destruction of homes, with more than 2 million homes damaged or destroyed, and infrastructure, including roads, health clinics and schools.",Pakistan,2022-11-28 01:12:55+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-protection-analysis-update-october-2022,
