Infrastructure Casualty,Cost,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 --- , --- ,"Similarly, around 4,830 livestock died, and 85% of the dwellings/shelters were without
electricity.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 Infrastructure casualties reported , 0 ,"Similarly, around 4,830 livestock died, and 85% of the dwellings/shelters were without
electricity.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 Cost reported , 0 ,"Similarly, around 4,830 livestock died, and 85% of the dwellings/shelters were without
electricity.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 Livestock died ," 4,830 ","Similarly, around 4,830 livestock died, and 85% of the dwellings/shelters were without
electricity.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
 Dwellings/shelters without electricity , 85% ,"Similarly, around 4,830 livestock died, and 85% of the dwellings/shelters were without
electricity.",Pakistan,2022-09-19 09:28:58+00:00,Assessment,https://reliefweb.int/report/pakistan/early-need-identification-eni-afghan-refugees-flood-affected-districts-balochistan-and-khyber-paktunkhwa-september-2022,
----------------------------------,---------------,"HIGHLIGHTS Roads reported damaged or destroyed nearly doubles in the past week, to over 12,700 km.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
"             12,700 km            ",    Not Given   ,"HIGHLIGHTS Roads reported damaged or destroyed nearly doubles in the past week, to over 12,700 km.",Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
------,---------------,Reported number of damaged or destroyed bridges increases 40 per cent in a week.,Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
 None ,      None     ,Reported number of damaged or destroyed bridges increases 40 per cent in a week.,Pakistan,2022-09-18 04:33:34+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-6-16-september-2022,
 --- , --- ,"Since mid-June, the flooding has damaged over 1 million homes and destroyed 130 bridges and 3,000 kilometers of roads.",Pakistan,2022-09-15 20:06:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-deadly-floods-pose-urgent-questions-preparedness-and-response,
" 1,000,000 homes damaged ", N/A ,"Since mid-June, the flooding has damaged over 1 million homes and destroyed 130 bridges and 3,000 kilometers of roads.",Pakistan,2022-09-15 20:06:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-deadly-floods-pose-urgent-questions-preparedness-and-response,
 130 bridges destroyed , N/A ,"Since mid-June, the flooding has damaged over 1 million homes and destroyed 130 bridges and 3,000 kilometers of roads.",Pakistan,2022-09-15 20:06:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-deadly-floods-pose-urgent-questions-preparedness-and-response,
" 3,000 kilometers of roads destroyed ", N/A ,"Since mid-June, the flooding has damaged over 1 million homes and destroyed 130 bridges and 3,000 kilometers of roads.",Pakistan,2022-09-15 20:06:33+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistans-deadly-floods-pose-urgent-questions-preparedness-and-response,
------------------------,------,"• The floods have damaged or destroyed 6,675 km of roads and 269 bridges.",Pakistan,2022-09-13 05:43:41+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-12-september-2022,
" 6,675 km                ", N/A  ,"• The floods have damaged or destroyed 6,675 km of roads and 269 bridges.",Pakistan,2022-09-13 05:43:41+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-12-september-2022,
 269 bridges            , N/A  ,"• The floods have damaged or destroyed 6,675 km of roads and 269 bridges.",Pakistan,2022-09-13 05:43:41+00:00,Situation Report,https://reliefweb.int/report/pakistan/wfp-pakistan-situation-report-12-september-2022,
------------------------,------,"Since the heavy rains started, more than 6,000 kilometres of road and 243 bridges have been damaged or destroyed.",Pakistan,2022-09-09 11:29:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/salvation-army-responds-pakistan-flooding,
"         6,000          ",   -  ,"Since the heavy rains started, more than 6,000 kilometres of road and 243 bridges have been damaged or destroyed.",Pakistan,2022-09-09 11:29:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/salvation-army-responds-pakistan-flooding,
          243           ,   -  ,"Since the heavy rains started, more than 6,000 kilometres of road and 243 bridges have been damaged or destroyed.",Pakistan,2022-09-09 11:29:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/salvation-army-responds-pakistan-flooding,
------------------------,---------------,"Nearly 6,700 km of roads have been damaged or destroyed, with over 1,600 km reported in the past week alone.",Pakistan,2022-09-09 12:17:45+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-5-9-september-2022,
" 6,700 km               ", Not provided  ,"Nearly 6,700 km of roads have been damaged or destroyed, with over 1,600 km reported in the past week alone.",Pakistan,2022-09-09 12:17:45+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-5-9-september-2022,
" 1,600 km               ", Not provided  ,"Nearly 6,700 km of roads have been damaged or destroyed, with over 1,600 km reported in the past week alone.",Pakistan,2022-09-09 12:17:45+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-5-9-september-2022,
 --- , --- ,"Meanwhile, 1500 km length of roads and 18 bridges are damaged due to the floods.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 What is the infrastructure casualty reported? , 1500 km length of roads and 18 bridges ,"Meanwhile, 1500 km length of roads and 18 bridges are damaged due to the floods.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 What is the cost reported? , No cost reported ,"Meanwhile, 1500 km length of roads and 18 bridges are damaged due to the floods.",Pakistan,2022-09-08 11:20:13+00:00,Appeal,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-irp-emergency-response-plan-pakistan-monsoon-floods-2022-date-created-29-july-2022-date-last-update-07-september-2022,
 --- , --- ,"Logistics: More than 5,730 km of roads have been damaged by these rains and more than 246 bridges have been affected across the country.",Pakistan,2022-09-06 16:32:52+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-floods-2022-bi-weekly-highlights-update-2-06-september,
" 5,730 km of roads ", N/A ,"Logistics: More than 5,730 km of roads have been damaged by these rains and more than 246 bridges have been affected across the country.",Pakistan,2022-09-06 16:32:52+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-floods-2022-bi-weekly-highlights-update-2-06-september,
 246 bridges , N/A ,"Logistics: More than 5,730 km of roads have been damaged by these rains and more than 246 bridges have been affected across the country.",Pakistan,2022-09-06 16:32:52+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-floods-2022-bi-weekly-highlights-update-2-06-september,
------,----------------,"According to a variety of different data and evidence, 3600km of roads, 356 communication bridges, 1142 shops and 2 million homes have been partially affected or completely destroyed by the floods so far.",Pakistan,2022-09-04 11:10:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/emergency-response-pakistan-floods-situation-support,
 Roads (km) , 3600 ,"According to a variety of different data and evidence, 3600km of roads, 356 communication bridges, 1142 shops and 2 million homes have been partially affected or completely destroyed by the floods so far.",Pakistan,2022-09-04 11:10:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/emergency-response-pakistan-floods-situation-support,
 Communication Bridges , 356 ,"According to a variety of different data and evidence, 3600km of roads, 356 communication bridges, 1142 shops and 2 million homes have been partially affected or completely destroyed by the floods so far.",Pakistan,2022-09-04 11:10:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/emergency-response-pakistan-floods-situation-support,
 Shops , 1142 ,"According to a variety of different data and evidence, 3600km of roads, 356 communication bridges, 1142 shops and 2 million homes have been partially affected or completely destroyed by the floods so far.",Pakistan,2022-09-04 11:10:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/emergency-response-pakistan-floods-situation-support,
 Homes (million) , 2 ,"According to a variety of different data and evidence, 3600km of roads, 356 communication bridges, 1142 shops and 2 million homes have been partially affected or completely destroyed by the floods so far.",Pakistan,2022-09-04 11:10:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/emergency-response-pakistan-floods-situation-support,
 Cost (Unknown Currency) , Not reported ,"According to a variety of different data and evidence, 3600km of roads, 356 communication bridges, 1142 shops and 2 million homes have been partially affected or completely destroyed by the floods so far.",Pakistan,2022-09-04 11:10:40+00:00,News and Press Release,https://reliefweb.int/report/pakistan/emergency-response-pakistan-floods-situation-support,
 --- , --- ,"Two thousand kilometres of road and 98 bridges were damaged or destroyed over the past week, for a total of over 5,000 km and 243 bridges damaged or destroyed in the last 2.5 months.",Pakistan,2022-09-02 13:37:01+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-04-2-september-2022,
" 5,000 km of road ", - ,"Two thousand kilometres of road and 98 bridges were damaged or destroyed over the past week, for a total of over 5,000 km and 243 bridges damaged or destroyed in the last 2.5 months.",Pakistan,2022-09-02 13:37:01+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-04-2-september-2022,
 243 destroyed or damaged bridges , - ,"Two thousand kilometres of road and 98 bridges were damaged or destroyed over the past week, for a total of over 5,000 km and 243 bridges damaged or destroyed in the last 2.5 months.",Pakistan,2022-09-02 13:37:01+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-04-2-september-2022,
" 2,000 km of road destroyed or damaged in the past week ", - ,"Two thousand kilometres of road and 98 bridges were damaged or destroyed over the past week, for a total of over 5,000 km and 243 bridges damaged or destroyed in the last 2.5 months.",Pakistan,2022-09-02 13:37:01+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-04-2-september-2022,
 98 bridges destroyed or damaged in the past week , - ,"Two thousand kilometres of road and 98 bridges were damaged or destroyed over the past week, for a total of over 5,000 km and 243 bridges damaged or destroyed in the last 2.5 months.",Pakistan,2022-09-02 13:37:01+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-2022-monsoon-floods-situation-report-no-04-2-september-2022,
-----------------------,----------------,"Moreover, 5,063 kilometres of roads, 243 bridges and 173 shops have also been damaged or destroyed.",Pakistan,2022-09-04 03:17:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/iom-calls-urgent-international-humanitarian-support-pakistan,
 Infrastructure Casualty, Not reported   ,"Moreover, 5,063 kilometres of roads, 243 bridges and 173 shops have also been damaged or destroyed.",Pakistan,2022-09-04 03:17:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/iom-calls-urgent-international-humanitarian-support-pakistan,
 Cost                  , Not reported   ,"Moreover, 5,063 kilometres of roads, 243 bridges and 173 shops have also been damaged or destroyed.",Pakistan,2022-09-04 03:17:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/iom-calls-urgent-international-humanitarian-support-pakistan,
 Kilometres of roads    ," 5,063          ","Moreover, 5,063 kilometres of roads, 243 bridges and 173 shops have also been damaged or destroyed.",Pakistan,2022-09-04 03:17:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/iom-calls-urgent-international-humanitarian-support-pakistan,
 Bridges               , 243            ,"Moreover, 5,063 kilometres of roads, 243 bridges and 173 shops have also been damaged or destroyed.",Pakistan,2022-09-04 03:17:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/iom-calls-urgent-international-humanitarian-support-pakistan,
 Shops                 , 173            ,"Moreover, 5,063 kilometres of roads, 243 bridges and 173 shops have also been damaged or destroyed.",Pakistan,2022-09-04 03:17:43+00:00,News and Press Release,https://reliefweb.int/report/pakistan/iom-calls-urgent-international-humanitarian-support-pakistan,
:-------------------------:,:----:,"More than 5,000 km of roads have been damaged by these rains and more than 243 bridges have been affected across the country.",Pakistan,2022-09-02 13:10:16+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-floods-2022-bi-weekly-highlights-update-1-02-september,
"   5,000 km of damaged roads   ",  N/A ,"More than 5,000 km of roads have been damaged by these rains and more than 243 bridges have been affected across the country.",Pakistan,2022-09-02 13:10:16+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-floods-2022-bi-weekly-highlights-update-1-02-september,
    243 affected bridges     ,  N/A ,"More than 5,000 km of roads have been damaged by these rains and more than 243 bridges have been affected across the country.",Pakistan,2022-09-02 13:10:16+00:00,Analysis,https://reliefweb.int/report/pakistan/pakistan-floods-2022-bi-weekly-highlights-update-1-02-september,
 --- , --- ,"Reports indicate flooding-related destruction of 3,500 km of roads and 150 bridges.",Pakistan,2022-08-31 15:03:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/crisisinsight-weekly-picks-31-august-2022,
" 3,500 km of roads ", N/A ,"Reports indicate flooding-related destruction of 3,500 km of roads and 150 bridges.",Pakistan,2022-08-31 15:03:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/crisisinsight-weekly-picks-31-august-2022,
 150 bridges , N/A ,"Reports indicate flooding-related destruction of 3,500 km of roads and 150 bridges.",Pakistan,2022-08-31 15:03:53+00:00,News and Press Release,https://reliefweb.int/report/pakistan/crisisinsight-weekly-picks-31-august-2022,
------------------------,---------------,"Already remote areas are now inaccessible, communication lines are damaged, 150 bridges have been destroyed, and even water transport can be risky with so much debris.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,
 150 bridges             , Not mentioned ,"Already remote areas are now inaccessible, communication lines are damaged, 150 bridges have been destroyed, and even water transport can be risky with so much debris.",Pakistan,2022-08-31 11:06:38+00:00,News and Press Release,https://reliefweb.int/report/pakistan/shelterbox-sending-team-flood-ravaged-pakistan,
 --- , --- ,"Since mid-June, the monsoons have destroyed 3,000 kilometers of road, 130 bridges and 495,000 homes.",Pakistan,2022-08-29 21:53:21+00:00,News and Press Release,https://reliefweb.int/report/pakistan/more-30-million-people-urgent-need-after-major-floods-devastate-areas-pakistan-and-afghanistan-irc-launches-emergency-response,
 Not specified , N/A ,"Since mid-June, the monsoons have destroyed 3,000 kilometers of road, 130 bridges and 495,000 homes.",Pakistan,2022-08-29 21:53:21+00:00,News and Press Release,https://reliefweb.int/report/pakistan/more-30-million-people-urgent-need-after-major-floods-devastate-areas-pakistan-and-afghanistan-irc-launches-emergency-response,
------------------------,------,"3,082 kilometers of roads and 145 bridges are destroyed.",Pakistan,2022-08-29 17:27:27+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-balochistan-flood-emergency-26-august-2022,
" 3,082 kilometers        ", N/A  ,"3,082 kilometers of roads and 145 bridges are destroyed.",Pakistan,2022-08-29 17:27:27+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-balochistan-flood-emergency-26-august-2022,
 145 bridges            , N/A  ,"3,082 kilometers of roads and 145 bridges are destroyed.",Pakistan,2022-08-29 17:27:27+00:00,Situation Report,https://reliefweb.int/report/pakistan/islamic-relief-pakistan-balochistan-flood-emergency-26-august-2022,
 --- , --- ,"3,037 kilometers of roads and 130 bridges are destroyed.",Pakistan,2022-08-26 14:19:13+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-heavy-monsoon-rains-flash-floods-situation-report-august-25-2022,
"  3,037 kilometers of roads ", N/A ,"3,037 kilometers of roads and 130 bridges are destroyed.",Pakistan,2022-08-26 14:19:13+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-heavy-monsoon-rains-flash-floods-situation-report-august-25-2022,
 130 bridges , N/A ,"3,037 kilometers of roads and 130 bridges are destroyed.",Pakistan,2022-08-26 14:19:13+00:00,Situation Report,https://reliefweb.int/report/pakistan/pakistan-heavy-monsoon-rains-flash-floods-situation-report-august-25-2022,
 --- , --- ,"Since mid-June, when the monsoon began, over 3,000 kilometers of road, 130 bridges and 495,000 homes have been damaged, according to NDMA's situation report.",Pakistan,2022-08-26 08:24:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/international-rescue-committee-pakistan-flood-response-update-1-august-26th-2022,
" 3,000 kilometers of road ", Not Reported ,"Since mid-June, when the monsoon began, over 3,000 kilometers of road, 130 bridges and 495,000 homes have been damaged, according to NDMA's situation report.",Pakistan,2022-08-26 08:24:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/international-rescue-committee-pakistan-flood-response-update-1-august-26th-2022,
 130 bridges , Not Reported ,"Since mid-June, when the monsoon began, over 3,000 kilometers of road, 130 bridges and 495,000 homes have been damaged, according to NDMA's situation report.",Pakistan,2022-08-26 08:24:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/international-rescue-committee-pakistan-flood-response-update-1-august-26th-2022,
" 495,000 homes ", Not Reported ,"Since mid-June, when the monsoon began, over 3,000 kilometers of road, 130 bridges and 495,000 homes have been damaged, according to NDMA's situation report.",Pakistan,2022-08-26 08:24:31+00:00,Situation Report,https://reliefweb.int/report/pakistan/international-rescue-committee-pakistan-flood-response-update-1-august-26th-2022,
---,---,"Meanwhile, 16698 houses has been damaged (including 15566 fully and 2832 partially damaged), moreover, 580 KM roads infrastructures has vanished and 11 Bridges are collapsed.",Pakistan,2022-08-02 09:47:48+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-monsoon-rainsfloods-2022-emergency-response-plan-implementation-period-july-2022-june-2023,
 16698 (15566 fully damaged and 2832 partially damaged) , Not Available ,"Meanwhile, 16698 houses has been damaged (including 15566 fully and 2832 partially damaged), moreover, 580 KM roads infrastructures has vanished and 11 Bridges are collapsed.",Pakistan,2022-08-02 09:47:48+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-monsoon-rainsfloods-2022-emergency-response-plan-implementation-period-july-2022-june-2023,
 580 KM roads infrastructure vanished , Not Available ,"Meanwhile, 16698 houses has been damaged (including 15566 fully and 2832 partially damaged), moreover, 580 KM roads infrastructures has vanished and 11 Bridges are collapsed.",Pakistan,2022-08-02 09:47:48+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-monsoon-rainsfloods-2022-emergency-response-plan-implementation-period-july-2022-june-2023,
 11 Bridges collapsed , Not Available ,"Meanwhile, 16698 houses has been damaged (including 15566 fully and 2832 partially damaged), moreover, 580 KM roads infrastructures has vanished and 11 Bridges are collapsed.",Pakistan,2022-08-02 09:47:48+00:00,Appeal,https://reliefweb.int/report/pakistan/pakistan-monsoon-rainsfloods-2022-emergency-response-plan-implementation-period-july-2022-june-2023,
-----------------------,---------------,5x provincial highways and 50x district highways damaged (Details to follow).,Pakistan,2022-07-29 00:25:03+00:00,Situation Report,https://reliefweb.int/report/pakistan/ndma-monsoon-2022-daily-situation-report-no-044-1300-hrs-27th-july-2022-1300-hrs-28th-july-2022,
 5 provincial highways  ,   NA          ,5x provincial highways and 50x district highways damaged (Details to follow).,Pakistan,2022-07-29 00:25:03+00:00,Situation Report,https://reliefweb.int/report/pakistan/ndma-monsoon-2022-daily-situation-report-no-044-1300-hrs-27th-july-2022-1300-hrs-28th-july-2022,
 50 district highways   ,   NA          ,5x provincial highways and 50x district highways damaged (Details to follow).,Pakistan,2022-07-29 00:25:03+00:00,Situation Report,https://reliefweb.int/report/pakistan/ndma-monsoon-2022-daily-situation-report-no-044-1300-hrs-27th-july-2022-1300-hrs-28th-july-2022,
 --- , --- ,01x RCC bridge washed away.,Pakistan,2022-08-01 02:34:35+00:00,Situation Report,https://reliefweb.int/report/pakistan/ndma-monsoon-2022-daily-situation-report-no-045-1300-hrs-28th-july-2022-1300-hrs-29th-july-2022,
 01 , N/A ,01x RCC bridge washed away.,Pakistan,2022-08-01 02:34:35+00:00,Situation Report,https://reliefweb.int/report/pakistan/ndma-monsoon-2022-daily-situation-report-no-045-1300-hrs-28th-july-2022-1300-hrs-29th-july-2022,
 -----------------------,------,02x foot bridges washed away.,Pakistan,2022-08-01 02:34:35+00:00,Situation Report,https://reliefweb.int/report/pakistan/ndma-monsoon-2022-daily-situation-report-no-045-1300-hrs-28th-july-2022-1300-hrs-29th-july-2022,
 2 foot bridges          , N/A  ,02x foot bridges washed away.,Pakistan,2022-08-01 02:34:35+00:00,Situation Report,https://reliefweb.int/report/pakistan/ndma-monsoon-2022-daily-situation-report-no-045-1300-hrs-28th-july-2022-1300-hrs-29th-july-2022,
 --- , --- ,• 6.5 km road damaged.,Pakistan,2022-07-18 01:07:51+00:00,Situation Report,https://reliefweb.int/report/pakistan/ndma-monsoon-2022-daily-situation-report-no-032-1300-hrs-15-july-2022-1300-hrs-16-july-2022,
 6.5 km of road damaged , N/A ,• 6.5 km road damaged.,Pakistan,2022-07-18 01:07:51+00:00,Situation Report,https://reliefweb.int/report/pakistan/ndma-monsoon-2022-daily-situation-report-no-032-1300-hrs-15-july-2022-1300-hrs-16-july-2022,
 --- , --- ,"More than 1 000 houses have been damaged or destroyed, five bridges and road sections affected.",Pakistan,2022-07-11 11:07:15+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-monsoon-rain-update-ndma-pmd-echo-daily-flash-11-july-2022,
 Infrastructure casualty reported ," More than 1,000 houses, 5 bridges, and road sections ","More than 1 000 houses have been damaged or destroyed, five bridges and road sections affected.",Pakistan,2022-07-11 11:07:15+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-monsoon-rain-update-ndma-pmd-echo-daily-flash-11-july-2022,
 Cost reported , Not provided in the text ,"More than 1 000 houses have been damaged or destroyed, five bridges and road sections affected.",Pakistan,2022-07-11 11:07:15+00:00,News and Press Release,https://reliefweb.int/report/pakistan/pakistan-monsoon-rain-update-ndma-pmd-echo-daily-flash-11-july-2022,
------------------------,------,01x bridge collapsed.,Pakistan,2022-07-15 00:05:21+00:00,Situation Report,https://reliefweb.int/report/pakistan/ndma-monsoon-2022-daily-situation-report-no-030-1300-hrs-13-july-2022-1300-hrs-14-july-2022,
