Number Mentioned,Metric,Type of loss,text,primary_country,date_posted,format,url,NER_extracted_geolocation
" 1,300     ", Million USD   , Production Loss         ,"Las evaluaciones iniciales indican importantes repercusiones en la agricultura, con estimaciones preliminares de 1 300 millones de USD en daños y 5 100 millones de USD en pérdidas para el sector.",Türkiye,2023-04-05 13:55:51+00:00,News and Press Release,https://reliefweb.int/report/turkiye/terremotos-en-turkiye-la-evaluacion-inicial-indica-perdidas-de-mas-del-20-en-la-produccion-alimentaria,
" 5,100     ", Million USD   , Production Loss         ,"Las evaluaciones iniciales indican importantes repercusiones en la agricultura, con estimaciones preliminares de 1 300 millones de USD en daños y 5 100 millones de USD en pérdidas para el sector.",Türkiye,2023-04-05 13:55:51+00:00,News and Press Release,https://reliefweb.int/report/turkiye/terremotos-en-turkiye-la-evaluacion-inicial-indica-perdidas-de-mas-del-20-en-la-produccion-alimentaria,
 34 , Granjas piscícolas afectadas , Acuacultura ,La producción pesquera también se ha visto comprometida debido a las repercusiones en 34 granjas piscícolas y tres puertos pesqueros y la pérdida de especies de peces fundamentales.,Türkiye,2023-04-05 13:55:51+00:00,News and Press Release,https://reliefweb.int/report/turkiye/terremotos-en-turkiye-la-evaluacion-inicial-indica-perdidas-de-mas-del-20-en-la-produccion-alimentaria,
 3 , Puertos pesqueros afectados , Pesca ,La producción pesquera también se ha visto comprometida debido a las repercusiones en 34 granjas piscícolas y tres puertos pesqueros y la pérdida de especies de peces fundamentales.,Türkiye,2023-04-05 13:55:51+00:00,News and Press Release,https://reliefweb.int/report/turkiye/terremotos-en-turkiye-la-evaluacion-inicial-indica-perdidas-de-mas-del-20-en-la-produccion-alimentaria,
 6.7 billion , USD ," Crops, Livestock, Food Stocks and Agricultural Infrastructure and Assets ","The Food and Agriculture Organization of the United Nations (FAO) reported that the earthquakes caused $6.7 billion in losses and damage to crops, livestock, food stocks and agricultural infrastructure and assets5.",Türkiye,2023-04-01 09:30:59+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-30032023,
 15 , Percent , Production loss ,"The earthquake-affected region is known as Türkiye's ""fertile crescent"" and accounts for almost 15 percent of the country's agricultural income.",Türkiye,2023-03-31 16:37:40+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-quake-response-continues-food-security-threat-rising,Türkiye
   11   ,   Count   ,   Agricultural provinces affected   ,"Meanwhile, the UN Food and Agriculture Organization (FAO) said on Friday that more than 20 per cent of Türkiye's food production has been damaged by the earthquake, which impacted 11 key agricultural provinces.",Türkiye,2023-03-31 16:37:40+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-quake-response-continues-food-security-threat-rising,
   20   ,   Percentage   ,   Production loss   ,"Meanwhile, the UN Food and Agriculture Organization (FAO) said on Friday that more than 20 per cent of Türkiye's food production has been damaged by the earthquake, which impacted 11 key agricultural provinces.",Türkiye,2023-03-31 16:37:40+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-syria-quake-response-continues-food-security-threat-rising,
 1.3 billion , USD , Damage to agriculture sector ,"Initial assessments indicate significant impacts to agriculture, with preliminary estimates of $1.3 billion in damage and $5.1 billion in losses to the sector.",Türkiye,2023-03-31 09:39:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-earthquakes-initial-assessment-indicates-losses-more-20-percent-food-production,
 34 , Number of fish farms , Aquaculture loss ,"Fish production has also been compromised, with 34 fish farms and three fishing ports impacted and the loss of key fish species.",Türkiye,2023-03-31 09:39:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-earthquakes-initial-assessment-indicates-losses-more-20-percent-food-production,
 5.1 billion , USD , Losses to agriculture sector ,"Initial assessments indicate significant impacts to agriculture, with preliminary estimates of $1.3 billion in damage and $5.1 billion in losses to the sector.",Türkiye,2023-03-31 09:39:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-earthquakes-initial-assessment-indicates-losses-more-20-percent-food-production,
 3 , Number of fishing ports , Fisheries loss ,"Fish production has also been compromised, with 34 fish farms and three fishing ports impacted and the loss of key fish species.",Türkiye,2023-03-31 09:39:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-earthquakes-initial-assessment-indicates-losses-more-20-percent-food-production,
 20 , Percent , Production loss ,"More than 20 percent of Türkiye’s agricultural production damaged In Türkiye, the earthquake severely impacted 11 key agricultural provinces a­ffecting 15.73 million people and more than 20 percent of the country's food production.",Türkiye,2023-03-31 09:39:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-earthquakes-initial-assessment-indicates-losses-more-20-percent-food-production,Türkiye
 15.73 million , People affected , N/A ,"More than 20 percent of Türkiye’s agricultural production damaged In Türkiye, the earthquake severely impacted 11 key agricultural provinces a­ffecting 15.73 million people and more than 20 percent of the country's food production.",Türkiye,2023-03-31 09:39:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-earthquakes-initial-assessment-indicates-losses-more-20-percent-food-production,Türkiye
 11 , Provinces affected , N/A ,"More than 20 percent of Türkiye’s agricultural production damaged In Türkiye, the earthquake severely impacted 11 key agricultural provinces a­ffecting 15.73 million people and more than 20 percent of the country's food production.",Türkiye,2023-03-31 09:39:11+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkiye-earthquakes-initial-assessment-indicates-losses-more-20-percent-food-production,Türkiye
 US$1.3 billion , monetary , access to food ,"In terms of losses, the agriculture sector incurred the heaviest toll with the gap in access to food estimated at US$1.3 billion (83% of total losses).",Syria,2023-03-18 23:16:37+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-2023-rapid-damage-and-needs-assessment-rdna-enar,
 83% , percentage , access to food ,"In terms of losses, the agriculture sector incurred the heaviest toll with the gap in access to food estimated at US$1.3 billion (83% of total losses).",Syria,2023-03-18 23:16:37+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-2023-rapid-damage-and-needs-assessment-rdna-enar,
 44              , %        ," Total Damage - Housing, Agriculture ","The governorate of Aleppo suffered the greatest damages (44% of total damages, predominantly in housing then agriculture), followed by Idlib (21%).",Syria,2023-03-18 23:16:37+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-2023-rapid-damage-and-needs-assessment-rdna-enar,
 21              , %        , Total Damage                     ,"The governorate of Aleppo suffered the greatest damages (44% of total damages, predominantly in housing then agriculture), followed by Idlib (21%).",Syria,2023-03-18 23:16:37+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/syria-earthquake-2023-rapid-damage-and-needs-assessment-rdna-enar,
 May 8 , Date , Deadline Extension ,"Ministry of Commerce Increases Inspections Announcing that the applications to the Farmer Registration System (ÇKS) have been extended until May 8, President Erdoğan said that support payments for 2.2 million farmers in the region will be paid in advance .",Türkiye,2023-02-15 00:00:00+00:00,News and Press Release,https://reliefweb.int/report/turkiye/we-will-provide-both-material-and-emotional-support-each-and-every-citizen-entr,
 2.2 million , Count , Number of Farmers ,"Ministry of Commerce Increases Inspections Announcing that the applications to the Farmer Registration System (ÇKS) have been extended until May 8, President Erdoğan said that support payments for 2.2 million farmers in the region will be paid in advance .",Türkiye,2023-02-15 00:00:00+00:00,News and Press Release,https://reliefweb.int/report/turkiye/we-will-provide-both-material-and-emotional-support-each-and-every-citizen-entr,
 140 , Farmers affected , Crop loss ,140 farmers were affected and 50% of their crops were lost.,Syria,2023-02-14 08:04:44+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/early-recovery-and-livelihoods-sector-hct-eq-response-update-february-13th-2023,
 50% , Crops loss , Production loss ,140 farmers were affected and 50% of their crops were lost.,Syria,2023-02-14 08:04:44+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/early-recovery-and-livelihoods-sector-hct-eq-response-update-february-13th-2023,
