Number of Buildings Mentioned,What Happened,Type of Building,housing sector losses reported,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 0                            , N/A                 , N/A             , 0                              ,"We are on the 47th day of the earthquake, but the lack of tents is still a serious problem.",Türkiye,2023-05-18 14:17:26+00:00,News and Press Release,https://reliefweb.int/report/turkiye/devastating-impact-recent-earthquakes-turkeys-minorities,
---------------------,----------------------------------------,------------------,----------------------------------,"“While the news cycle and the emergency response teams have long moved on, Project HOPE remains committed to a long-term presence in the region and will continue to work alongside our local partners to support the community with health support, mental health services, and basic needs around shelter and sanitation.” There have been reports that estimate that more than 500,000 houses were either severely damaged or collapsed after the earthquakes.",Türkiye,2023-05-17 14:45:20+00:00,News and Press Release,https://reliefweb.int/report/turkiye/project-hope-remains-committed-long-term-earthquake-response-turkiye-and-syria,
" 500,000             ", Severely damaged or collapsed           ," Household, Residence ", N/A                                ,"“While the news cycle and the emergency response teams have long moved on, Project HOPE remains committed to a long-term presence in the region and will continue to work alongside our local partners to support the community with health support, mental health services, and basic needs around shelter and sanitation.” There have been reports that estimate that more than 500,000 houses were either severely damaged or collapsed after the earthquakes.",Türkiye,2023-05-17 14:45:20+00:00,News and Press Release,https://reliefweb.int/report/turkiye/project-hope-remains-committed-long-term-earthquake-response-turkiye-and-syria,
---------------------,-----------------------,---------------------,---------------------------------,"More than 50,700 people were killed, 3.3 million displaced and over 313,000 buildings have been destroyed.",Türkiye,2023-05-15 20:10:08+00:00,News and Press Release,https://reliefweb.int/report/turkiye/100-days-later-view-turkiye-and-syria,
" 313,000 ", Destroyed , NA , NA ,"More than 50,700 people were killed, 3.3 million displaced and over 313,000 buildings have been destroyed.",Türkiye,2023-05-15 20:10:08+00:00,News and Press Release,https://reliefweb.int/report/turkiye/100-days-later-view-turkiye-and-syria,
" 50,700 ", NA , NA , NA ,"More than 50,700 people were killed, 3.3 million displaced and over 313,000 buildings have been destroyed.",Türkiye,2023-05-15 20:10:08+00:00,News and Press Release,https://reliefweb.int/report/turkiye/100-days-later-view-turkiye-and-syria,
 3.3 million , NA , Household/Residence , NA ,"More than 50,700 people were killed, 3.3 million displaced and over 313,000 buildings have been destroyed.",Türkiye,2023-05-15 20:10:08+00:00,News and Press Release,https://reliefweb.int/report/turkiye/100-days-later-view-turkiye-and-syria,
 :-----------------: , :-----------: , :--------------: , :---------------------------: ,3 million people were displaced by the earthquake; 1.6 million people are living in informal settlements.,Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
         N/A         ,     N/A       ,       N/A        ,          1.6 million          ,3 million people were displaced by the earthquake; 1.6 million people are living in informal settlements.,Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
         N/A         ,     N/A       ,       N/A        ,           3 million           ,3 million people were displaced by the earthquake; 1.6 million people are living in informal settlements.,Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
 --- , --- , --- , --- ," According to AFAD data dated 12 April, there are 710,000 buildings with heavy damage, 180,000
buildings with medium damage and 1,800,000 buildings with light damage in the disaster area.",Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
" 710,000 ", Heavy damage , Household , N/A ," According to AFAD data dated 12 April, there are 710,000 buildings with heavy damage, 180,000
buildings with medium damage and 1,800,000 buildings with light damage in the disaster area.",Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
" 180,000 ", Medium damage , Household , N/A ," According to AFAD data dated 12 April, there are 710,000 buildings with heavy damage, 180,000
buildings with medium damage and 1,800,000 buildings with light damage in the disaster area.",Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
" 1,800,000 ", Light damage , Household , N/A ," According to AFAD data dated 12 April, there are 710,000 buildings with heavy damage, 180,000
buildings with medium damage and 1,800,000 buildings with light damage in the disaster area.",Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
 --- , --- , --- , --- ,"It is estimated that more than 500,000 houses in Türkiye have been determined as requiring urgent demolition, collapsed, or severely damaged; while the economic damage for the houses impacted alone, is 54.7 billion USD.",Türkiye,2023-05-09 16:36:01+00:00,News and Press Release,https://reliefweb.int/report/turkiye/three-months-after-earthquakes-turkiye-and-northwest-syria-crises-persist,Türkiye
" 500,000 "," Urgent demolition, collapsed, or severely damaged ", Household , 54.7 billion ,"It is estimated that more than 500,000 houses in Türkiye have been determined as requiring urgent demolition, collapsed, or severely damaged; while the economic damage for the houses impacted alone, is 54.7 billion USD.",Türkiye,2023-05-09 16:36:01+00:00,News and Press Release,https://reliefweb.int/report/turkiye/three-months-after-earthquakes-turkiye-and-northwest-syria-crises-persist,Türkiye
 ------------------ , --------------- , ------------- , ---------------------,"In Türkiye, 2.3 million people have been identified as living in formal and informal settlements across earthquake affected areas.",Türkiye,2023-05-09 16:36:01+00:00,News and Press Release,https://reliefweb.int/report/turkiye/three-months-after-earthquakes-turkiye-and-northwest-syria-crises-persist,Türkiye
 2.3 million         , N/A             , N/A           , N/A                   ,"In Türkiye, 2.3 million people have been identified as living in formal and informal settlements across earthquake affected areas.",Türkiye,2023-05-09 16:36:01+00:00,News and Press Release,https://reliefweb.int/report/turkiye/three-months-after-earthquakes-turkiye-and-northwest-syria-crises-persist,Türkiye
 ------------------ , --------------- , -------------, ------------------------------,"• The floods overwhelmed survivors of the earthquakes, who had been living in temporary tents and camps following the earthquakes, resulting in further displacement (OCHA 17/03/2023; TRC 04/04/2023).",Türkiye,2023-05-03 22:11:40+00:00,Analysis,https://reliefweb.int/report/turkiye/acaps-briefing-note-earthquake-and-flooding-impact-adiyaman-province-02-may-2023,
 0                  , N/A             , N/A          , N/A                            ,"• The floods overwhelmed survivors of the earthquakes, who had been living in temporary tents and camps following the earthquakes, resulting in further displacement (OCHA 17/03/2023; TRC 04/04/2023).",Türkiye,2023-05-03 22:11:40+00:00,Analysis,https://reliefweb.int/report/turkiye/acaps-briefing-note-earthquake-and-flooding-impact-adiyaman-province-02-may-2023,
--------------------,----------------,---------------,-----------------------,"At least 53,000 families displaced after the earthquakes require dignified shelters, beyond the scope of the Syria Earthquake Flash Appeal.",Syria,2023-05-05 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-19-earthquake-nw-syria-5-may-2023,Syria
 0                  , 0              , 0             , 0                     ,"At least 53,000 families displaced after the earthquakes require dignified shelters, beyond the scope of the Syria Earthquake Flash Appeal.",Syria,2023-05-05 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-19-earthquake-nw-syria-5-may-2023,Syria
" 53,000             ", -              , -             , -                     ,"At least 53,000 families displaced after the earthquakes require dignified shelters, beyond the scope of the Syria Earthquake Flash Appeal.",Syria,2023-05-05 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-19-earthquake-nw-syria-5-may-2023,Syria
---------------------,---------------,-----------------,--------------------------------,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
         11          ,     damaged   ,  Health centres ,                -               ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
         11          ,   not damaged ,     Schools     ,                -               ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
----------------------,-----------------------,------------------,-----------------------------,"Looking beyond the scope of the Syria Earthquake Flash Appeal, at least 53,000 families displaced after the earthquakes are in need of dignified shelters.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 Not Applicable   , N/A                              , Residence            ," At least 53,000 families ","Looking beyond the scope of the Syria Earthquake Flash Appeal, at least 53,000 families displaced after the earthquakes are in need of dignified shelters.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 ------------------ , ------------------- , ----------------, -----------------------------,"Household expenditure has significantly increased over the past year, with nearly 80% of income being allocated to necessities such as food, shelter, energy, education and hygiene items.",Türkiye,2023-04-28 09:30:06+00:00,Assessment,https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye,
 0                  , N/A                 , N/A             , N/A                           ,"Household expenditure has significantly increased over the past year, with nearly 80% of income being allocated to necessities such as food, shelter, energy, education and hygiene items.",Türkiye,2023-04-28 09:30:06+00:00,Assessment,https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye,
,,,,"Household expenditure has significantly increased over the past year, with nearly 80% of income being allocated to necessities such as food, shelter, energy, education and hygiene items.",Türkiye,2023-04-28 09:30:06+00:00,Assessment,https://reliefweb.int/report/turkiye/intersectoral-vulnerability-study-round-2-2022-living-bare-minimum-exploration-vulnerability-refugees-turkiye,
-----------------------,----------------------,-----------------------,------------------------,"According to the President's statement on 25 April, 29,600 aftershocks were recorded since 6 February and 311,000 buildings became unusable due to the earthquake2 .",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,
" 311,000               "," Damaged, Unusable"," Household, Residence",Not specified            ,"According to the President's statement on 25 April, 29,600 aftershocks were recorded since 6 February and 311,000 buildings became unusable due to the earthquake2 .",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,
---------------------,----------------,-----------------,---------------------,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
 No buildings mentioned , Not applicable , Not applicable , 16% increase in house rent ,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
--------------------,----------------,---------------,--------------------------------,"More than 7,400 buildings have been completely or partially destroyed.",Türkiye,2023-04-25 18:37:21+00:00,Situation Report,https://reliefweb.int/report/turkiye/unfpa-turkiyesyria-earthquake-joint-situation-report-3-20-april-2023,
" 7,400              ", Destroyed/Partial Damage , Not specified , Not specified                   ,"More than 7,400 buildings have been completely or partially destroyed.",Türkiye,2023-04-25 18:37:21+00:00,Situation Report,https://reliefweb.int/report/turkiye/unfpa-turkiyesyria-earthquake-joint-situation-report-3-20-april-2023,
 ------------------ , ------------------, ----------------, -----------------------------,"To date, there have been more than 22 500 aftershocks, and nearly 307 000 buildings and 893 000 independent units were damaged throughout the region.",Türkiye,2023-04-21 17:01:18+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-external-situation-report-no-7-3-16-april-2023,
" 307,000            ", Damaged           , Household       , --                            ,"To date, there have been more than 22 500 aftershocks, and nearly 307 000 buildings and 893 000 independent units were damaged throughout the region.",Türkiye,2023-04-21 17:01:18+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-external-situation-report-no-7-3-16-april-2023,
" 893,000            ", --                , Residence       , --                            ,"To date, there have been more than 22 500 aftershocks, and nearly 307 000 buildings and 893 000 independent units were damaged throughout the region.",Türkiye,2023-04-21 17:01:18+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-external-situation-report-no-7-3-16-april-2023,
---------------------,-----------------------------,------------------,--------------------------------,"Two months since the devastating earthquake struck Türkiye, the full scale of the disaster is difficult to grasp – more than 50,000 lives lost, more than 200,000 buildings destroyed and millions of people displaced.",Türkiye,2023-04-20 01:35:10+00:00,News and Press Release,https://reliefweb.int/report/turkiye/connecting-communities-navigating-information-gaps-and-community-trust-post-earthquake-turkiye,Türkiye
"        200,000      ",         Destroyed           ,  Household       ,            Unknown             ,"Two months since the devastating earthquake struck Türkiye, the full scale of the disaster is difficult to grasp – more than 50,000 lives lost, more than 200,000 buildings destroyed and millions of people displaced.",Türkiye,2023-04-20 01:35:10+00:00,News and Press Release,https://reliefweb.int/report/turkiye/connecting-communities-navigating-information-gaps-and-community-trust-post-earthquake-turkiye,Türkiye
---------------------,-----------------------,----------------------,--------------------------------,"At least 42 IDP sites in Syria are affected, with floods destroying or damaging more than 1,600 tents sheltering some 7,500 internally displaced people (IDPs).",Syria,2023-04-20 16:55:44+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-mena-syria-earthquakes-operation-update-1-no-mdrsy009,Syria
        1600         ,      Destroyed/Damaged ,       Household      ,            7500                ,"At least 42 IDP sites in Syria are affected, with floods destroying or damaging more than 1,600 tents sheltering some 7,500 internally displaced people (IDPs).",Syria,2023-04-20 16:55:44+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-mena-syria-earthquakes-operation-update-1-no-mdrsy009,Syria
,,,,"At least 42 IDP sites in Syria are affected, with floods destroying or damaging more than 1,600 tents sheltering some 7,500 internally displaced people (IDPs).",Syria,2023-04-20 16:55:44+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-mena-syria-earthquakes-operation-update-1-no-mdrsy009,Syria
 :---: , :---: , :---: , :---: ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 are living in container cities.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
 2.6 million , N/A , Tent , N/A ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 are living in container cities.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
" 79,000 ", N/A , Container City , N/A ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 are living in container cities.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
:------------------:,:---------------:,:-------------:,:---------------------:,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 people are living in container cities (formal settlements).",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
"      2,600,000     ",     Damaged     ,   Household   ,          N/A          ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 people are living in container cities (formal settlements).",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
"      2,600,000     ",     Destroyed   ,   Household   ,          N/A          ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 people are living in container cities (formal settlements).",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
"       79,000       ",     Damaged     ,   Residence   ,          N/A          ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 people are living in container cities (formal settlements).",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
"       79,000       ",     Destroyed   ,   Residence   ,          N/A          ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 people are living in container cities (formal settlements).",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
---,---,---,---,"According to the data of the Ministry of Interior regarding the studies carried out in the earthquake zone and the operations throughout the country, a total of 656 thousand 553 tents were set up in 8 provinces and 345 tent cities affected by the earthquake.",Türkiye,2023-04-14 12:36:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-13th-2023-situation-report-21-entr,
 345 , N/A , Tent City , N/A ,"According to the data of the Ministry of Interior regarding the studies carried out in the earthquake zone and the operations throughout the country, a total of 656 thousand 553 tents were set up in 8 provinces and 345 tent cities affected by the earthquake.",Türkiye,2023-04-14 12:36:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-13th-2023-situation-report-21-entr,
" 656,553 ", N/A , Tent , N/A ,"According to the data of the Ministry of Interior regarding the studies carried out in the earthquake zone and the operations throughout the country, a total of 656 thousand 553 tents were set up in 8 provinces and 345 tent cities affected by the earthquake.",Türkiye,2023-04-14 12:36:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-13th-2023-situation-report-21-entr,
------------,---------,------------,------------,"President Recep Tayyip Erdoğan, last stated that 100,000 residences and village houses had been constructed so far after the earthquake.",Türkiye,2023-04-14 12:36:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-13th-2023-situation-report-21-entr,
"100,000",Constructed after earthquake,Household and village houses,Not Reported,"President Recep Tayyip Erdoğan, last stated that 100,000 residences and village houses had been constructed so far after the earthquake.",Türkiye,2023-04-14 12:36:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-13th-2023-situation-report-21-entr,
---,---,---,---,"According to the statement of the Deputy Director General of Credit and Dormitories (KYK), 144,847 disaster-affected people live in dormitories.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
 1  , None , Dormitory ," 144,847 ","According to the statement of the Deputy Director General of Credit and Dormitories (KYK), 144,847 disaster-affected people live in dormitories.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
---------------------,--------------------,------------------,--------------------------------,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
  -                  ,  Damaged           , Household        ,"  102,916                       ","The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
  -                  ,  -                 , Residence        ,  -                             ,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
  -                  ,  -                 , Total            ,"  102,916                       ","The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
  -                  ,  Destroyed         , Household        ,  -                             ,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
  -                  ,  -                 , Total            ,  -                             ,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
  0                  ,  -                 , Household        ,  -                             ,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
  0                  ,  -                 , Residence        ,  -                             ,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
  0                  ,  -                 , Total            ,  -                             ,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
"  21,341             ",  -                 , Household        ,  -                             ,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
"  21,341             ",  -                 , Residence        ,  -                             ,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
"  21,341             ",  -                 , Total            ,  -                             ,"The number of students who lost their family members in the earthquake is 21,341 and the number of students whose houses were damaged is 102,916.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
