Number of Buildings Mentioned,What Happened,Type of Building,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 1 , Destroyed , Hospital ,"Los dos devastadores terremotos producidos inicialmente el 6 de febrero de 2023, a los que siguieron miles de réplicas, han llevado a muchas familias a una situación límite, han dejado a niños y niñas sin hogar y sin acceso a servicios esenciales —como agua potable, educación y atención médica— y han provocado un aumento de los riesgos para la protección de los niños y niñas vulnerables.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
" 1,900,000          ", Interrupted/Being used as shelters , Elementary Schools ,"La educación de aproximadamente 1,9 millones de niños y niñas se ha visto interrumpida, ya que muchas escuelas se siguen utilizando como refugios.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
 1 , Damaged , Health Centre ,"Los dos devastadores terremotos producidos inicialmente el 6 de febrero de 2023, a los que siguieron miles de réplicas, han llevado a muchas familias a una situación límite, han dejado a niños y niñas sin hogar y sin acceso a servicios esenciales —como agua potable, educación y atención médica— y han provocado un aumento de los riesgos para la protección de los niños y niñas vulnerables.",Syria,2023-05-17 15:41:24+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/100-dias-despues-de-los-terremotos-que-sacudieron-turkiye-y-siria-millones-de-ninos-siguen-en-condiciones-desesperadas,
"        500,000      ",           Severely damaged/collapsed     , Household/Residential ,"“While the news cycle and the emergency response teams have long moved on, Project HOPE remains committed to a long-term presence in the region and will continue to work alongside our local partners to support the community with health support, mental health services, and basic needs around shelter and sanitation.” There have been reports that estimate that more than 500,000 houses were either severely damaged or collapsed after the earthquakes.",Türkiye,2023-05-17 14:45:20+00:00,News and Press Release,https://reliefweb.int/report/turkiye/project-hope-remains-committed-long-term-earthquake-response-turkiye-and-syria,
" 500,000             ", severely damaged or collapsed  , not mentioned     ,"“While the news cycle and the emergency response teams have long moved on, Project HOPE remains committed to a long-term presence in the region and will continue to work alongside our local partners to support the community with health support, mental health services, and basic needs around shelter and sanitation.” There have been reports that estimate that more than 500,000 houses were either severely damaged or collapsed after the earthquakes.",Türkiye,2023-05-17 14:45:20+00:00,News and Press Release,https://reliefweb.int/report/turkiye/project-hope-remains-committed-long-term-earthquake-response-turkiye-and-syria,
        15           ,                Not mentioned     ,   Hospitals      ,"• Health systems have suffered from the impacts both on their infrastructure and their staff, 15 and this reduction in capacity came at the same time as an increase in needs due to earthquake-related injuries.16 Furthermore, there has been a clear increase in needs for mental health support following the earthquakes",Syria,2023-05-17 09:06:25+00:00,Assessment,https://reliefweb.int/report/syrian-arab-republic/impact-earthquakes-humanitarian-situation-northwest-syria-may-2023,
 1                 , Damaged            , Residential   ,"At least 53,000 families displaced after the earthquakes require dignified shelters, beyond the scope of the Syria Earthquake Flash Appeal.",Syria,2023-05-15 20:42:48+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-20-earthquake-nw-syria-11-may-2023,Syria
" 53,000            ", N/A                , N/A           ,"At least 53,000 families displaced after the earthquakes require dignified shelters, beyond the scope of the Syria Earthquake Flash Appeal.",Syria,2023-05-15 20:42:48+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/sard-flash-report-20-earthquake-nw-syria-11-may-2023,Syria
" 180,000 ", Medium , Not specified ," According to AFAD data dated 12 April, there are 710,000 buildings with heavy damage, 180,000
buildings with medium damage and 1,800,000 buildings with light damage in the disaster area.",Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
" 1,800,000 ", Light , Not specified ," According to AFAD data dated 12 April, there are 710,000 buildings with heavy damage, 180,000
buildings with medium damage and 1,800,000 buildings with light damage in the disaster area.",Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
" 710,000 ", Heavy , Not specified ," According to AFAD data dated 12 April, there are 710,000 buildings with heavy damage, 180,000
buildings with medium damage and 1,800,000 buildings with light damage in the disaster area.",Türkiye,2023-05-12 09:25:20+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-10052023,
" 2,300,000 ", N/A , Formal and informal settlements ,"In Türkiye, 2.3 million people have been identified as living in formal and informal settlements across earthquake affected areas.",Türkiye,2023-05-09 16:36:01+00:00,News and Press Release,https://reliefweb.int/report/turkiye/three-months-after-earthquakes-turkiye-and-northwest-syria-crises-persist,Türkiye
" 500,000 "," Urgent demolition, collapsed, or severely damaged "," Household, residence ","It is estimated that more than 500,000 houses in Türkiye have been determined as requiring urgent demolition, collapsed, or severely damaged; while the economic damage for the houses impacted alone, is 54.7 billion USD.",Türkiye,2023-05-09 16:36:01+00:00,News and Press Release,https://reliefweb.int/report/turkiye/three-months-after-earthquakes-turkiye-and-northwest-syria-crises-persist,Türkiye
 2.4 million , Displaced , Residence ,"In Türkiye, a country home to the largest number of refugees in the world, tens of thousands of people were forced into makeshift shelters on the street, their family homes flattened in an instant – some 2.4 million are reported to be still living in displacement camps.",Türkiye,2023-05-09 14:44:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/3-months-earthquakes-5-reasons-women-and-girls-syria-and-turkiye-still-need-your-support,Türkiye
 1 , Flattened , Household ,"In Türkiye, a country home to the largest number of refugees in the world, tens of thousands of people were forced into makeshift shelters on the street, their family homes flattened in an instant – some 2.4 million are reported to be still living in displacement camps.",Türkiye,2023-05-09 14:44:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/3-months-earthquakes-5-reasons-women-and-girls-syria-and-turkiye-still-need-your-support,Türkiye
 70 , Damaged , Family Health Centers ,"Nearly the entire health infrastructure in the four most affected provinces was damaged or destroyed – 70 per cent of family health centres were damaged and 60 per cent of maternal health and obstetric services not operating, endangering tens of thousands of lives.",Türkiye,2023-05-09 14:44:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/3-months-earthquakes-5-reasons-women-and-girls-syria-and-turkiye-still-need-your-support,
 60 , Not Operating , Maternal Health and Obstetric Services ,"Nearly the entire health infrastructure in the four most affected provinces was damaged or destroyed – 70 per cent of family health centres were damaged and 60 per cent of maternal health and obstetric services not operating, endangering tens of thousands of lives.",Türkiye,2023-05-09 14:44:22+00:00,News and Press Release,https://reliefweb.int/report/turkiye/3-months-earthquakes-5-reasons-women-and-girls-syria-and-turkiye-still-need-your-support,
         1           , Destroyed , Multi-Storey ,"Yet the emergence of many unlicensed, multi-storey buildings led to fateful consequences in the early hours of the 6th of February.",Syria,2023-05-02 12:53:38+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/rebuilding-rubble-pin-creates-jobs-reconstruction-post-earthquake-syria,
1,Destroyed,Legal Clinic,"The Hatay legal clinic, which had been destroyed during the earthquake, has taken up counselling services online on 17 April.",Türkiye,2023-05-01 09:54:21+00:00,Situation Report,https://reliefweb.int/report/turkiye/unhcr-turkiye-earthquake-emergency-response-28-april-2023,
 11                           , Educational facilities                 , UNRWA (type of building not mentioned) ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
 11                           , Schools                                , UNRWA (type of building not mentioned) ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
 11 , Damaged , Health Centre ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
 11 , Damaged , School ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
 11                           , Damaged                                , Health centres and schools              ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
 11 , Damaged , UNRWA installations ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-05-01 07:28:11+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-25-27-april-2023,
" 53,000 ", No specific information provided , Household/Residence ,"Looking beyond the scope of the Syria Earthquake Flash Appeal, at least 53,000 families displaced after the earthquakes are in need of dignified shelters.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
         2          ,        Destroyed           ,     Total      ,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
         2          ,         Damaged            ,     Total      ,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
         2          ,        Destroyed           ,    Building    ,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
         2          ,         Damaged            ,    Residence   ,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
         2          ,        Destroyed           ,     House      ,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
         2          ,         Damaged            ,   Household    ,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
         1          ,         Damaged            ,     Total      ,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
         1          ,        Destroyed           ,    Building    ,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
         1          ,         Damaged            ,    Residence   ,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
         1          ,        Destroyed           ,     House      ,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
         1          ,         Damaged            ,   Household    ,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
         1          ,        Destroyed           ,     Total      ,"According to recent research by the Turkish Housing Sector Group, house rents in Turkey increased by 16 per cent on average following the earthquakes.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,Türkiye
" 7,400              ", Completely or Partially destroyed , Not mentioned     ,"More than 7,400 buildings have been completely or partially destroyed.",Türkiye,2023-04-25 18:37:21+00:00,Situation Report,https://reliefweb.int/report/turkiye/unfpa-turkiyesyria-earthquake-joint-situation-report-3-20-april-2023,
             81               ,            Not mentioned        ,     Education Facilities     ,"The MoNE has announced schools will open in all 81 provinces and all districts, including the ones affected by the earthquake, following Bayram/Eid Holidays (after 24 April); when it is expected new data on the number of students who have resumed classes in all earthquake affected areas will be announced.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
" 20,430   ", Extensive Damage ," Universities, Colleges, Secondary/High Schools, Elementary Schools, Pre-school facilities, Training Centres, Kindergarten, Military School, Prison School, Education Facilities ","The TERRA reported extensive damage to WASH facilities and 20,430 educational institutions, which will require an estimated US$11 billion for repair and rehabilitation alone.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
 1                            , Not Damaged or Destroyed                 , Hospital         ,"The hospital, which was inaugurated in December 2022, became a major medical hub in the aftermath of the February’s earthquakes, remaining fully operational and treating 6 000 outpatients per day without interruption.",Türkiye,2023-04-24 12:14:38+00:00,News and Press Release,https://reliefweb.int/report/turkiye/ceb-approves-eu-250-million-loan-republic-turkiye-and-establishes-disaster-prevention-and-recovery-fund,
" 307,000 ", Damaged , Not specified ,"To date, there have been more than 22 500 aftershocks, and nearly 307 000 buildings and 893 000 independent units were damaged throughout the region.",Türkiye,2023-04-21 17:01:18+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-external-situation-report-no-7-3-16-april-2023,
" 893,000 ", Damaged , Independent units ,"To date, there have been more than 22 500 aftershocks, and nearly 307 000 buildings and 893 000 independent units were damaged throughout the region.",Türkiye,2023-04-21 17:01:18+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquake-external-situation-report-no-7-3-16-april-2023,
 42 , affected , IDP sites ,"At least 42 IDP sites in Syria are affected, with floods destroying or damaging more than 1,600 tents sheltering some 7,500 internally displaced people (IDPs).",Syria,2023-04-20 16:55:44+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-mena-syria-earthquakes-operation-update-1-no-mdrsy009,Syria
" 1,600 ", destroyed or damaged , tents ,"At least 42 IDP sites in Syria are affected, with floods destroying or damaging more than 1,600 tents sheltering some 7,500 internally displaced people (IDPs).",Syria,2023-04-20 16:55:44+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-mena-syria-earthquakes-operation-update-1-no-mdrsy009,Syria
" 7,500 ",  , Internally Displaced People ,"At least 42 IDP sites in Syria are affected, with floods destroying or damaging more than 1,600 tents sheltering some 7,500 internally displaced people (IDPs).",Syria,2023-04-20 16:55:44+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syria-mena-syria-earthquakes-operation-update-1-no-mdrsy009,Syria
" 79,000 ", N/A , Container Cities ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 are living in container cities.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
"     20,430    ",      Damaged     , Education Facilities ,"The TERRA reported extensive damage to WASH facilities and 20,430 educational institutions, which will require an estimated US$11 billion for repair and rehabilitation alone.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
" 2,600,000 ", N/A , Tents ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 are living in container cities.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
 2.6 million , Living in tents in formal settlements , Household ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 people are living in container cities (formal settlements).",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
" 79,000 ", Living in container cities (formal settlements) , Residence ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 people are living in container cities (formal settlements).",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
 11 , Damaged , UNRWA Installations ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
 >1 (exact number not specified) , Not Applicable , Household/Residence ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
 >1 (exact number not specified) , Damaged , Refugee Homes ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
         11         , Damaged,"       Health Centre, Schools       ","In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
 11 , Damaged , Health centres ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
 11 , Damaged , Schools ,"In addition to refugee homes, the earthquake also damaged 11 UNRWA installations, including health centres and schools.",Syria,2023-04-14 23:37:54+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-24-13-april-2023,
      345            ,         Not mentioned      ,      Tent cities    ,"According to the data of the Ministry of Interior regarding the studies carried out in the earthquake zone and the operations throughout the country, a total of 656 thousand 553 tents were set up in 8 provinces and 345 tent cities affected by the earthquake.",Türkiye,2023-04-14 12:36:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-13th-2023-situation-report-21-entr,
"      656,553        ",         Not mentioned      ,        Tents       ,"According to the data of the Ministry of Interior regarding the studies carried out in the earthquake zone and the operations throughout the country, a total of 656 thousand 553 tents were set up in 8 provinces and 345 tent cities affected by the earthquake.",Türkiye,2023-04-14 12:36:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-13th-2023-situation-report-21-entr,
" 100,000 ", Constructed ," Household, residence ","President Recep Tayyip Erdoğan, last stated that 100,000 residences and village houses had been constructed so far after the earthquake.",Türkiye,2023-04-14 12:36:32+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-13th-2023-situation-report-21-entr,
"   144,847           ",     N/A         , N/A      ,"According to the statement of the Deputy Director General of Credit and Dormitories (KYK), 144,847 disaster-affected people live in dormitories.",Türkiye,2023-04-14 10:01:03+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-12042023,
 50                        , Damaged         , N/A           ,"Heavy rain had previously flooded at least 50 displacement sites and destroyed or damaged more than 3,000 tents.",Syria,2023-04-13 12:20:12+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-no-7-12-april-2023,
 205 , Housed people affected by the earthquakes , Collective Shelters ,"HIGHLIGHTS While the number of collective shelters has reduced since the earthquakes struck, there are still an estimated 205 collective shelters housing people affected by the earthquakes across Syria.",Syria,2023-04-13 12:20:12+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-no-7-12-april-2023,Syria
" 3,000                     ", Destroyed/Damaged , Tents         ,"Heavy rain had previously flooded at least 50 displacement sites and destroyed or damaged more than 3,000 tents.",Syria,2023-04-13 12:20:12+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-earthquakes-syria-situational-updates-no-7-12-april-2023,
        2233        ,       Destroyed       ,    Household     ,"No deaths and injuries were reported, 587 tents and rooms were destroyed, and 1,646 tents and rooms have also been damaged.",Syria,2023-04-12 15:49:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/flooding-incident-report-21-march-2023,
        587         ,       Destroyed       ,     Residence    ,"No deaths and injuries were reported, 587 tents and rooms were destroyed, and 1,646 tents and rooms have also been damaged.",Syria,2023-04-12 15:49:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/flooding-incident-report-21-march-2023,
        1646        ,        Damaged        ,     Residence    ,"No deaths and injuries were reported, 587 tents and rooms were destroyed, and 1,646 tents and rooms have also been damaged.",Syria,2023-04-12 15:49:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/flooding-incident-report-21-march-2023,
        1646        ,        Damaged        ,      Household   ,"No deaths and injuries were reported, 587 tents and rooms were destroyed, and 1,646 tents and rooms have also been damaged.",Syria,2023-04-12 15:49:07+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/flooding-incident-report-21-march-2023,
 2.6 million , N/A (living in tents in formal settlements) , Formal Settlements or Tent Cities ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 are living in container cities.",Türkiye,2023-04-11 23:20:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-7-earthquake-3-april-2023,
" 79,000 ", N/A (living in container cities) , Container Cities ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 are living in container cities.",Türkiye,2023-04-11 23:20:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-7-earthquake-3-april-2023,
"      2,600,000     ",         Damaged        ,     Household     ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 people are living in container cities (formal settlements).",Türkiye,2023-04-11 23:20:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-7-earthquake-3-april-2023,
"        79,000      ",        Destroyed       ,     Residence     ,"An estimated 2.6 million people are living in tents in formal settlements across earthquake affected areas, while nearly 79,000 people are living in container cities (formal settlements).",Türkiye,2023-04-11 23:20:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-7-earthquake-3-april-2023,
"            20,430            ",             Damaged                   , Education Facilities ,"The TERRA reported extensive damage to WASH facilities and 20,430 educational institutions, which will require an estimated US$11 billion17 for repair and rehabilitation alone.",Türkiye,2023-04-11 23:20:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-7-earthquake-3-april-2023,
" 298,000 ", Severe Damage/Destroyed , N/A ,"More than 298,000 buildings have been severely damaged or destroyed,4 forcing some 3 million people 5 to relocate, but where people are living is a significant factor in their needs and the type of response they have received.",Türkiye,2023-04-11 11:09:53+00:00,Analysis,https://reliefweb.int/report/turkiye/turkiye-humanitarian-needs-and-response-overview-interim-update-published-11-april-2023-entk,
