Number of People Mentioned,What Happened,Age,Gender,text,primary_country,date_posted,format,url,NER_extracted_geolocation
 At least 44                , Injured                       , Unspecified , Unspecified ,"An observation visit to the affected neighborhoods on 21 April conducted by humanitarian partners found unconfirmed reports that 1 child died and at least 44 people were injured during the storms, and about 300 families were affected.",Türkiye,2023-04-29 15:31:57+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-16-27-april-2023-entr,
 1                         , Died                         , Child , Unspecified ,"An observation visit to the affected neighborhoods on 21 April conducted by humanitarian partners found unconfirmed reports that 1 child died and at least 44 people were injured during the storms, and about 300 families were affected.",Türkiye,2023-04-29 15:31:57+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-16-27-april-2023-entr,
 300                       , Affected                     , Unspecified , Unspecified ,"An observation visit to the affected neighborhoods on 21 April conducted by humanitarian partners found unconfirmed reports that 1 child died and at least 44 people were injured during the storms, and about 300 families were affected.",Türkiye,2023-04-29 15:31:57+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-16-27-april-2023-entr,
 7 , Killed , - , - ,"Since the earthquakes struck, at least seven civilians have been killed and 15 injured, including five children, according to monitoring conducted by the Office of the United Nations High Commissioner for Human Rights (OHCHR), as of 20 April.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 15 , Injured , - , - ,"Since the earthquakes struck, at least seven civilians have been killed and 15 injured, including five children, according to monitoring conducted by the Office of the United Nations High Commissioner for Human Rights (OHCHR), as of 20 April.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 15 , Injured , Not specified , Not specified ,"Since the earthquakes struck, at least seven civilians have been killed and 15 injured, including five children, according to monitoring conducted by the Office of the United Nations High Commissioner for Human Rights (OHCHR), as of 20 April.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 5 , Injured , Children , Not specified ,"Since the earthquakes struck, at least seven civilians have been killed and 15 injured, including five children, according to monitoring conducted by the Office of the United Nations High Commissioner for Human Rights (OHCHR), as of 20 April.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 7 , Killed , Not specified , Not specified ,"Since the earthquakes struck, at least seven civilians have been killed and 15 injured, including five children, according to monitoring conducted by the Office of the United Nations High Commissioner for Human Rights (OHCHR), as of 20 April.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
 5 , Injured (Children) , - , - ,"Since the earthquakes struck, at least seven civilians have been killed and 15 injured, including five children, according to monitoring conducted by the Office of the United Nations High Commissioner for Human Rights (OHCHR), as of 20 April.",Syria,2023-04-28 18:52:24+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-28-april-2023-enar,
" 7,302                     ", Dead   , N/A , N/A    ,"The number of immigrants who lost their lives in the region is 7,302.",Türkiye,2023-04-28 16:41:00+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-27th-2023-situation-report-22-entr,
 21               , Dead           , N/A , N/A    ,At least 21 people lost their lives in the flooding.,Türkiye,2023-04-28 16:41:00+00:00,Situation Report,https://reliefweb.int/report/turkiye/devastating-earthquakes-southern-turkiye-and-northern-syria-april-27th-2023-situation-report-22-entr,
 44                        , injured       , NA  , NA     ,1 person died and 44 injured in the storm.,Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,
 1                         , died          , NA  , NA     ,1 person died and 44 injured in the storm.,Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,
"    107,204       ", Injured , N/A ,  N/A   ,"The number of injured stands at 107,204.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,
" 50,399 ", Died , N/A , N/A ,"Accordingly, the number of people who lost their lives is 50,399.",Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,
" After the announcement, there is no mention of any injured, missing, or deceased individual. Hence, only one numerical value (i.e. 1) is mentioned. There is no information available on the age or gender of the deceased in the provided text. Therefore, for age and gender, we put the value as N/A. ",,,,The last official announcement about the deaths in the earthquake was made on 5 April.,Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,
 1 , Dead , N/A , N/A ,The last official announcement about the deaths in the earthquake was made on 5 April.,Türkiye,2023-04-28 09:32:30+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkey-earthquake-emergency-situation-report-26042023,
 2 , 1 killed , 59 , Male ,"On March 13, a Turkish border guard shot and killed a 59-year-old Syrian man who was plowing his land in an area adjacent to the border.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
 2                          , Dead            , NA  , NA     ,"“The day before [this incident], we received 12 people who were beaten even more than this group, the difference is that there was media attention because of the two fatalities [in the March 11 incident].” Reporters Without Borders reported that on or around March 15, a Turkish political analyst lodged a complaint against a Syrian TV channel anchor and his director, both based in Turkey, after the anchor discussed the March 11 incident and the larger issue of Turkish border guard violence against Syrian refugees at the border with the analyst on air.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,Türkiye
             1             ,                 Died                  ,  18 ,  Male  ,"A dog wouldn't bite him like that.” Abdel Razzak al Qastal, 18, died from the beatings, witnesses said.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
 234        , dead           , N/A  , N/A    ,"The monitors recorded at least 234 deaths and 231 injuries, the vast majority of which occurred while victims attempted to cross the border.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
 231        , injured        , N/A  , N/A    ,"The monitors recorded at least 234 deaths and 231 injuries, the vast majority of which occurred while victims attempted to cross the border.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
 6 , Dead , Unknown , Unknown ,"Significantly, at least 6 people who were not attempting to cross the border were shot dead and another 6 were injured.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
 12                        , Beaten        , NA  , NA     ,"“The day before [this incident], we received 12 people who were beaten even more than this group, the difference is that there was media attention because of the two fatalities [in the March 11 incident].” Reporters Without Borders reported that on or around March 15, a Turkish political analyst lodged a complaint against a Syrian TV channel anchor and his director, both based in Turkey, after the anchor discussed the March 11 incident and the larger issue of Turkish border guard violence against Syrian refugees at the border with the analyst on air.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,Türkiye
 6 , Injured , Unknown , Unknown ,"Significantly, at least 6 people who were not attempting to cross the border were shot dead and another 6 were injured.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,
 1 , Dead , 17 , Male ,"Abdo al Sabbah, another 17-year-old, was left behind and what happened to him was not revealed until March 16, when Turkish authorities returned his body to his family in Syria.",Türkiye,2023-04-27 04:30:04+00:00,News and Press Release,https://reliefweb.int/report/turkiye/turkish-border-guards-torture-kill-syrians-enarkutr,Syria
        1         ," Injured, Lost a leg ", 13  , Female ,"I’m afraid if I eat here the way I ate before, that I would need to [be carried] to the toilet.” A 13-year-old girl who lost her right leg in the earthquake which also killed her mother spoke to Amnesty International about her experience.",Türkiye,2023-04-27 00:57:07+00:00,Analysis,https://reliefweb.int/report/turkiye/we-all-need-dignity-exclusion-persons-disabilities-turkiyes-earthquake-response-entr,
        2         , Dead , N/A , N/A    ,"I’m afraid if I eat here the way I ate before, that I would need to [be carried] to the toilet.” A 13-year-old girl who lost her right leg in the earthquake which also killed her mother spoke to Amnesty International about her experience.",Türkiye,2023-04-27 00:57:07+00:00,Analysis,https://reliefweb.int/report/turkiye/we-all-need-dignity-exclusion-persons-disabilities-turkiyes-earthquake-response-entr,
" 100,000+         ", Injured       , N/A , N/A    ,"More than 50,000 people were killed and more than 100,000 were injured – many of whom lost limbs and sustained other life-changing injuries –- during the powerful earthquakes that struck Türkiye in February 2023.",Türkiye,2023-04-27 00:57:07+00:00,Analysis,https://reliefweb.int/report/turkiye/we-all-need-dignity-exclusion-persons-disabilities-turkiyes-earthquake-response-entr,Türkiye
" 50,000+          ", Killed        , N/A , N/A    ,"More than 50,000 people were killed and more than 100,000 were injured – many of whom lost limbs and sustained other life-changing injuries –- during the powerful earthquakes that struck Türkiye in February 2023.",Türkiye,2023-04-27 00:57:07+00:00,Analysis,https://reliefweb.int/report/turkiye/we-all-need-dignity-exclusion-persons-disabilities-turkiyes-earthquake-response-entr,Türkiye
" 50,000                    ", Killed        ,     ,        ,"In Türkiye, nearly 50,000 people were killed and tens of thousands more were injured due to the earthquakes, while over 216,000 people from affected areas have been relocated to other provinces, according to Türkiye’s Disaster and Emergency Management Authority (AFAD).",Türkiye,2023-04-25 18:37:21+00:00,Situation Report,https://reliefweb.int/report/turkiye/unfpa-turkiyesyria-earthquake-joint-situation-report-3-20-april-2023,
" 216,000                   ", Relocated     ,     ,        ,"In Türkiye, nearly 50,000 people were killed and tens of thousands more were injured due to the earthquakes, while over 216,000 people from affected areas have been relocated to other provinces, according to Türkiye’s Disaster and Emergency Management Authority (AFAD).",Türkiye,2023-04-25 18:37:21+00:00,Situation Report,https://reliefweb.int/report/turkiye/unfpa-turkiyesyria-earthquake-joint-situation-report-3-20-april-2023,
" 2,400,000 ", Total number of people living in formal and informal sites , N/A , N/A ,"Situation Overview & Humanitarian Needs The death toll from the devastating earthquakes on 6 February is reported as 50,783, with around 2.4 million people living in formal sites and informal settlements; this includes 1.6 million people who are living in informal settlements and nearly 800,000 in formal sites.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
" 800,000 ", Living in formal sites , N/A , N/A ,"Situation Overview & Humanitarian Needs The death toll from the devastating earthquakes on 6 February is reported as 50,783, with around 2.4 million people living in formal sites and informal settlements; this includes 1.6 million people who are living in informal settlements and nearly 800,000 in formal sites.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
" 1,600,000 ", Living in informal settlements , N/A , N/A ,"Situation Overview & Humanitarian Needs The death toll from the devastating earthquakes on 6 February is reported as 50,783, with around 2.4 million people living in formal sites and informal settlements; this includes 1.6 million people who are living in informal settlements and nearly 800,000 in formal sites.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
" 50,783 ", Dead , N/A , N/A ,"Situation Overview & Humanitarian Needs The death toll from the devastating earthquakes on 6 February is reported as 50,783, with around 2.4 million people living in formal sites and informal settlements; this includes 1.6 million people who are living in informal settlements and nearly 800,000 in formal sites.",Türkiye,2023-04-24 22:30:08+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-9-earthquake-17-april-2023,
" 6,600 ", Dead or injured (not specified) , N/A , N/A ,"According to the Disaster and Emergency Management Presidency (AFAD), the death toll from the devastating earthquakes has reached 50,096 (including at least 6,600 Syrians present in Türkiye), and 107,204 people injured as of 4 April 2023.",Türkiye,2023-04-22 16:21:53+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquakes-operation-update-2-emergency-appeal-no-mdrtr004-21042023,Türkiye
" 50,096 ", Dead , N/A , N/A ,"According to the Disaster and Emergency Management Presidency (AFAD), the death toll from the devastating earthquakes has reached 50,096 (including at least 6,600 Syrians present in Türkiye), and 107,204 people injured as of 4 April 2023.",Türkiye,2023-04-22 16:21:53+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquakes-operation-update-2-emergency-appeal-no-mdrtr004-21042023,Türkiye
" 107,204 ", Injured , N/A , N/A ,"According to the Disaster and Emergency Management Presidency (AFAD), the death toll from the devastating earthquakes has reached 50,096 (including at least 6,600 Syrians present in Türkiye), and 107,204 people injured as of 4 April 2023.",Türkiye,2023-04-22 16:21:53+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-earthquakes-operation-update-2-emergency-appeal-no-mdrtr004-21042023,Türkiye
 1 , Died , Child , Unspecified ,Unconfirmed reports suggest that one child died and 44 people were injured during the storms with approximately three hundred families affected.,Türkiye,2023-04-21 17:56:04+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-15-20-april-2023-entr,
 44 , Injured , Unspecified , Unspecified ,Unconfirmed reports suggest that one child died and 44 people were injured during the storms with approximately three hundred families affected.,Türkiye,2023-04-21 17:56:04+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-15-20-april-2023-entr,
 300 , Affected , Unspecified , Unspecified ,Unconfirmed reports suggest that one child died and 44 people were injured during the storms with approximately three hundred families affected.,Türkiye,2023-04-21 17:56:04+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-15-20-april-2023-entr,
" 50,000 ", Lives lost , Not specified , Not specified ,"Two months since the devastating earthquake struck Türkiye, the full scale of the disaster is difficult to grasp – more than 50,000 lives lost, more than 200,000 buildings destroyed and millions of people displaced.",Türkiye,2023-04-20 01:35:10+00:00,News and Press Release,https://reliefweb.int/report/turkiye/connecting-communities-navigating-information-gaps-and-community-trust-post-earthquake-turkiye,Türkiye
" 200,000 ", Buildings destroyed , Not specified , Not specified ,"Two months since the devastating earthquake struck Türkiye, the full scale of the disaster is difficult to grasp – more than 50,000 lives lost, more than 200,000 buildings destroyed and millions of people displaced.",Türkiye,2023-04-20 01:35:10+00:00,News and Press Release,https://reliefweb.int/report/turkiye/connecting-communities-navigating-information-gaps-and-community-trust-post-earthquake-turkiye,Türkiye
"          50,339           ",      Dead     ,  -  ,   -    ,"Situation Overview & Humanitarian Needs The death toll from the devastating earthquakes on 6 February has increased to 50,339, with around 2.7 million people remaining internally displaced in Türkiye.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,Türkiye
          2.7 million      ,  Internally Displaced  ,  -   ,   -   ,"Situation Overview & Humanitarian Needs The death toll from the devastating earthquakes on 6 February has increased to 50,339, with around 2.7 million people remaining internally displaced in Türkiye.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,Türkiye
" 50,339                    ", Dead                          , NA  , NA     ,"Highlights: The death toll from the devastating earthquakes on 6 February is 50,339, with around 2.7 million people remaining internally displaced.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
 2.7 million               , Internally Displaced          , NA  , NA     ,"Highlights: The death toll from the devastating earthquakes on 6 February is 50,339, with around 2.7 million people remaining internally displaced.",Türkiye,2023-04-17 22:04:34+00:00,Situation Report,https://reliefweb.int/report/turkiye/unicef-turkiye-humanitarian-situation-report-no-8-earthquake-11-april-2023,
" 107,000 ", Injured , N/A , N/A ,"9.1M affected people 5.2M targeted for humanitarian assistance 3M people having to relocate from their homes 1.6M people staying in informal settlements 50K people killed 107K people injured SITUATION OVERVIEW Ongoing environmental challenges continue to affect people, particularly those living in informal sites and tent cities.",Türkiye,2023-04-17 19:56:22+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-14-13-april-2023-entr,
" 50,000 ", Killed , N/A , N/A ,"9.1M affected people 5.2M targeted for humanitarian assistance 3M people having to relocate from their homes 1.6M people staying in informal settlements 50K people killed 107K people injured SITUATION OVERVIEW Ongoing environmental challenges continue to affect people, particularly those living in informal sites and tent cities.",Türkiye,2023-04-17 19:56:22+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-14-13-april-2023-entr,
